DateTime,AddedIPs,RemovedIPs
1475568012,7686,7689
1475568912,9773,9773
1475569812,8908,8908
1475570711,7622,7623
1475571612,7843,7833
1475572511,7649,7649
1475573409,7229,7229
1475574313,7466,7467
1475575211,6946,6946
1475576111,7008,7008
1475577012,7749,7749
1475577914,7704,7704
1475578813,7731,7731
1475579712,7180,7185
1475580612,5128,5129
1475581511,6186,6187
1475582410,4933,4934
1475583312,5039,5039
1475584212,2791,2791
1475585111,1651,1650
1475586012,2185,2186
1475586911,1887,1887
1475587811,4699,4696
1475588707,4021,4022
1475589612,772,772
1475590509,771,771
1475591405,484,484
1475592309,725,725
1475593209,567,567
1475594105,681,680
1475595009,734,733
1475595907,933,933
1475596806,1037,1039
1475597707,857,857
1475598607,913,913
1475599507,734,734
1475600407,550,550
1475601303,858,859
1475602205,517,517
1475603103,915,915
1475604005,962,962
1475604905,3302,3301
1475605804,4527,4527
1475606705,2190,2191
1475607604,1016,1065
1475608505,4483,4924
1475609404,15338,15975
1475610305,9533,10077
1475611205,23619,22944
1475612109,19553,18902
1475613008,20260,20411
1475613909,12893,12987
1475614809,9324,9382
1475615710,7209,7339
1475616610,2644,2563
1475617509,4674,4651
1475618412,4251,4260
1475619309,4731,4831
1475620210,3569,3660
1475621112,3663,3700
1475622010,4317,4431
1475622910,3738,3764
1475623811,3519,3514
1475624711,3682,3726
1475625612,4178,4277
1475626514,4838,4850
1475627414,5285,5165
1475628312,5796,5708
1475629208,5675,5584
1475630110,6374,6225
1475631013,5821,5738
1475631912,5720,5664
1475632814,5666,5653
1475633736,6721,6704
1475634636,6776,6784
1475635512,6229,6201
1475636414,6169,6174
1475637312,6109,6084
1475638212,6517,6488
1475639114,7449,7417
1475640012,7883,7864
1475640914,8172,8151
1475641813,8692,8651
1475642713,9314,9275
1475643615,9620,9684
1475644511,9418,9477
1475645414,8592,8650
1475646318,8506,8548
1475647217,7634,7670
1475648114,1839,1915
1475649017,1829,1876
1475649914,1377,1430
1475650814,1654,1743
1475651715,2397,2469
1475652616,2408,2446
1475653514,2898,2924
1475654414,1403,1489
1475655314,1311,1418
1475656212,1439,1465
1475657112,1788,1827
1475658014,1924,1991
1475658908,1314,1398
1475659810,17073,16855
1475660712,18029,17244
1475661613,14807,14578
1475662515,11321,11451
1475663413,10698,10779
1475664315,8981,9024
1475665218,9487,9475
1475666115,8449,8381
1475667017,9111,9113
1475667914,9373,9375
1475668816,9253,9271
1475669717,15451,15426
1475670618,14717,14644
1475671517,15318,15260
1475672420,13238,13197
1475673320,14217,14166
1475674222,11718,11713
1475675120,5509,5493
1475676019,4709,4695
1475676920,4847,4829
1475677821,5228,5211
1475678721,5347,5330
1475679617,4142,4133
1475680518,3401,3381
1475681417,2294,2283
1475682319,2022,2016
1475683207,1481,1477
1475684107,353,352
1475685006,242,241
1475685906,142,141
1475686807,201,203
1475687706,58,59
1475688616,2445,2435
1475689506,124,124
1475690405,104,104
1475691305,39,39
1475692206,74,74
1475693112,180,180
1475694014,247,247
1475694905,161,161
1475695805,110,110
1475696705,134,134
1475697613,2325,2340
1475698504,4658,4696
1475699404,4893,4915
1475700305,5326,5352
1475701210,5354,5382
1475702110,4148,4147
1475703011,8411,8389
1475703912,12783,12730
1475704811,7776,7729
1475705711,8686,8673
