DateTime,AddedIPs,RemovedIPs
1468835525,9,20
1468849924,7,16
1468864324,10,12
1468878724,28,15
1468893124,10,21
1468907525,10,13
1468921924,8,14
1468936325,4,16
1468950725,10,21
1468965125,7,8
1468979524,18,11
1468993924,3,4
1469008624,4,13
1469023025,13,12
1469037436,10,13
1469051824,5,16
1469066225,6,18
1469080624,6,9
1469095024,7,14
1469109424,7,17
1469123825,13,17
1469138224,6,12
1469152624,5,12
1469167025,4,11
1469181424,6,13
1469195824,8,16
1469210225,3,11
1469224625,10,12
1469239025,9,9
1469253424,5,15
1469267825,5,13
1469282224,8,10
1469296624,7,23
1469311024,4,9
1469325425,7,13
1469339824,2,15
1469354224,5,14
1469368624,3,41
1469383024,9,26
1469397425,10,15
1469411825,10,12
1469426224,2,13
1469440624,4,8
1469455024,7,22
1469469425,7,24
1469483824,7,10
1469498225,8,16
1469512624,12,20
1469527024,4,11
1469541424,5,5
1469555825,6,5
1469570224,5,24
1469584624,7,26
1469599024,7,9
1469613424,6,31
1469627824,4,8
1469642225,5,33
1469656624,8,21
1469671024,10,20
1469685424,8,21
1469699826,11,12
1469714225,6,4
1469728625,5,5
1469743024,7,1
1469757424,11,12
1469771824,6,9
1469786225,9,13
1469800625,12,11
1469815024,11,29
1469829425,6,17
1469843826,10,12
1469858224,9,14
1469872624,10,14
1469887024,8,14
1469901424,8,20
1469915823,4,13
1469930224,8,21
1469944624,7,21
1469959025,6,11
1469973425,9,15
1469987825,14,25
1470002224,16,12
1470016625,8,13
1470031025,12,9
1470045425,15,17
1470059825,10,17
1470074526,7,37
1470089225,8,25
1470103925,9,19
1470118324,7,20
1470132724,13,15
1470147124,14,12
1470161524,13,35
1470175924,15,18
1470190324,16,13
1470204724,13,9
1470219425,15,6
1470233825,13,4
1470248225,5,7
1470262624,13,10
1470277024,11,6
1470291425,9,8
1470305825,9,10
1470320225,7,5
1470334625,10,11
1470349025,8,15
1470363425,8,18
1470377825,6,13
1470392225,7,12
1470406625,9,16
1470421026,9,15
1470435425,4,12
1470449825,4,13
1470464225,10,10
1470478624,8,9
1470493025,5,16
1470507425,5,10
1470521825,4,14
1470536225,4,8
1470550625,5,11
1470565025,5,18
1470579425,5,15
1470593825,8,17
1470608224,8,34
1470622625,7,13
1470637025,4,15
1470651425,1,12
1470665825,8,19
1470680225,6,17
1470694624,3,13
1470709026,12,20
1470723425,1,10
1470737825,6,12
1470752225,7,12
1470766627,3,14
1470781024,10,15
1470795425,5,12
1470809825,9,16
1470824227,6,10
1470838656,7,20
1470853029,13,11
1470867426,8,16
1470881825,9,11
1470896225,19,14
1470910625,9,15
1470925025,14,23
1470939426,14,16
1470953825,14,16
1470968226,9,15
1470982625,11,14
1470997025,10,18
1471011426,11,15
1471025825,10,11
1471040225,13,14
1471054625,9,13
1471069026,5,16
1471083426,9,5
1471097825,7,12
1471112225,6,8
1471126625,10,8
1471141025,3,7
1471155425,8,8
1471169825,2,8
1471184224,2,9
1471198625,8,10
1471213025,6,11
1471227426,12,4
1471241825,8,6
1471256225,7,12
1471270625,4,18
1471285024,10,10
1471299425,8,12
1471313825,4,9
1471328224,9,5
1471342625,10,9
1471357025,12,12
1471371426,7,14
1471385825,12,11
1471400225,7,12
1471414625,6,17
1471429324,9,10
1471443724,10,8
1471458125,11,7
1471472827,9,13
1471487524,11,9
1471501924,4,13
1471516325,15,13
1471530724,11,15
1471545125,11,12
1471559824,17,17
1471574225,17,16
1471588624,13,26
1471603324,20,19
1471617724,12,13
1471632124,30,17
1471646524,15,23
1471660925,24,23
1471675625,11,16
1471690324,6,18
1471704725,17,24
1471719124,12,32
1471733524,8,21
1471747925,9,34
1471762326,15,19
1471776724,14,21
1471791125,9,8
1471805524,15,12
1471819924,13,5
1471834324,13,11
1471848724,12,11
1471863125,9,8
1471877524,10,7
1471891925,9,2
1471906324,17,7
1471920725,12,4
1471935124,7,4
1471949525,8,8
1471963925,9,8
1471978325,15,7
1471992724,16,14
1472007126,20,11
1472021525,18,10
1472035924,17,11
1472050324,11,9
1472064724,11,9
1472079124,15,6
1472093525,14,2
1472107924,9,12
1472122324,13,9
1472136724,9,8
1472151124,5,12
1472165523,11,7
1472179924,13,10
1472194324,8,13
1472208725,11,16
1472223125,14,6
1472237526,4,13
1472251924,6,11
1472266324,6,10
1472280724,10,21
1472295125,6,3
1472309823,6,6
1472324224,6,7
1472338624,5,7
1472353025,8,12
1472367424,10,9
1472381824,7,9
1472396225,1,8
1472411224,9,12
1472425924,5,25
1472440325,8,15
1472454724,7,11
1472469124,8,9
1472483825,4,6
1472498225,6,9
1472512625,11,15
1472527025,11,12
1472541424,12,13
1472555824,9,12
1472570224,8,14
1472584624,4,14
1472599025,5,8
1472613725,6,14
1472628424,8,18
1472643124,3,22
1472657524,8,11
1472671924,9,7
1472686326,10,12
1472700724,10,38
1472715124,7,10
1472729524,10,11
1472743925,15,5
1472758324,7,9
1472772724,9,10
1472787125,9,10
1472801524,12,7
1472815924,10,10
1472830325,7,14
1472844725,8,9
1472859125,12,13
1472873547,3,13
1472887924,3,13
1472902325,12,20
1472916725,3,6
1472931125,9,13
1472945525,9,31
1472959927,5,12
1472974330,4,15
1472988726,7,9
1473003125,7,19
1473017525,5,22
1473031924,2,12
1473046325,3,13
1473060724,6,11
1473075125,3,9
1473089524,4,15
1473103925,7,14
1473118325,9,13
1473132724,7,6
1473147125,9,11
1473161525,10,16
1473175926,5,17
1473190325,8,12
1473204725,9,18
1473219125,9,11
1473233524,6,7
1473247925,4,13
1473262326,7,8
1473276725,12,17
1473291124,4,15
1473305525,10,7
1473319924,12,16
1473334324,14,15
1473348725,9,9
1473363125,15,12
1473377525,10,15
1473391925,8,10
1473406326,9,15
1473420725,12,13
1473435126,32,10
1473449525,7,14
1473463925,9,15
1473478343,5,19
1473492724,4,10
1473507125,4,11
1473521524,12,31
1473535924,7,12
1473550324,6,8
1473564725,6,11
1473579125,6,10
1473593525,3,15
1473607925,6,16
1473622325,7,12
1473636724,6,9
1473651126,3,7
1473665525,6,6
1473679925,5,9
1473694325,9,8
1473708725,5,6
1473723125,9,6
1473737525,8,7
1473751924,11,8
1473766325,7,14
1473780725,9,8
1473795125,8,6
1473809826,6,6
1473824225,7,4
1473838624,12,11
1473853025,9,10
1473867425,8,6
1473881825,11,4
1473896224,6,8
1473910625,6,7
1473925025,10,9
1473939425,8,32
1473953825,8,8
1473968225,4,7
1473982625,5,6
1473997024,9,10
1474011424,6,8
1474025825,10,17
1474040224,9,9
1474054625,5,11
1474069025,9,6
1474083425,7,12
1474097824,4,18
1474112224,7,11
1474126625,10,10
1474141024,9,10
1474155424,95,14
1474169824,32,8
1474184225,16,7
1474198624,11,12
1474213025,11,8
1474227425,10,15
1474241824,8,11
1474256225,5,13
1474270624,5,10
1474285025,5,11
1474299424,66,11
1474313826,37,11
1474328224,23,9
1474342626,20,9
1474357324,12,13
1474372024,11,13
1474393924,5,19
1474408325,20,6
1474422725,17,9
1474437124,14,6
1474451524,14,11
1474465924,13,7
1474480326,11,12
1474494725,7,15
1474509125,8,11
1474523826,8,8
1474538224,12,15
1474552624,8,6
1474567024,8,8
1474581424,12,6
1474595824,3,19
1474610224,11,22
1474624624,8,7
1474639026,5,14
1474653424,9,13
1474667825,6,10
1474682225,10,8
1474696624,10,15
1474711024,6,11
1474725424,12,11
1474739825,12,10
1474754224,11,7
1474768625,7,10
1474783025,7,16
1474797424,5,16
1474811824,5,4
1474826225,10,13
1474840624,3,9
1474855024,10,10
1474869424,11,5
1474883825,12,8
1474898224,10,7
1474912624,3,8
1474927024,6,8
1474941424,8,6
1474955824,8,4
1474970224,4,12
1474984624,8,10
1474999025,8,7
1475013425,9,7
1475027825,2,6
1475042224,4,7
1475056624,9,7
1475071024,4,4
1475085425,9,11
1475099824,8,14
1475114231,7,9
1475128628,9,14
1475143024,12,10
1475157424,6,13
1475171824,11,11
1475186225,11,15
1475200624,14,10
1475215024,11,14
1475229425,13,16
1475243825,8,14
1475258224,11,8
1475272624,15,9
1475287024,9,12
1475301424,15,15
1475315824,29,6
1475330224,19,17
1475344624,20,13
1475359024,21,10
1475373424,16,16
1475387823,12,5
1475402224,14,17
1475416624,11,14
1475431024,15,6
1475445424,12,10
1475459824,9,6
1475474224,7,16
1475488624,10,11
1475503024,9,6
1475517424,4,5
1475531824,12,7
1475546224,8,9
1475560625,16,6
1475575024,10,9
1475589725,8,11
1475604425,9,11
1475619124,5,5
1475633524,9,7
1475648224,10,8
1475662625,7,7
1475677325,10,5
1475691724,9,4
1475706424,7,12
1475721124,13,8
1475735525,14,11
1475749925,19,6
1475764325,14,13
1475778725,11,3
1475793125,14,3
1475807525,11,7
1475821925,5,10
1475836325,21,6
1475850725,11,29
1475865124,9,15
1475879525,15,7
1475893925,16,7
1475908324,14,6
1475922725,20,9
1475937124,16,8
1475951525,7,10
1475965924,10,11
1475980325,12,6
1475994740,15,5
1476009124,9,10
1476023525,8,9
1476037924,11,11
