DateTime,Entries,UniqueIPs
1468766830,120162,120162
1468781231,120169,120169
1468795630,120176,120176
1468810032,120182,120182
1468824442,120194,120194
1468838832,120202,120202
1468853231,120210,120210
1468867632,120221,120221
1468882032,120248,120248
1468896430,120256,120256
1468910831,120266,120266
1468925230,120274,120274
1468939629,120278,120278
1468954032,120287,120287
1468968429,120305,120305
1468982832,120311,120311
1468997233,120314,120314
1469011631,120317,120317
1469026030,120332,120332
1469040434,120342,120342
1469054830,120345,120345
1469069234,120350,120350
1469083641,120357,120357
1469098031,120365,120365
1469112429,120371,120371
1469126840,120383,120383
1469141230,120389,120389
1469155630,120393,120393
1469170033,120397,120397
1469184431,120405,120405
1469198831,120411,120411
1469213235,120418,120418
1469227632,120426,120426
1469242029,120432,120432
1469256431,120438,120438
1469270833,120443,120443
1469285236,120450,120450
1469299635,120458,120458
1469314029,120462,120462
1469328431,120468,120468
1469342840,120472,120472
1469357230,120475,120475
1469371631,120480,120480
1469386037,120488,120488
1469400431,120497,120497
1469414830,120506,120506
1469429530,120510,120510
1469443930,120513,120513
1469458330,120519,120519
1469472729,120525,120525
1469487130,120533,120533
1469501531,120545,120545
1469515932,120553,120553
1469530331,120557,120557
1469544730,120560,120560
1469559132,120566,120566
1469573531,120574,120574
1469587930,120578,120578
1469602330,120585,120585
1469616744,120591,120591
1469631132,120594,120594
1469645532,120602,120602
1469659932,120611,120611
1469674331,120621,120621
1469688731,120626,120626
1469703131,120636,120636
1469717530,120641,120641
1469731931,120645,120645
1469746330,120652,120652
1469760731,120664,120664
1469775131,120673,120673
1469789533,120680,120680
1469803930,120694,120694
1469818333,120704,120704
1469832732,120709,120709
1469847129,120717,120717
1469861529,120728,120728
1469875929,120738,120738
1469890332,120745,120745
1469904731,120753,120753
1469919132,120756,120756
1469933531,120763,120763
1469947931,120771,120771
1469962329,120776,120776
1469976730,120790,120790
1469991131,120802,120802
1470005532,120817,120817
1470019933,120826,120826
1470034331,120841,120841
1470048733,120851,120851
1470063132,120860,120860
1470077533,120867,120867
1470091929,120876,120876
1470106331,120883,120883
1470120732,120890,120890
1470135129,120903,120903
1470149531,120919,120919
1470163932,120930,120930
1470178333,120945,120945
1470192730,120964,120964
1470207132,120976,120976
1470221529,120989,120989
1470235930,121002,121002
1470250330,121009,121009
1470264731,121019,121019
1470279130,121030,121030
1470293530,121040,121040
1470307929,121052,121052
1470322331,121057,121057
1470336730,121065,121065
1470351130,121073,121073
1470365529,121081,121081
1470379931,121087,121087
1470394329,121094,121094
1470408730,121104,121104
1470423129,121113,121113
1470437529,121117,121117
1470451929,121119,121119
1470466330,121130,121130
1470480730,121137,121137
1470495130,121142,121142
1470509532,121147,121147
1470523930,121152,121152
1470538329,121156,121156
1470552730,121161,121161
1470567129,121166,121166
1470581529,121170,121170
1470595935,121178,121178
1470610330,121187,121187
1470624729,121193,121193
1470639129,121197,121197
1470653530,121201,121201
1470667929,121205,121205
1470682330,121212,121212
1470696733,121215,121215
1470711130,121226,121226
1470725530,121229,121229
1470739929,121235,121235
1470754330,121239,121239
1470768729,121241,121241
1470783130,121253,121253
1470797530,121256,121256
1470811930,121265,121265
1470826332,121270,121270
1470840797,121279,121279
1470855129,121290,121290
1470869530,121299,121299
1470883931,121311,121311
1470898330,121328,121328
1470912730,121336,121336
1470927153,121351,121351
1470941531,121364,121364
1470955933,121377,121377
1470970330,121382,121382
1470984731,121393,121393
1470999130,121402,121402
1471013531,121416,121416
1471027931,121424,121424
1471042330,121436,121436
1471056729,121445,121445
1471071130,121451,121451
1471085530,121459,121459
1471099930,121465,121465
1471114329,121473,121473
1471128730,121481,121481
1471143129,121485,121485
1471157530,121493,121493
1471171930,121494,121494
1471186330,121496,121496
1471200730,121505,121505
1471215130,121510,121510
1471229529,121523,121523
1471243930,121531,121531
1471258329,121537,121537
1471272729,121541,121541
1471287130,121552,121552
1471301530,121560,121560
1471315929,121563,121563
1471330331,121574,121574
1471344730,121583,121583
1471359130,121594,121594
1471373530,121603,121603
1471387931,121612,121612
1471402330,121619,121619
1471416730,121627,121627
1471431132,121634,121634
1471445530,121644,121644
1471459929,121655,121655
1471474330,121665,121665
1471488733,121674,121674
1471503129,121678,121678
1471517529,121693,121693
1471531932,121702,121702
1471546330,121715,121715
1471560729,121732,121732
1471575132,121747,121747
1471589531,121760,121760
1471603933,121779,121779
1471618330,121793,121793
1471632730,121821,121821
1471647131,121836,121836
1471661529,121862,121862
1471675930,121870,121870
1471690629,121876,121876
1471705031,121893,121893
1471719432,121906,121906
1471733830,121913,121913
1471748231,121922,121922
1471762629,121937,121937
1471777029,121951,121951
1471791431,121960,121960
1471805832,121975,121975
1471820229,121988,121988
1471834630,122001,122001
1471849030,122013,122013
1471863429,122023,122023
1471877832,122032,122032
1471892231,122041,122041
1471906631,122059,122059
1471921030,122070,122070
1471935432,122077,122077
1471949831,122085,122085
1471964230,122095,122095
1471978631,122109,122109
1471993031,122124,122124
1472007431,122144,122144
1472021829,122162,122162
1472036230,122179,122179
1472050632,122190,122190
1472065029,122201,122201
1472079429,122215,122215
1472093830,122228,122228
1472108230,122237,122237
1472122629,122250,122250
1472137030,122259,122259
1472151430,122264,122264
1472165830,122274,122274
1472180230,122287,122287
1472194629,122295,122295
1472209030,122307,122307
1472223430,122320,122320
1472237830,122324,122324
1472252230,122330,122330
1472266629,122336,122336
1472281031,122346,122346
1472295430,122352,122352
1472309830,122358,122358
1472324230,122364,122364
1472338630,122367,122367
1472353031,122375,122375
1472367430,122384,122384
1472381830,122390,122390
1472396232,122391,122391
1472411232,122399,122399
1472425634,122404,122404
1472440030,122412,122412
1472454430,122419,122419
1472468830,122427,122427
1472483231,122431,122431
1472497630,122437,122437
1472512031,122447,122447
1472526430,122457,122457
1472540831,122468,122468
1472555229,122477,122477
1472569631,122485,122485
1472584030,122488,122488
1472598433,122494,122494
1472613131,122500,122500
1472627530,122508,122508
1472641930,122511,122511
1472663832,122522,122522
1472678231,122530,122530
1472692932,122542,122542
1472707636,122552,122552
1472722038,122561,122561
1472736432,122567,122567
1472750831,122580,122580
1472765230,122592,122592
1472779632,122599,122599
1472794032,122609,122609
1472808431,122621,122621
1472822833,122629,122629
1472837230,122638,122638
1472851631,122649,122649
1472866042,122654,122654
1472880431,122658,122658
1472894833,122666,122666
1472909231,122673,122673
1472923633,122678,122678
1472938032,122686,122686
1472952431,122693,122693
1472967143,122699,122699
1472981533,122702,122702
1472995938,122710,122710
1473010346,122716,122716
1473024731,122718,122718
1473039185,122721,122721
1473053545,122726,122726
1473068230,122730,122730
1473082631,122733,122733
1473097031,122738,122738
1473111430,122748,122748
1473125844,122753,122753
1473140231,122762,122762
1473154631,122772,122772
1473169033,122778,122778
1473183449,122785,122785
1473197830,122793,122793
1473212248,122801,122801
1473226630,122812,122812
1473241030,122814,122814
1473255431,122819,122819
1473269831,122827,122827
1473284231,122834,122834
1473298644,122843,122843
1473313032,122851,122851
1473327430,122865,122865
1473341830,122877,122877
1473356232,122886,122886
1473370631,122902,122902
1473385043,122910,122910
1473399438,122920,122920
1473413830,122926,122926
1473428236,122942,122942
1473442636,122969,122969
1473457031,122976,122976
1473471444,122984,122984
1473485891,122988,122988
1473500530,122992,122992
1473515231,123000,123000
1473529631,123010,123010
1473544040,123014,123014
1473558432,123022,123022
1473572835,123030,123030
1473587242,123033,123033
1473601633,123038,123038
1473616032,123044,123044
1473630444,123048,123048
1473644832,123054,123054
1473659231,123058,123058
1473673643,123064,123064
1473688042,123074,123074
1473702435,123078,123078
1473716835,123086,123086
1473731243,123094,123094
1473745631,123102,123102
1473760042,123109,123109
1473774731,123118,123118
1473789131,123128,123128
1473803531,123132,123132
1473817931,123136,123136
1473832330,123150,123150
1473846730,123156,123156
1473861131,123168,123168
1473875531,123175,123175
1473889931,123188,123188
1473904331,123191,123191
1473918731,123199,123199
1473933130,123207,123207
1473947530,123215,123215
1473961931,123222,123222
1473976330,123226,123226
1473990733,123232,123232
1474005131,123239,123239
1474019531,123249,123249
1474033930,123256,123256
1474048332,123265,123265
1474062730,123271,123271
1474077131,123280,123280
1474091568,123286,123286
1474105930,123290,123290
1474120330,123300,123300
1474134730,123307,123307
1474149134,123363,123363
1474163530,123428,123428
1474177934,123448,123448
1474192330,123463,123463
1474206731,123471,123471
1474221130,123480,123480
1474235530,123490,123490
1474249930,123498,123498
1474264334,123501,123501
1474278730,123507,123507
1474293132,123543,123543
1474307534,123596,123596
1474321933,123622,123622
1474336332,123648,123648
1474350736,123663,123663
1474365132,123669,123669
1474394534,123680,123680
1474409229,123698,123698
1474423629,123715,123715
1474438029,123727,123727
1474452431,123742,123742
1474466832,123755,123755
1474481230,123764,123764
1474495930,123771,123771
1474510630,123780,123780
1474525030,123788,123788
1474539432,123799,123799
1474553834,123807,123807
1474568234,123816,123816
1474582631,123826,123826
1474597330,123829,123829
1474612029,123840,123840
1474626430,123849,123849
1474640831,123854,123854
1474655230,123861,123861
1474669632,123868,123868
1474684029,123879,123879
1474698429,123887,123887
1474712829,123896,123896
1474727229,123906,123906
1474741663,123918,123918
1474756029,123928,123928
1474770432,123935,123935
1474784832,123943,123943
1474799230,123947,123947
1474813630,123953,123953
1474828029,123963,123963
1474842429,123965,123965
1474856835,123980,123980
1474871231,123986,123986
1474885630,124001,124001
1474900630,124008,124008
1474915029,124011,124011
1474929429,124017,124017
1474943830,124026,124026
1474958229,124033,124033
1474972630,124037,124037
1474987030,124046,124046
1475001430,124055,124055
1475015829,124061,124061
1475030230,124063,124063
1475044630,124068,124068
1475059031,124076,124076
1475073730,124080,124080
1475088431,124088,124088
1475102830,124097,124097
1475117230,124102,124102
1475131637,124111,124111
1475146031,124121,124121
1475160431,124128,124128
1475174834,124139,124139
1475189229,124150,124150
1475203631,124166,124166
1475218035,124174,124174
1475232430,124189,124189
1475246830,124195,124195
1475261234,124206,124206
1475275631,124219,124219
1475290029,124233,124233
1475304431,124249,124249
1475318831,124277,124277
1475333529,124294,124294
1475347931,124314,124314
1475362331,124340,124340
1475376729,124351,124351
1475391128,124365,124365
1475405529,124375,124375
1475419929,124387,124387
1475434329,124401,124401
1475448730,124415,124415
1475463129,124423,124423
1475477529,124427,124427
1475491929,124440,124440
1475506329,124447,124447
1475520738,124454,124454
1475535138,124463,124463
1475549536,124473,124473
1475563930,124487,124487
1475578329,124498,124498
1475592729,124505,124505
1475607130,124515,124515
1475621529,124518,124518
1475635929,124530,124530
1475650329,124538,124538
1475664729,124544,124544
1475679129,124555,124555
1475693529,124563,124563
1475707930,124570,124570
1475722335,124583,124583
1475736730,124599,124599
1475751129,124616,124616
1475765530,124631,124631
1475779931,124643,124643
1475794331,124655,124655
1475808729,124666,124666
1475823130,124671,124671
1475837531,124691,124691
1475851930,124702,124702
1475866330,124712,124712
1475880733,124728,124728
1475895130,124742,124742
1475909531,124758,124758
1475923930,124778,124778
1475938629,124792,124792
1475953031,124803,124803
1475967434,124809,124809
1475981829,124820,124820
