DateTime,AddedIPs,RemovedIPs
1463724312,1,12
1463738710,1,0
1463753111,7,0
1463767510,4,0
1463781911,1,0
1463796311,2,0
1463810710,0,18
1463853911,1,0
1463897110,0,2
1463997911,5,1
1464012310,1,0
1464026710,27,0
1464041111,1,0
1464069910,0,13
1464098710,6,0
1464113110,2,0
1464127510,3,0
1464156311,1,15
1464185110,1,0
1464199511,2,0
1464213910,3,0
1464242710,0,14
1464257111,2,0
1464271517,6,0
1464285929,3,0
1464314712,1,0
1464329110,0,11
1464372310,3,0
1464386713,1,0
1464429910,2,8
1464458714,1,0
1464501912,0,10
1464516311,1,0
1464559510,2,0
1464573915,1,0
1464588311,4,0
1464674710,0,25
1464703511,1,0
1464717914,7,0
1464732310,2,0
1464761113,0,23
1464775512,4,0
1464789912,16,0
1464804312,2,0
1464818711,4,0
1464847512,0,34
1464876316,1,0
1464890714,1,0
1464905113,3,0
1464933911,0,28
1464948311,3,0
1464962713,7,0
1464977109,1,0
1464991514,1,0
1465020313,0,18
1465121112,0,1
1465149910,1,0
1465193112,1,0
1465236311,1,0
1465250711,1,0
1465279511,0,9
1465308310,5,0
1465322714,7,0
1465337115,1,0
1465351511,1,0
1465380314,1,13
1465409116,3,0
1465423513,1,0
1465452311,0,6
1465466712,2,0
1465481115,2,0
1465495525,2,0
1465509911,2,0
1465524312,1,0
1465538711,0,10
1465553111,1,0
1465596310,2,0
1465625111,0,7
1465653914,1,0
1465711511,0,3
1465754714,1,0
1465769114,1,0
1465783511,1,0
1465812311,1,3
1465826716,1,0
1465841114,2,0
1465855515,2,0
1465884311,1,5
1465913111,2,0
1465927508,3,0
1465941908,1,0
1465956309,2,0
1465985112,1,12
1465999511,5,0
1466013917,2,0
1466028308,1,0
1466057111,0,12
1466071512,1,0
1466085911,2,0
1466100311,1,0
1466114712,4,0
1466143512,2,11
1466157911,3,0
1466172312,2,0
1466186711,4,0
1466201166,1,0
1466229911,0,5
1466330713,0,1
1466417111,1,1
1466431510,1,0
1466445908,1,0
1466460310,2,0
1466489111,0,8
1466503511,2,0
1466517911,3,0
1466532310,2,0
1466546712,1,0
1466561109,1,0
1466575510,0,11
1466589913,4,0
1466604315,6,0
1466633115,2,0
1466647512,1,0
1466661908,1,6
1466690707,9,0
1466705107,3,0
1466719507,1,0
1466733906,1,0
1466748306,0,5
1466762706,1,0
1466777111,5,0
1466791506,2,0
1466805905,1,0
1466834705,0,10
1466935507,1,0
1466949910,1,0
1466978706,1,0
1467007506,1,2
1467036306,1,0
1467050714,1,0
1467065106,1,0
1467093908,0,5
1467108310,3,0
1467122706,1,0
1467137106,2,0
1467180306,0,1
1467194706,1,0
1467209111,4,0
1467223505,7,0
1467237905,4,0
1467266706,0,13
1467295506,2,0
1467309905,1,0
1467353106,2,10
1467367506,1,0
1467381906,3,0
1467396306,1,0
1467410705,3,0
1467425106,1,0
1467453907,1,10
1467525905,0,3
1467540307,1,0
1467569107,1,0
1467641106,1,0
1467655507,1,0
1467698705,0,8
1467741907,5,0
1467756305,1,0
1467770705,1,0
1467785105,2,8
1467813905,5,0
1467828305,5,0
1467885910,2,15
1467900306,1,0
1467914705,1,0
1467929107,21,0
