DateTime,Entries,UniqueIPs
1468728002,1259,1259
1468742401,1245,1245
1468756801,1253,1253
1468771202,1290,1290
1468785602,1286,1286
1468800002,1283,1283
1468814401,1285,1285
1468828802,1285,1285
1468843286,1285,1285
1468857602,1268,1268
1468872001,1290,1290
1468886402,1293,1293
1468900802,1300,1300
1468915201,1302,1302
1468929602,1314,1314
1468944002,1288,1288
1468958401,1255,1255
1468972802,1266,1266
1468987202,1231,1231
1469001601,1221,1221
1469016001,1204,1204
1469030402,1207,1207
1469044802,1200,1200
1469059202,1175,1175
1469073602,1148,1148
1469088001,1140,1140
1469102401,1160,1160
1469116801,1184,1184
1469131202,1209,1209
1469145602,1231,1231
1469160001,1228,1228
1469174402,1217,1217
1469188802,1202,1202
1469203201,1187,1187
1469217601,1172,1172
1469232002,1162,1162
1469246402,1159,1159
1469260802,1126,1126
1469275201,1103,1103
1469289602,1097,1097
1469304002,1112,1112
1469318402,1122,1122
1469332802,1143,1143
1469347202,1138,1138
1469361601,1151,1151
1469376001,1180,1180
1469390402,1188,1188
1469404802,1197,1197
1469419202,1212,1212
1469433602,1222,1222
1469448002,1226,1226
1469462401,1233,1233
1469476801,1248,1248
1469491202,1242,1242
1469505602,1252,1252
1469520002,1228,1228
1469534401,1223,1223
1469548802,1227,1227
1469563201,1206,1206
1469577602,1190,1190
1469592002,1193,1193
1469606401,1167,1167
1469620802,1169,1169
1469635201,1181,1181
1469649602,1199,1199
1469664001,1220,1220
1469678402,1249,1249
1469692802,1240,1240
1469707201,1237,1237
1469721602,1258,1258
1469736002,1271,1271
1469750401,1263,1263
1469764802,1312,1312
1469779202,1302,1302
1469793601,1294,1294
1469808001,1303,1303
1469822402,1306,1306
1469836802,1291,1291
1469851202,1314,1314
1469865602,1310,1310
1469880001,1325,1325
1469894401,1341,1341
1469908802,1340,1340
1469923201,1322,1322
1469937602,1324,1324
1469952002,1308,1308
1469966402,1324,1324
1469980802,1337,1337
1469995202,1336,1336
1470009602,1295,1295
1470024002,1311,1311
1470038402,1306,1306
1470052801,1305,1305
1470067202,1316,1316
1470081602,1341,1341
1470096002,1386,1386
1470110402,1433,1433
1470124802,1454,1454
1470139202,1531,1531
1470153602,1570,1570
1470168002,1648,1648
1470204002,1414,1414
1470218402,1418,1418
1470232802,1471,1471
1470247201,1502,1502
1470261602,1508,1508
1470276002,1510,1510
1470290401,1475,1475
1470304802,1483,1483
1470319202,1486,1486
1470333602,1534,1534
1470348001,1695,1695
1470362402,1802,1802
1470376802,1803,1803
1470391202,1816,1816
1470405602,1819,1819
1470420002,1805,1805
1470434401,1806,1806
1470448802,1786,1786
