DateTime,Entries,UniqueIPs
1468742401,42,42
1468756801,41,41
1468771202,43,43
1468785602,44,44
1468800002,38,38
1468814401,48,48
1468828802,52,52
1468843287,58,58
1468857602,75,75
1468872001,86,86
1468886402,104,104
1468900802,119,119
1468915202,126,126
1468929602,131,131
1468944002,139,139
1468958401,150,150
1468972802,165,165
1468987202,162,162
1469001601,163,163
1469016001,153,153
1469030402,146,146
1469044802,155,155
1469059202,164,164
1469073602,167,167
1469088001,180,180
1469102401,180,180
1469116801,172,172
1469131202,161,161
1469145602,164,164
1469160001,161,161
1469174402,158,158
1469188802,151,151
1469203201,131,131
1469217601,116,116
1469232002,112,112
1469246402,94,94
1469260802,91,91
1469275201,90,90
1469289602,82,82
1469304002,84,84
1469318402,75,75
1469332802,70,70
1469347202,70,70
1469361601,71,71
1469376001,69,69
1469390402,64,64
1469404802,62,62
1469419202,60,60
1469433602,62,62
1469448002,75,75
1469462401,83,83
1469476801,92,92
1469491202,102,102
1469505602,107,107
1469520002,111,111
1469534401,114,114
1469548802,122,122
1469563202,129,129
1469577602,135,135
1469592002,143,143
1469606401,133,133
1469620802,133,133
1469635201,129,129
1469649602,130,130
1469664001,129,129
1469678402,122,122
1469692802,118,118
1469707201,103,103
1469721602,105,105
1469736002,105,105
1469750401,98,98
1469764802,99,99
1469779202,97,97
1469793601,91,91
1469808001,133,133
1469822402,166,166
1469836802,185,185
1469851202,202,202
1469865602,210,210
1469880001,200,200
1469894401,196,196
1469908802,193,193
1469923201,197,197
1469937602,190,190
1469952002,185,185
1469966402,147,147
1469980802,116,116
1469995202,105,105
1470009602,84,84
1470024002,92,92
1470038402,90,90
1470052801,93,93
1470067202,109,109
1470081602,123,123
1470096002,152,152
1470110402,172,172
1470124802,195,195
1470139202,198,198
1470153602,200,200
1470168002,198,198
1470204002,179,179
1470218402,162,162
1470232802,154,154
1470247201,125,125
1470261602,102,102
1470276002,77,77
1470290401,90,90
1470304802,100,100
1470319202,107,107
1470333602,113,113
1470348001,145,145
1470362402,175,175
1470376802,209,209
1470391202,253,253
1470405602,257,257
1470420002,251,251
1470434401,247,247
1470448802,225,225
1470463201,212,212
1470477603,208,208
1470492001,208,208
1470506402,175,175
1470520802,146,146
1470535202,109,109
1470549602,73,73
1470564002,64,64
1470578402,64,64
1470592802,66,66
1470607202,71,71
1470621602,75,75
1470636002,66,66
1470650401,61,61
1470664801,66,66
1470679201,89,89
