DateTime,Entries,UniqueIPs
1473315064,8379,8712
1473319861,8388,8722
1473324076,8363,8698
1473329481,8374,8711
1473333682,8367,8702
1473340885,8364,8699
1473349882,8371,8706
1473358877,8365,8702
1473367268,8354,8690
1473373864,8340,8678
1473379266,8346,8684
1473384672,8324,8663
1473390082,8319,8659
1473395473,8316,8657
1473400872,8319,8660
1473406870,8307,8648
1473414668,8273,8611
1473421888,8287,8625
1473428461,8253,8591
1473436261,8254,8592
1473442268,8354,8696
1473448268,8356,8699
1473454268,8361,8705
1473460866,8365,8710
1473469268,8372,8717
1473475862,8379,8724
1473482462,8378,8723
1473489660,8379,8724
1473497464,8373,8718
1473503466,8377,8722
1473508266,8382,8727
1473513668,8386,8731
1473519665,8386,8731
1473524465,8387,8732
1473530599,8374,8719
1473535868,8375,8719
1473541267,8379,8722
1473546663,8400,8743
1473552066,8424,8769
1473557470,8430,8775
1473562867,8433,8778
1473568269,8432,8777
1473573666,8437,8782
1473579668,8438,8780
1473584465,8433,8775
1473590470,8456,8798
1473597665,8502,8859
1473605469,8504,8861
1473611462,8535,8892
1473618064,8593,8954
1473624061,8597,8959
1473629461,8594,8956
1473634864,8596,8958
1473639663,8604,8966
1473646269,8612,8973
1473651671,8618,8980
1473656469,8629,8991
1473661870,8641,9003
1473667268,8646,9008
1473672669,8649,9012
1473678068,8657,9021
1473683465,8664,9028
1473688271,8663,9028
1473694266,8668,9034
1473700270,8728,9095
1473707473,8736,9103
1473712270,8743,9110
1473718269,8747,9114
1473723072,8761,9128
1473729067,8763,9130
1473733871,8763,9130
1473738669,8782,9150
1473744669,8786,9154
1473750671,8790,9158
1473756067,8794,9162
1473763868,8817,9185
1473770461,8823,9191
1473777664,8829,9197
1473784862,8850,9218
1473791464,8898,9270
1473796869,8899,9271
1473802266,8911,9283
1473807669,8916,9288
1473813065,8932,9305
1473818464,8937,9310
1473823868,8948,9324
1473829868,8947,9323
1473836467,8951,9326
1473842468,8956,9332
1473847869,8956,9332
1473853868,8962,9338
1473859865,8970,9346
1473865266,8981,9356
1473870670,8986,9361
1473876069,8986,9361
1473882068,8982,9357
1473888069,8986,9361
1473892866,9057,9432
1473899476,9098,9474
1473905477,9112,9488
1473910871,9115,9491
1473918070,9126,9502
1473925270,9123,9499
1473930668,9125,9500
1473936068,9140,9516
1473943271,9140,9516
1473949267,9143,9519
1473955865,9150,9526
1473961273,9210,9588
1473966664,9214,9592
1473973869,9208,9586
1473978670,9210,9588
1473984069,9218,9596
1473989471,9214,9592
1473994874,9219,9597
1474000267,9222,9600
1474005668,9222,9601
1474011069,9227,9606
1474016465,9229,9609
1474021869,9228,9609
1474026664,9230,9611
1474032666,9231,9612
1474038670,9230,9612
1474045270,9237,9620
1474050670,9244,9628
1474056073,9250,9634
1474060871,9251,9635
1474066272,9257,9641
1474071677,9295,9680
1474077678,9297,9682
1474082473,9302,9687
1474088472,9307,9692
1474093870,9311,9696
1474099270,9314,9699
1474104669,9316,9701
1474110072,9324,9709
1474115468,9326,9711
1474120870,9323,9709
1474126268,9327,9713
1474132271,9334,9722
1474138274,9333,9721
1474143673,9338,9726
1474149073,9345,9733
1474155075,9410,9799
1474160483,9472,9861
1474166479,9477,9866
1474171876,9478,9867
1474179681,9480,9869
1474186875,9488,9877
1474194080,9494,9883
1474200673,9497,9886
1474209066,9503,9892
1474215069,9506,9895
1474219267,9505,9892
1474225269,9492,9879
1474230670,9471,9857
1474234864,9468,9854
1474240874,9476,9860
1474246270,9479,9863
1474251672,9464,9848
1474257671,9462,9845
1474263667,9458,9841
1474268471,9455,9838
1474273871,9453,9836
1474279272,9451,9834
1474284074,9501,9881
1474290076,9503,9883
1474296074,9496,9876
1474302668,9497,9875
