DateTime,AddedIPs,RemovedIPs
1473358877,125,231
1473367268,176,480
1473373864,193,173
1473379266,110,120
1473384672,180,141
1473390082,96,93
1473395473,122,137
1473400872,97,103
1473406870,222,216
1473414668,104,124
1473421888,149,250
1473428461,110,150
1473436261,123,184
1473442268,323,213
1473448268,177,147
1473454268,112,96
1473460866,186,154
1473469268,188,204
1473475862,88,131
1473482462,156,234
1473489660,97,115
1473497464,156,231
1473503466,88,99
1473508266,140,100
1473513668,156,192
1473519665,133,149
1473524465,131,98
1473530599,96,75
1473535868,170,110
1473541267,85,76
1473546663,155,126
1473552066,207,208
1473557470,160,114
1473562867,95,94
1473568269,158,137
1473573666,100,95
1473579668,124,110
1473584465,62,85
1473590470,207,218
1473597665,248,191
1473605469,77,119
1473611462,145,132
1473618064,173,171
1473624061,102,122
1473629461,174,166
1473634864,121,110
1473639663,87,75
1473646269,153,164
1473651671,84,110
1473656469,86,81
1473661870,82,94
1473667268,213,227
1473672669,113,151
1473678068,102,83
1473683465,133,136
1473688271,87,70
1473694266,152,140
1473700270,179,90
1473707473,212,210
1473712270,127,133
1473718269,77,88
1473723072,187,195
1473729067,70,72
1473733871,115,147
1473738669,104,68
1473744669,224,232
1473750671,120,144
1473756067,61,83
1473763868,176,187
1473770461,107,155
1473777664,109,171
1473784862,221,218
1473791464,180,159
1473796869,88,90
1473802266,119,109
1473807669,60,60
1473813065,135,134
1473818464,112,115
1473823868,183,161
1473829868,106,79
1473836467,164,168
1473842468,79,118
1473847869,92,138
1473853868,91,106
1473859865,186,205
1473865266,133,143
1473870670,103,80
1473876069,131,130
1473882068,82,86
1473888069,130,159
1473892866,167,64
1473899476,280,175
1473905477,159,150
1473910871,87,70
1473918070,163,174
1473925270,103,153
1473930668,72,120
1473936068,217,207
1473943271,168,176
1473949267,69,98
1473955865,129,122
1473961273,139,96
1473966664,130,151
1473973869,180,204
1473978670,136,116
1473984069,106,104
1473989471,124,123
1473994874,125,96
1474000267,93,95
1474005668,106,104
1474011069,92,149
1474016465,133,157
1474021869,96,123
1474026664,50,60
1474032666,112,135
1474038670,88,96
1474045270,130,165
1474050670,172,142
1474056073,120,100
1474060871,92,81
1474066272,87,63
1474071677,185,157
1474077678,69,60
1474082473,122,103
1474088472,130,139
1474093870,155,157
1474099270,86,113
1474104669,52,70
1474110072,175,150
1474115468,83,81
1474120870,125,129
1474126268,97,96
1474132271,155,206
1474138274,105,74
1474143673,100,65
1474149073,150,106
1474155075,149,63
1474160483,188,104
1474166479,136,184
1474171876,156,137
1474179681,129,178
1474186875,136,202
1474194080,91,137
1474200673,114,158
1474209066,207,287
1474215069,100,145
1474219267,81,53
1474225269,143,140
1474230670,88,89
1474234864,128,72
1474240874,159,98
1474246270,213,175
1474251672,136,108
1474257671,72,83
1474263667,118,163
1474268471,80,113
1474273871,72,94
1474279272,84,97
1474284074,261,173
1474290076,157,142
1474296074,70,92
1474302668,125,137
1474309271,100,145
1474316470,159,189
1474323073,188,206
1474329075,146,114
1474335074,91,66
1474340480,154,152
1474345876,68,82
1474351871,119,153
1474359069,106,163
1474365676,140,216
1474370468,47,76
