DateTime,Entries,UniqueIPs
1473315064,1049,1049
1473319861,1140,1140
1473324076,1189,1189
1473329481,1387,1387
1473333682,1559,1559
1473340885,1705,1705
1473349882,1662,1662
1473358877,1556,1556
1473367268,1252,1252
1473373864,1272,1272
1473379266,1262,1262
1473384672,1301,1301
1473390082,1304,1304
1473395473,1289,1289
1473400872,1283,1283
1473406870,1289,1289
1473414668,1269,1269
1473421888,1168,1168
1473428461,1128,1128
1473436261,1067,1067
1473442268,1177,1177
1473448268,1207,1207
1473454268,1223,1223
1473460866,1255,1255
1473469268,1239,1239
1473475862,1196,1196
1473482462,1118,1118
1473489660,1100,1100
1473497464,1025,1025
1473503466,1014,1014
1473508266,1054,1054
1473513668,1018,1018
1473519665,1002,1002
1473524465,1035,1035
1473530599,1056,1056
1473535868,1116,1116
1473541267,1125,1125
1473546663,1154,1154
1473552066,1153,1153
1473557470,1199,1199
1473562867,1200,1200
1473568269,1221,1221
1473573666,1226,1226
1473579668,1240,1240
1473584465,1217,1217
1473590470,1206,1206
1473597665,1263,1263
1473605469,1221,1221
1473611462,1234,1234
1473618064,1236,1236
1473624061,1216,1216
1473629461,1224,1224
1473634864,1235,1235
1473639663,1247,1247
1473646269,1236,1236
1473651671,1210,1210
1473656469,1215,1215
1473661870,1203,1203
1473667268,1189,1189
1473672669,1151,1151
1473678068,1170,1170
1473683465,1167,1167
1473688271,1184,1184
1473694266,1196,1196
1473700270,1285,1285
1473707473,1287,1287
1473712270,1281,1281
1473718269,1270,1270
1473723072,1262,1262
1473729067,1260,1260
1473733871,1228,1228
1473738669,1264,1264
1473744669,1256,1256
1473750671,1232,1232
1473756067,1210,1210
1473763868,1199,1199
1473770461,1151,1151
1473777664,1089,1089
1473784862,1092,1092
1473791464,1113,1113
1473796869,1111,1111
1473802266,1121,1121
1473807669,1121,1121
1473813065,1122,1122
1473818464,1119,1119
1473823868,1141,1141
1473829868,1168,1168
1473836467,1164,1164
1473842468,1125,1125
1473847869,1079,1079
1473853868,1064,1064
1473859865,1045,1045
1473865266,1035,1035
1473870670,1058,1058
1473876069,1059,1059
1473882068,1055,1055
1473888069,1026,1026
1473892866,1129,1129
1473899476,1234,1234
1473905477,1243,1243
1473910871,1260,1260
1473918070,1249,1249
1473925270,1199,1199
1473930668,1151,1151
1473936068,1161,1161
1473943271,1153,1153
1473949267,1124,1124
1473955865,1131,1131
1473961273,1174,1174
1473966664,1153,1153
1473973869,1129,1129
1473978670,1149,1149
1473984069,1151,1151
1473989471,1152,1152
1473994874,1181,1181
1474000267,1179,1179
1474005668,1181,1181
1474011069,1124,1124
1474016465,1100,1100
1474021869,1073,1073
1474026664,1063,1063
1474032666,1040,1040
1474038670,1032,1032
1474045270,997,997
1474050670,1027,1027
1474056073,1047,1047
1474060871,1058,1058
1474066272,1082,1082
1474071677,1110,1110
1474077678,1119,1119
1474082473,1138,1138
1474088472,1129,1129
1474093870,1127,1127
1474099270,1100,1100
1474104669,1082,1082
1474110072,1107,1107
1474115468,1109,1109
1474120870,1105,1105
1474126268,1106,1106
1474132271,1055,1055
1474138274,1086,1086
1474143673,1121,1121
1474149073,1165,1165
1474155075,1251,1251
1474160483,1335,1335
1474166479,1287,1287
1474171876,1306,1306
1474179681,1257,1257
1474186875,1191,1191
1474194080,1145,1145
1474200673,1101,1101
1474209066,1021,1021
1474215069,976,976
1474219267,1004,1004
1474225269,1007,1007
1474230670,1006,1006
1474234864,1062,1062
1474240874,1123,1123
1474246270,1161,1161
1474251672,1189,1189
1474257671,1178,1178
1474263667,1133,1133
1474268471,1100,1100
1474273871,1078,1078
1474279272,1065,1065
1474284074,1153,1153
1474290076,1168,1168
1474296074,1146,1146
1474302668,1134,1134
1474309271,1089,1089
1474316470,1059,1059
1474323073,1041,1041
1474329075,1073,1073
1474335074,1098,1098
1474340480,1100,1100
1474345876,1086,1086
1474351871,1052,1052
1474359069,995,995
1474365676,919,919
1474370468,890,890
1474375305,924,924
1474381876,863,863
1474386072,877,877
1474392665,968,968
1474397468,950,950
1474403467,962,962
1474408269,981,981
1474413670,997,997
1474418471,1009,1009
1474424474,992,992
1474429870,981,981
1474435871,998,998
1474442466,981,981
1474449066,932,932
1474455674,934,934
1474459868,923,923
1474465865,877,877
1474470666,843,843
1474476667,841,841
1474480862,866,866
1474485061,856,856
1474490465,851,851
1474494060,876,876
1474497666,887,887
1474501264,913,913
1474507267,974,974
1474512668,938,938
1474518067,894,894
1474523465,899,899
1474528266,891,891
1474534264,872,872
1474539665,830,830
1474544465,827,827
1474550471,852,852
1474556467,824,824
1474561283,820,820
1474566665,808,808
1474571467,795,795
1474576267,791,791
1474579863,784,784
1474583468,848,848
1474587665,867,867
1474593664,893,893
1474598465,925,925
1474605066,917,917
