DateTime,AddedIPs,RemovedIPs
1470204060,11,80
1470214864,10,44
1470226260,10,9
1470240656,11,26
1470252659,10,34
1470263456,5,26
1470275460,80,16
1470289859,8,12
1470303667,15,59
1470313863,45,8
1470326461,3,10
1470337254,7,52
1470348057,37,30
1470358856,27,23
1470369658,5,16
1470379857,20,0
1470391262,12,22
1470402659,7,16
1470412859,3,38
1470423055,17,22
1470436261,8,52
1470449456,44,25
1470463253,6,49
1470474065,5,15
1470484861,15,19
1470495662,7,36
1470505863,8,25
1470517260,6,32
1470527457,19,15
1470538862,17,77
1470549657,8,0
1470562272,7,15
1470573060,10,51
1470583264,5,22
1470594660,41,13
1470605458,9,25
1470616255,10,5
1470628258,6,39
1470642060,10,16
1470654060,46,17
1470664258,10,22
1470675055,7,15
1470686458,14,26
1470697257,10,16
1470708059,15,0
1470719464,8,25
1470727270,5,16
1470741070,85,30
1470753070,13,1
1470766262,12,17
1470776462,8,80
1470787261,9,9
1470798065,12,16
1470811861,11,80
1470823867,4,13
1470836463,35,30
1470846062,8,30
1470860458,16,13
1470874859,1,42
1470889256,1,66
1470903664,3,16
1470918062,3,59
1470932460,3,31
1470946858,5,15
1470961259,3,15
1470990058,1,77
1471004453,1,36
1471018856,0,20
1471033253,0,32
1471047653,4,25
1471062057,2,38
1471076458,0,75
1471090852,5,13
1471105256,4,19
1471119658,0,60
1471134056,0,13
1471148453,5,38
1471162856,2,66
1471177253,0,18
1471191659,6,18
1471206053,1,24
1471220453,0,22
1471234853,1,64
1471249259,4,43
1471263655,3,42
1471278052,1,17
1471291852,1,26
1471306253,2,65
1471320652,0,15
1471335054,1,37
1471349453,3,25
1471363852,2,26
1471378252,0,43
1471392650,5,47
1471407047,1,52
1471421447,0,15
1471435849,3,58
1471450252,0,41
1471464655,0,26
1471479051,0,31
1471493454,1,36
1471507856,1,18
1471522254,1,52
1471536649,6,13
1471551049,3,68
1471565445,0,6
1471579845,2,34
1471594247,0,34
1471608643,1,41
1471623045,1,10
1471637452,152,59
1471651845,67,13
1471666245,36,37
1471680648,16,26
1471692653,22,23
1471703451,21,50
1471713648,16,39
