DateTime,Entries,UniqueIPs
1470214864,9130,9486
1470226260,9131,9487
1470240656,9118,9472
1470252659,9096,9448
1470263456,9076,9427
1470275460,9140,9491
1470289859,9136,9487
1470303667,9095,9443
1470313863,9130,9480
1470326461,9123,9473
1470337254,9078,9428
1470348057,9085,9435
1470358856,9092,9439
1470369658,9081,9428
1470379857,9101,9448
1470391262,9091,9438
1470402659,9083,9429
1470412859,9049,9394
1470423055,9043,9389
1470436261,8999,9345
1470449456,9018,9364
1470463253,8975,9321
1470474065,8965,9311
1470484861,8960,9307
1470495662,8934,9278
1470505863,8919,9261
1470517260,8893,9235
1470527457,8897,9239
1470538862,8839,9179
1470549657,8847,9187
1470562272,8840,9179
1470573060,8799,9138
1470583264,8782,9121
1470594660,8811,9149
1470605458,8796,9133
1470616255,8800,9138
1470628258,8767,9105
1470642060,8761,9099
1470654060,8790,9128
1470664258,8778,9116
1470675055,8770,9108
1470686458,8758,9096
1470697257,8753,9090
1470708059,8768,9105
1470719464,8750,9088
1470727270,8740,9077
1470741070,8795,9132
1470753070,8806,9144
1470766262,8801,9139
1470776462,8729,9067
1470787261,8728,9067
1470798065,8724,9063
1470811861,8656,8994
1470823867,8647,8985
1470836463,8656,8990
1470846062,8635,8968
1470860458,8638,8971
1470874859,8599,8930
1470889256,8534,8865
1470903664,8521,8852
1470918062,8465,8796
1470932460,8437,8768
1470946858,8427,8758
1470961259,8417,8746
1470990058,8344,8670
1471004453,8311,8635
1471018856,8291,8615
1471033253,8263,8583
1471047653,8242,8562
1471062057,8206,8526
1471076458,8135,8451
1471090852,8127,8443
1471105256,8112,8428
1471119658,8053,8368
1471134056,8041,8355
1471148453,8009,8322
1471162856,7947,8258
1471177253,7929,8240
1471191659,7918,8228
1471206053,7894,8205
1471220453,7872,8183
1471234853,7811,8120
1471249259,7774,8081
1471263655,7737,8042
1471278052,7722,8026
1471291852,7697,8001
1471306253,7634,7938
1471320652,7619,7923
1471335054,7584,7887
1471349453,7563,7865
1471363852,7543,7841
1471378252,7502,7798
1471392650,7462,7756
1471407047,7415,7705
1471421447,7400,7690
1471435849,7347,7635
1471450252,7307,7594
1471464655,7283,7568
1471479051,7253,7537
1471493454,7219,7502
1471507856,7203,7485
1471522254,7152,7434
1471536649,7146,7427
1471551049,7084,7362
1471565445,7078,7356
1471579845,7048,7324
1471594247,7018,7290
1471608643,6978,7250
1471623045,6969,7241
1471637452,7048,7334
1471651845,7102,7388
1471666245,7100,7387
1471680648,7091,7377
1471692653,7090,7376
1471703451,7062,7347
1471713648,7038,7324
1471725052,7079,7366
1471736451,7093,7381
1471747248,7088,7375
1471758050,7116,7403
1471770052,7110,7399
1471780851,7125,7416
1471791047,7103,7391
1471801850,7156,7445
1471813848,7142,7432
1471824047,7133,7423
1471834847,7162,7452
1471845048,7150,7440
1471855853,7152,7441
1471867252,7149,7438
1471877451,7154,7443
1471888849,7175,7464
1471899654,7167,7452
1471910448,7163,7448
1471921252,7156,7440
1471931449,7164,7451
1471942248,7150,7437
1471953047,7144,7431
1471963847,7133,7419
1471974648,7198,7485
1471986053,7206,7493
1471996856,7204,7490
1472008253,7200,7487
1472018447,7201,7489
1472029246,7191,7479
1472040044,7183,7471
1472050241,7171,7459
1472061048,7199,7486
1472071847,7216,7503
1472082644,7209,7496
1472093445,7215,7500
1472104245,7218,7502
1472115651,7204,7486
1472125849,7193,7474
1472136647,7195,7477
1472147444,7220,7504
1472158249,7207,7492
1472168446,7200,7483
1472181053,7199,7482
1472191249,7194,7479
1472201450,7168,7453
1472212245,7172,7457
1472222448,7164,7447
1472233847,7205,7489
1472244052,7179,7464
1472255450,7178,7464
1472266856,7171,7457
1472277655,7164,7450
1472288459,7171,7458
1472298652,7147,7434
1472310056,7132,7420
1472320252,7167,7457
1472331658,7168,7457
1472342458,7160,7449
1472352654,7148,7433
1472364054,7129,7413
1472374848,7136,7420
1472385650,7114,7398
1472396446,7104,7388
1472410848,7244,7545
1472421651,7227,7526
1472432450,7237,7539
1472443254,7243,7543
1472454653,7232,7534
1472466656,7221,7523
1472478050,7223,7524
1472487650,7244,7547
1472499646,7291,7593
1472511052,7285,7588
1472521849,7265,7567
1472532652,7254,7558
1472543449,7255,7559
1472554251,7267,7571
1472565051,7261,7565
1472575847,7253,7557
1472587248,7317,7621
1472598048,7319,7622
1472608252,7323,7627
1472622655,7335,7640
1472636472,7326,7633
1472644271,7297,7602
1472658663,7317,7622
1472665860,7574,7881
1472674867,7574,7883
1472683862,7569,7878
1472692261,7548,7861
1472705464,7597,7910
1472719867,7592,7904
1472733664,7571,7881
1472748067,7615,7926
1472753475,7753,8064
1472763069,7748,8060
1472777463,7740,8052
1472791267,7742,8054
1472803864,7753,8064
1472811065,7749,8060
1472818866,7734,8043
1472833268,7734,8041
1472841663,7879,8185
1472851253,7888,8194
1472859654,7863,8167
1472874049,7870,8169
1472884847,7824,8123
1472896852,7813,8112
1472908850,7811,8110
1472919651,7847,8144
1472931054,7941,8241
1472943054,7943,8245
1472956854,7976,8283
1472971253,7967,8275
1472983850,7964,8271
1472996454,7937,8247
1473009051,7966,8275
1473021648,7973,8283
1473035452,7984,8296
1473046254,7973,8285
1473057050,7956,8268
1473068458,7953,8265
1473080458,7950,8261
1473093052,7945,8256
1473103852,8031,8343
1473115254,8028,8340
1473127259,8027,8339
1473138652,8019,8330
1473148252,7998,8309
1473159055,7990,8301
1473169852,7984,8294
1473180650,8007,8317
1473191449,8063,8374
1473202252,8054,8365
1473213053,8044,8355
1473224447,8045,8356
1473234648,8023,8334
1473245443,8011,8325
1473256248,8021,8335
1473266446,7989,8303
1473277849,8047,8361
1473288646,8032,8345
1473300052,8025,8339
1473310854,8020,8335
1473324070,8029,8345
1473333673,7988,8304
1473340872,7958,8274
1473349870,7972,8288
1473358867,7987,8304
1473367258,7970,8287
1473379257,7985,8304
1473390062,7971,8292
1473400862,7960,8282
1473414660,7940,8260
1473428453,7912,8231
1473442260,7989,8312
1473454259,8000,8325
1473460857,7987,8313
1473469259,8009,8335
1473482453,8011,8337
1473489651,8009,8335
1473503459,8018,8344
1473513661,8021,8346
1473524458,8010,8334
1473535860,8015,8339
1473546654,8035,8359
1473557461,8058,8381
1473568260,8062,8385
1473579659,8065,8388
1473590462,8097,8420
1473597657,8142,8480
1473611455,8177,8515
1473624053,8229,8572
1473634855,8237,8581
1473646258,8253,8596
1473656460,8270,8614
1473667261,8277,8620
1473678060,8298,8644
1473688264,8301,8648
1473700262,8371,8720
1473712262,8384,8733
1473723063,8396,8745
1473733859,8405,8754
1473744660,8429,8779
1473756060,8435,8785
1473770453,8457,8807
1473784854,8488,8838
1473796861,8539,8893
1473807661,8556,8910
1473818455,8570,8925
1473829859,8577,8935
1473842458,8590,8949
1473853858,8599,8957
1473865257,8615,8973
1473876058,8607,8965
1473888058,8616,8974
1473899465,8733,9092
1473910859,8739,9098
1473925263,8760,9119
