DateTime,AddedIPs,RemovedIPs
1470240656,267,286
1470252659,210,252
1470263456,212,163
1470275460,374,278
1470289859,248,296
1470303667,160,274
1470313863,249,209
1470326461,181,222
1470337254,174,160
1470348057,231,271
1470358856,180,140
1470369658,143,178
1470379857,207,215
1470391262,233,251
1470402659,184,159
1470412859,145,180
1470423055,272,241
1470436261,214,228
1470449456,178,145
1470463253,236,309
1470474065,215,241
1470484861,110,117
1470495662,216,229
1470505863,156,167
1470517260,182,160
1470527457,158,125
1470538862,268,178
1470549657,178,157
1470562272,147,224
1470573060,220,250
1470583264,208,198
1470594660,216,155
1470605458,186,150
1470616255,286,220
1470628258,226,213
1470642060,214,274
1470654060,229,277
1470664258,210,191
1470675055,182,148
1470686458,246,192
1470697257,315,271
1470708059,252,195
1470719464,220,184
1470727270,86,116
1470741070,228,248
1470753070,245,371
1470766262,215,272
1470776462,143,129
1470787261,175,146
1470798065,311,216
1470811861,244,288
1470823867,103,175
1470836463,208,261
1470846062,214,249
1470860458,221,227
1470874859,1,0
1470889256,37,47
1470903664,160,153
1470918062,84,88
1470932460,31,48
1470946858,133,156
1470961259,96,105
1470990058,77,70
1471004453,116,181
1471018856,71,72
1471033253,43,43
1471047653,125,119
1471062057,113,100
1471076458,1,1
1471090852,154,174
1471105256,118,109
1471119658,4,5
1471134056,41,36
1471148453,162,124
1471162856,86,93
1471177253,27,38
1471191659,124,137
1471206053,116,106
1471220453,5,1
1471234853,35,24
1471249259,179,156
1471263655,88,92
1471278052,33,38
1471291852,125,163
1471306253,119,109
1471320652,1,4
1471335054,127,131
1471349453,56,67
1471363852,58,79
1471378252,35,38
1471392650,158,166
1471407047,86,65
1471421447,32,38
1471435849,135,126
1471450252,88,127
1471464655,2,2
1471479051,39,34
1471493454,174,140
1471507856,82,67
1471522254,30,35
1471536649,110,137
1471551049,100,95
1471565445,2,2
1471579845,134,149
1471594247,23,40
1471608643,73,68
1471623045,26,39
1471637452,352,203
1471651845,259,252
1471666245,180,208
1471680648,273,304
1471692653,193,182
1471703451,178,173
1471713648,147,139
1471725052,207,124
1471736451,294,254
1471747248,192,211
1471758050,147,182
1471770052,160,183
1471780851,243,254
1471791047,155,173
1471801850,254,157
1471813848,123,167
1471824047,124,148
1471834847,231,212
1471845048,100,112
