DateTime,Entries,UniqueIPs
1470214864,1003,1003
1470226260,1011,1011
1470240656,992,992
1470252659,950,950
1470263456,999,999
1470275460,1095,1095
1470289859,1047,1047
1470303667,933,933
1470313863,973,973
1470326461,932,932
1470337254,946,946
1470348057,906,906
1470358856,946,946
1470369658,911,911
1470379857,903,903
1470391262,885,885
1470402659,910,910
1470412859,875,875
1470423055,906,906
1470436261,892,892
1470449456,925,925
1470463253,852,852
1470474065,826,826
1470484861,819,819
1470495662,806,806
1470505863,795,795
1470517260,817,817
1470527457,850,850
1470538862,940,940
1470549657,961,961
1470562272,884,884
1470573060,854,854
1470583264,864,864
1470594660,925,925
1470605458,961,961
1470616255,1027,1027
1470628258,1040,1040
1470642060,980,980
1470654060,932,932
1470664258,951,951
1470675055,985,985
1470686458,1039,1039
1470697257,1083,1083
1470708059,1140,1140
1470719464,1176,1176
1470727270,1146,1146
1470741070,1126,1126
1470753070,1000,1000
1470766262,943,943
1470776462,957,957
1470787261,986,986
1470798065,1081,1081
1470811861,1037,1037
1470823867,965,965
1470836463,912,912
1470846062,877,877
1470860458,871,871
1470874859,872,872
1470889256,862,862
1470903664,869,869
1470918062,865,865
1470932460,848,848
1470946858,825,825
1470961259,816,816
1470990058,823,823
1471004453,758,758
1471018856,757,757
1471033253,757,757
1471047653,763,763
1471062057,776,776
1471076458,776,776
1471090852,756,756
1471105256,765,765
1471119658,764,764
1471134056,769,769
1471148453,807,807
1471162856,800,800
1471177253,789,789
1471191659,776,776
1471206053,786,786
1471220453,790,790
1471234853,801,801
1471249259,824,824
1471263655,820,820
1471278052,815,815
1471291852,777,777
1471306253,787,787
1471320652,784,784
1471335054,780,780
1471349453,769,769
1471363852,748,748
1471378252,745,745
1471392650,737,737
1471407047,758,758
1471421447,752,752
1471435849,761,761
1471450252,722,722
1471464655,722,722
1471479051,727,727
1471493454,761,761
1471507856,776,776
1471522254,771,771
1471536649,744,744
1471551049,749,749
1471565445,749,749
1471579845,734,734
1471594247,717,717
1471608643,722,722
1471623045,709,709
1471637452,858,858
1471651845,865,865
1471666245,837,837
1471680648,806,806
1471692653,817,817
1471703451,822,822
1471713648,830,830
1471725052,913,913
1471736451,953,953
1471747248,934,934
1471758050,899,899
1471770052,876,876
1471780851,865,865
1471791047,847,847
1471801850,944,944
1471813848,900,900
1471824047,876,876
1471834847,895,895
1471845048,883,883
1471855853,856,856
1471867252,891,891
1471877451,861,861
1471888849,877,877
1471899654,880,880
1471910448,875,875
1471921252,860,860
1471931449,863,863
1471942248,842,842
1471953047,840,840
1471963847,857,857
1471974648,892,892
1471986053,938,938
1471996856,963,963
1472008253,904,904
1472018447,872,872
1472029246,853,853
1472040044,828,828
1472050241,787,787
1472061048,813,813
1472071847,814,814
1472082644,827,827
1472093445,863,863
1472104245,864,864
1472115651,822,822
1472125849,772,772
1472136647,785,785
1472147444,828,828
1472158249,807,807
1472168446,811,811
1472181053,876,876
1472191249,871,871
1472201450,812,812
1472212245,745,745
1472222448,733,733
1472233847,799,799
1472244052,815,815
1472255450,856,856
1472266856,856,856
1472277655,820,820
1472288459,771,771
1472298652,741,741
1472310056,727,727
1472320252,849,849
1472331658,850,850
1472342458,857,857
1472352654,828,828
1472364054,812,812
1472374848,783,783
1472385650,764,764
1472396446,723,723
1472410848,901,901
1472421651,942,942
1472432450,912,912
1472443254,924,924
1472454653,869,869
1472466656,794,794
1472478050,738,738
1472487650,785,785
1472499646,836,836
1472511052,829,829
1472521849,794,794
1472532652,822,822
1472543449,767,767
1472554251,721,721
1472565051,730,730
1472575847,738,738
1472587248,833,833
1472598048,816,816
1472608252,850,850
1472622655,1318,1318
1472636472,1519,1519
1472644271,1565,1565
1472658663,1421,1421
1472665860,1726,1726
1472674867,1701,1701
1472683862,1617,1617
1472692261,1554,1554
1472705464,1437,1437
1472719867,1369,1369
1472733664,1374,1374
1472748067,1476,1476
1472753475,1681,1681
1472763069,1615,1615
1472777463,1443,1443
1472791267,1464,1464
1472803864,1450,1450
1472811065,1479,1479
1472818866,1438,1438
1472833268,1395,1395
1472841663,1463,1463
1472851253,1202,1202
1472859654,1080,1080
1472874049,953,953
1472884847,974,974
1472896852,835,835
1472908850,777,777
1472919651,843,843
1472931054,951,951
1472943054,992,992
1472956854,1017,1017
1472971253,1026,1026
1472983850,978,978
1472996454,917,917
1473009051,943,943
1473021648,929,929
1473035452,909,909
1473046254,916,916
1473057050,896,896
1473068458,866,866
1473080458,851,851
1473093052,824,824
1473103852,905,905
1473115254,937,937
1473127259,885,885
1473138652,840,840
1473148252,815,815
1473159055,746,746
1473169852,733,733
1473180650,745,745
1473191449,804,804
1473202252,841,841
1473213053,849,849
1473224447,824,824
1473234648,798,798
1473245443,789,789
1473256248,736,736
1473266446,765,765
1473277849,865,865
1473288646,863,863
1473300052,870,870
1473310854,870,870
1473324070,1034,1034
1473333673,1387,1387
1473340872,1536,1536
1473349870,1520,1520
1473358867,1411,1411
1473367258,1107,1107
1473379257,1118,1118
1473390062,1125,1125
1473400862,1103,1103
1473414660,1096,1096
1473428453,1006,1006
1473442260,1055,1055
1473454259,1099,1099
1473460857,1089,1089
1473469259,1071,1071
1473482453,958,958
1473489651,941,941
1473503459,883,883
1473513661,890,890
1473524458,911,911
1473535860,960,960
1473546654,998,998
1473557461,1032,1032
1473568260,1052,1052
1473579659,1073,1073
1473590462,1037,1037
1473597657,1098,1098
1473611455,1065,1065
1473624053,1048,1048
1473634855,1068,1068
1473646258,1071,1071
1473656460,1050,1050
1473667261,1023,1023
1473678060,1004,1004
1473688264,1024,1024
1473700262,1128,1128
1473712262,1120,1120
1473723063,1125,1125
1473733859,1090,1090
1473744660,1120,1120
1473756060,1073,1073
1473770453,984,984
1473784854,920,920
1473796861,937,937
1473807661,950,950
1473818455,952,952
1473829859,1006,1006
1473842458,959,959
1473853858,898,898
1473865257,865,865
1473876058,892,892
1473888058,862,862
1473899465,1089,1089
1473910859,1116,1116
1473925263,1058,1058
1473936061,1023,1023
1473949260,971,971
1473961264,1016,1016
1473973860,968,968
1473984060,991,991
1473994865,1011,1011
1474005659,1012,1012
1474016459,928,928
1474026658,890,890
1474038661,865,865
1474050662,857,857
1474060863,883,883
1474071667,979,979
1474082464,1010,1010
1474093861,997,997
1474104662,949,949
1474115460,949,949
1474126260,947,947
1474138266,931,931
1474149064,997,997
1474160472,1173,1173
1474171867,1149,1149
1474179668,1098,1098
1474194067,984,984
1474200666,939,939
1474215063,834,834
1474225262,869,869
1474234856,923,923
1474246261,1004,1004
1474257662,1017,1017
1474268461,940,940
1474279262,905,905
1474290065,1007,1007
1474302657,970,970
1474316459,897,897
1474329063,906,906
1474340466,935,935
1474351859,888,888
1474365669,769,769
1474375299,776,776
1474386066,760,760
1474397460,834,834
1474408261,851,851
1474418463,843,843
1474429862,815,815
1474442460,823,823
1474455668,772,772
1474465859,718,718
1474476660,675,675
1474490457,714,714
1474501258,774,774
1474512659,808,808
1474523456,771,771
1474534257,721,721
1474544458,674,674
1474556460,663,663
1474566657,664,664
1474579858,641,641
1474593656,754,754
1474605056,759,759
1474615858,710,710
1474628454,569,569
1474642256,594,594
1474652507,589,589
1474663258,684,684
1474674062,786,786
1474685466,764,764
1474696259,795,795
1474707064,718,718
1474719657,677,677
1474731058,689,689
1474741257,711,711
1474750860,760,760
1474761654,726,726
1474771851,701,701
1474782056,738,738
1474792859,666,666
1474807254,613,613
1474821055,617,617
1474834852,682,682
1474845054,717,717
1474854655,764,764
1474866057,756,756
1474876256,689,689
1474887059,723,723
1474897857,697,697
1474908655,679,679
1474920058,700,700
1474929655,690,690
1474939852,730,730
1474949454,691,691
1474960252,697,697
1474974655,677,677
1474986053,647,647
1474999851,676,676
1475010654,704,704
1475022052,702,702
1475036455,713,713
1475047258,731,731
1475057459,715,715
1475068857,653,653
1475079058,711,711
1475089856,729,729
1475100654,803,803
1475110856,765,765
1475120454,716,716
1475131254,702,702
1475142062,745,745
1475153457,723,723
1475164852,676,676
1475174453,635,635
1475188856,690,690
1475199655,717,717
1475211052,684,684
1475224852,646,646
1475239253,643,643
1475250652,621,621
1475260859,642,642
1475271058,676,676
1475281255,722,722
1475292053,681,681
