DateTime,AddedIPs,RemovedIPs
1474178163,19,9
1474181762,9,4
1474185363,13,4
1474188963,19,6
1474192566,25,0
1474196163,13,17
1474199763,7,0
1474203380,10,7
1474206963,13,7
1474210563,13,3
1474214163,20,15
1474217763,8,0
1474221363,3,21
1474224963,9,4
1474228563,6,7
1474232162,5,10
1474235762,7,0
1474239363,10,13
1474242963,9,6
1474246563,3,14
1474250163,2,0
1474253763,6,13
1474257363,7,24
1474260963,3,16
1474264562,4,15
1474268163,9,0
1474271762,5,13
1474275363,9,0
1474278963,7,11
1474282562,13,7
1474286163,5,18
1474289763,9,18
1474293363,6,22
1474296963,14,8
1474300563,12,12
1474304163,7,8
1474307762,5,18
1474311363,5,7
1474314962,7,0
1474318562,8,6
1474322163,12,30
1474325763,15,10
1474329363,9,6
1474332963,2,13
1474336563,5,18
1474340163,40,11
1474343762,17,8
1474347362,30,11
1474350962,11,9
1474354562,9,8
1474358163,4,3
1474361762,8,0
1474365363,7,21
1474368962,7,0
1474372562,7,24
1474376162,7,0
1474379762,4,7
1474383363,5,14
1474386963,15,19
1474390563,11,0
1474394163,10,14
1474397762,9,0
1474401362,3,7
1474404962,5,12
1474408563,4,17
1474412163,5,11
1474415763,57,11
1474419362,81,0
1474422962,30,0
1474426562,12,0
1474430162,8,16
1474433762,6,0
1474437362,6,15
1474440962,2,33
1474444562,4,12
1474448163,4,0
1474451763,3,10
1474455362,5,0
1474458963,3,17
1474462563,8,0
1474466162,7,25
1474469762,5,14
1474473363,8,45
1474476963,5,0
1474480563,4,31
1474484163,7,9
1474487762,7,6
1474491362,9,0
1474494962,12,11
1474498562,9,10
1474502163,4,18
1474505762,3,6
1474509362,4,8
1474512962,1,6
1474516562,1,0
1474520163,5,23
1474523762,7,0
1474527362,6,12
1474530962,5,26
1474534563,5,0
1474538162,10,15
1474541762,16,0
1474545363,6,13
1474548963,4,4
1474552562,7,9
1474556162,7,9
1474559762,1,11
1474563362,7,22
1474566962,5,8
1474570562,6,6
1474574162,7,12
1474577763,6,0
1474581362,4,17
1474584963,13,0
1474588563,2,13
1474592163,2,0
1474595763,3,15
1474599362,7,0
1474602963,5,5
1474606563,9,18
1474610162,10,10
1474613762,4,0
1474617363,2,2
1474620963,9,11
1474624563,4,7
1474628162,2,12
1474631762,7,14
1474635363,2,0
1474638963,6,8
1474642563,9,37
1474649763,4,7
1474653362,3,6
1474656962,3,0
1474660563,6,11
1474664162,7,0
1474667762,8,8
1474671363,6,18
1474674963,4,0
1474678563,4,5
1474682162,2,23
1474685762,2,7
1474689363,7,0
1474692963,3,6
1474696562,5,19
1474700162,6,0
1474703762,2,7
1474707363,6,5
1474710962,10,7
1474714562,19,3
1474718162,2,3
1474721763,5,12
1474725362,4,11
1474728962,21,5
1474732563,6,0
1474736162,7,16
1474739762,4,11
1474743362,6,10
1474746963,6,0
1474750562,15,12
1474754162,5,19
1474757762,12,0
1474761362,4,9
1474764963,6,15
1474768563,13,41
1474772163,4,0
1474775762,10,18
1474779363,6,11
1474782962,10,25
1474786562,8,0
1474790162,6,8
1474793763,1,14
1474797363,8,20
1474800963,5,0
1474808162,17,37
1474811762,7,0
1474815363,4,7
1474818963,15,19
1474822562,26,14
1474826163,6,6
1474829763,3,0
1474833362,7,7
1474836963,6,23
1474840563,3,0
1474844162,6,13
1474847762,6,20
1474851363,4,0
1474854963,5,15
1474858562,8,0
1474862163,1,10
1474865762,2,0
1474869362,2,29
1474872963,2,0
1474876562,5,14
1474880163,8,9
1474883762,7,18
1474887362,13,0
1474890962,4,10
1474894562,6,17
1474898163,2,8
1474901763,12,29
1474905362,3,0
1474908963,7,12
1474912562,7,10
1474916162,7,24
1474919763,7,0
1474923362,9,7
1474926963,4,6
1474930563,7,13
1474934162,3,5
1474937763,3,8
1474941363,6,61
1474944962,3,7
1474948563,4,28
1474952163,8,14
1474955763,15,0
1474959363,10,4
1474962962,8,13
1474966562,4,7
1474970163,9,35
1474973763,3,5
1474977362,5,11
1474980963,5,0
1474984562,6,17
1474988162,7,20
1474991762,6,0
1474995362,3,24
1474998963,4,8
1475002562,1,0
1475006163,8,9
1475009763,3,7
1475013363,2,0
1475016962,3,52
1475020564,12,0
1475024163,3,31
1475027763,2,32
1475031363,3,0
1475034962,3,14
1475038563,3,45
1475042163,17,9
1475045763,8,13
1475049362,9,0
1475052962,10,13
1475056562,8,7
1475060163,15,17
1475063762,5,0
1475067363,14,16
1475070963,17,14
1475074563,7,0
1475078163,7,12
1475081763,4,21
1475085363,17,5
1475088963,7,0
1475092562,6,10
1475096163,8,16
1475099763,7,11
1475103363,9,0
1475106962,7,8
1475110563,4,9
1475114163,2,4
1475117763,1,0
1475121362,8,15
1475124962,3,0
1475128563,28,22
1475132162,11,6
1475135763,7,0
1475139362,4,12
1475142963,12,11
1475146562,12,5
1475150163,6,8
1475153763,11,5
1475157362,9,5
1475160962,7,6
1475164562,9,0
1475168162,8,20
1475171762,10,6
1475175362,9,12
1475178962,18,5
1475182562,18,3
1475186163,6,7
1475189762,6,7
1475193363,2,5
1475196962,19,8
1475200563,6,8
1475204162,5,0
1475207762,3,0
1475211363,8,7
1475214962,8,21
1475218563,9,0
1475222163,12,9
1475225762,18,5
1475229362,7,0
1475232962,7,13
1475236562,10,0
1475240163,8,3
1475243762,3,8
1475247363,7,9
1475250962,2,0
1475254562,8,8
1475258164,9,8
1475261763,13,0
1475265362,6,24
1475268962,1,4
1475272562,3,4
1475276162,6,0
1475279762,9,11
1475283363,7,7
1475290562,2,6
1475294162,1,11
1475297763,3,13
1475301362,3,0
1475304962,2,6
1475308563,5,4
1475312162,5,20
1475315763,5,11
1475319364,8,6
1475322962,4,0
1475326562,7,9
1475330163,4,0
1475333762,13,16
1475337363,12,4
1475340963,10,0
1475344563,8,2
1475348162,5,16
