DateTime,Entries,UniqueIPs
1474192566,3165,3193
1474196163,3162,3189
1474199763,3169,3196
1474203380,3173,3199
1474206963,3179,3205
1474210563,3189,3215
1474214163,3194,3220
1474217763,3202,3228
1474221363,3184,3210
1474224963,3189,3215
1474228563,3188,3214
1474232162,3182,3209
1474235762,3189,3216
1474239363,3186,3213
1474242963,3189,3216
1474246563,3178,3205
1474250163,3180,3207
1474253763,3173,3200
1474257363,3156,3183
1474260963,3143,3170
1474264562,3132,3159
1474268163,3141,3168
1474271762,3133,3160
1474275363,3142,3169
1474278963,3138,3165
1474282562,3144,3171
1474286163,3131,3158
1474289763,3122,3149
1474293363,3106,3133
1474296963,3112,3139
1474300563,3113,3139
1474304163,3111,3138
1474307762,3099,3125
1474311363,3097,3123
1474314962,3104,3130
1474318562,3106,3132
1474322163,3088,3114
1474325763,3093,3119
1474329363,3096,3122
1474332963,3085,3111
1474336563,3072,3098
1474340163,3101,3127
1474343762,3110,3136
1474347362,3130,3155
1474350962,3132,3157
1474354562,3133,3158
1474358163,3134,3159
1474361762,3142,3167
1474365363,3128,3153
1474368962,3135,3160
1474372562,3118,3143
1474376162,3125,3150
1474379762,3122,3147
1474383363,3113,3138
1474386963,3109,3134
1474390563,3120,3145
1474394163,3116,3141
1474397762,3125,3150
1474401362,3122,3146
1474404962,3115,3139
1474408563,3102,3126
1474412163,3096,3120
1474415763,3142,3166
1474419362,3222,3247
1474422962,3251,3277
1474426562,3262,3289
1474430162,3254,3281
1474433762,3260,3287
1474437362,3250,3278
1474440962,3219,3247
1474444562,3211,3239
1474448163,3215,3243
1474451763,3207,3236
1474455362,3212,3241
1474458963,3200,3227
1474462563,3208,3235
1474466162,3190,3217
1474469762,3181,3208
1474473363,3144,3171
1474476963,3149,3176
1474480563,3122,3149
1474484163,3119,3147
1474487762,3120,3148
1474491362,3129,3157
1474494962,3130,3158
1474498562,3129,3157
1474502163,3115,3143
1474505762,3114,3140
1474509362,3110,3136
1474512962,3105,3131
1474516562,3106,3132
1474520163,3089,3114
1474523762,3095,3121
1474527362,3089,3115
1474530962,3068,3094
1474534563,3073,3099
1474538162,3068,3094
1474541762,3084,3110
1474545363,3077,3103
1474548963,3077,3103
1474552562,3074,3101
1474556162,3072,3099
1474559762,3062,3089
1474563362,3047,3074
1474566962,3045,3071
1474570562,3045,3071
1474574162,3040,3066
1474577763,3046,3072
1474581362,3032,3059
1474584963,3044,3072
1474588563,3034,3061
1474592163,3036,3063
1474595763,3024,3051
1474599362,3030,3058
1474602963,3030,3058
1474606563,3021,3049
1474610162,3021,3049
1474613762,3025,3053
1474617363,3025,3053
1474620963,3023,3051
1474624563,3020,3048
1474628162,3010,3038
1474631762,3003,3031
1474635363,3005,3033
1474638963,3003,3031
