DateTime,AddedIPs,RemovedIPs
1474192566,100,100
1474196163,92,92
1474199763,70,71
1474203380,104,103
1474206963,75,76
1474210563,82,81
1474214163,102,103
1474217763,78,78
1474221363,74,73
1474224963,85,86
1474228563,75,75
1474232162,81,81
1474235762,77,76
1474239363,89,89
1474242963,73,73
1474246563,68,68
1474250163,74,74
1474253763,87,88
1474257363,72,71
1474260963,63,63
1474264562,86,86
1474268163,73,74
1474271762,93,94
1474275363,75,74
1474278963,81,80
1474282562,89,89
1474286163,72,73
1474289763,85,84
1474293363,82,82
1474296963,107,107
1474300563,120,121
1474304163,94,94
1474307762,83,85
1474311363,92,90
1474314962,70,70
1474318562,66,66
1474322163,77,78
1474325763,102,101
1474329363,72,71
1474332963,66,66
1474336563,118,119
1474340163,153,154
1474343762,69,69
1474347362,134,132
1474350962,87,87
1474354562,57,58
1474358163,72,73
1474361762,77,75
1474365363,70,70
1474368962,108,109
1474372562,80,80
1474376162,85,85
1474379762,59,60
1474383363,66,64
1474386963,107,108
1474390563,89,89
1474394163,99,98
1474397762,71,71
1474401362,68,68
1474404962,77,77
1474408563,59,59
1474412163,84,85
1474415763,177,177
1474419362,168,167
1474422962,86,86
1474426562,73,73
1474430162,75,75
1474433762,91,91
1474437362,82,82
1474440962,55,55
1474444562,58,58
1474448163,64,64
1474451763,57,57
1474455362,64,64
1474458963,79,79
1474462563,97,98
1474466162,66,66
1474469762,86,85
1474473363,60,60
1474476963,71,71
1474480563,63,63
1474484163,61,61
1474487762,71,71
1474491362,68,68
1474494962,96,96
1474498562,73,74
1474502163,70,70
1474505762,60,60
1474509362,56,57
1474512962,61,60
1474516562,54,54
1474520163,76,77
1474523762,72,71
1474527362,73,74
1474530962,72,70
1474534563,60,60
1474538162,76,76
1474541762,125,125
1474545363,76,76
1474548963,67,68
1474552562,70,70
1474556162,73,72
1474559762,60,61
1474563362,68,68
1474566962,70,69
1474570562,74,74
1474574162,84,84
1474577763,62,63
1474581362,66,65
1474584963,73,73
1474588563,55,55
1474592163,54,54
1474595763,69,70
1474599362,97,96
1474602963,56,57
1474606563,71,71
1474610162,86,87
1474613762,64,64
1474617363,63,61
1474620963,59,59
1474624563,62,62
1474628162,60,60
1474631762,85,85
1474635363,62,62
1474638963,72,72
1474642563,62,62
1474646163,63,63
1474649763,72,73
1474653362,62,61
1474656962,58,59
1474660563,84,84
1474664162,75,75
1474667762,63,63
1474671363,64,64
1474674963,72,72
1474678563,67,66
1474682162,51,52
1474685762,64,64
1474689363,74,73
1474692963,61,62
1474696562,72,72
1474700162,71,71
1474703762,59,58
1474707363,62,62
1474710962,99,99
1474714562,92,93
1474718162,63,62
1474721763,64,65
1474725362,67,66
1474728962,112,113
1474732563,69,70
1474736162,71,70
1474739762,60,60
1474743362,68,68
1474746963,82,81
1474750562,77,77
1474754162,64,65
1474757762,77,76
1474761362,56,56
1474764963,61,61
1474768563,65,65
1474772163,72,73
1474775762,84,84
1474779363,69,70
1474782962,102,101
1474786562,54,55
1474790162,66,65
1474793763,64,64
1474797363,75,75
1474800963,67,67
1474808162,127,126
1474811762,58,58
1474815363,74,74
1474818963,91,92
1474822562,151,150
1474826163,70,71
1474829763,66,65
1474833362,69,69
1474836963,68,68
1474840563,53,53
1474844162,86,86
1474847762,54,54
1474851363,74,74
1474854963,66,66
1474858562,71,71
1474862163,59,60
1474865762,67,67
1474869362,67,67
1474872963,63,63
1474876562,66,65
1474880163,61,62
1474883762,83,83
1474887362,99,102
1474890962,72,71
1474894562,63,62
1474898163,56,57
1474901763,88,90
1474905362,56,55
1474908963,62,60
1474912562,57,59
1474916162,61,59
1474919763,56,57
1474923362,80,79
1474926963,70,69
1474930563,66,67
1474934162,65,66
1474937763,53,53
1474941363,76,75
1474944962,67,66
1474948563,64,64
1474952163,87,86
1474955763,95,95
1474959363,70,71
1474962962,65,65
1474966562,67,68
1474970163,98,97
1474973763,59,59
1474977362,61,60
1474980963,67,68
1474984562,72,72
1474988162,72,73
1474991762,66,66
1474995362,67,67
1474998963,57,56
1475002562,57,56
1475006163,64,64
1475009763,47,47
1475013363,66,66
1475016962,59,59
1475020564,74,74
1475024163,61,61
1475027763,64,64
1475031363,65,65
1475034962,62,62
1475038563,68,68
1475042163,111,111
1475045763,106,106
1475049362,91,91
1475052962,67,67
1475056562,116,116
1475060163,83,83
1475063762,61,61
1475067363,100,101
1475070963,83,82
1475074563,70,70
1475078163,81,82
1475081763,71,71
1475085363,102,101
1475088963,67,68
1475092562,77,76
1475096163,62,62
1475099763,69,69
1475103363,80,80
1475106962,72,72
1475110563,59,59
1475114163,66,66
1475117763,64,64
1475121362,64,64
1475124962,66,66
1475128563,137,139
1475132162,85,85
1475135763,90,92
1475139362,62,61
1475142963,70,70
1475146562,97,95
1475150163,70,69
1475153763,73,73
1475157362,69,69
1475160962,74,74
1475164562,65,65
1475168162,72,72
1475171762,63,63
1475175362,75,75
1475178962,90,90
1475182562,109,109
1475186163,67,67
1475189762,73,73
1475193363,77,77
1475196962,110,111
1475200563,61,61
1475204162,60,60
1475207762,52,52
1475211363,61,62
1475214962,66,65
1475218563,66,67
1475222163,93,92
1475225762,109,108
1475229362,75,75
1475232962,80,80
1475236562,74,74
1475240163,95,96
1475243762,65,65
1475247363,83,83
1475250962,64,64
1475254562,64,64
1475258164,67,66
1475261763,100,101
1475265362,65,64
1475268962,58,59
1475272562,78,78
1475276162,65,64
1475279762,63,63
1475283363,62,62
1475286963,57,58
1475290562,71,71
1475294162,52,53
1475297763,63,63
1475301362,74,74
1475304962,69,68
1475308563,57,57
1475312162,64,64
1475315763,71,70
1475319364,70,71
1475322962,63,62
1475326562,69,71
1475330163,69,67
1475333762,79,79
1475337363,95,96
1475340963,64,64
1475344563,64,64
1475348162,60,60
1475351763,67,66
1475355362,82,82
1475358963,66,66
1475362562,69,70
1475366162,72,71
1475369763,62,62
1475373363,67,67
1475376963,76,76
1475380562,52,52
1475384162,62,62
1475387762,63,63
1475391362,83,83
1475394962,84,84
1475398562,62,62
1475402162,79,79
1475405763,104,105
1475409363,56,58
1475412962,71,69
1475416562,59,63
1475420163,72,68
1475423763,106,109
1475427363,85,84
1475430962,72,70
1475434562,59,61
1475438163,60,60
1475441762,68,67
1475445363,62,60
1475448962,94,94
1475452563,71,72
1475456162,52,52
1475459762,60,60
1475463362,76,77
1475466963,74,73
1475470562,67,68
1475474162,82,82
1475477762,70,71
1475481362,72,72
1475484963,57,55
1475488562,62,62
1475492163,57,57
1475495763,71,71
1475499363,75,77
1475502962,80,79
1475506564,81,80
1475510162,83,82
1475513762,74,74
1475517363,59,60
1475520962,61,61
1475524563,73,73
1475528162,65,65
1475531762,64,65
1475535363,85,83
1475538962,70,70
1475542563,71,71
1475546163,66,66
1475549762,74,75
1475553362,58,58
1475556963,75,75
1475560562,59,60
1475564163,59,57
1475567762,62,63
1475571363,74,74
1475574962,79,79
1475578562,98,98
1475582179,92,92
1475585763,75,75
1475589363,57,56
1475592962,58,61
1475596562,57,58
1475600163,123,119
1475603762,64,67
1475607363,65,66
1475610962,83,82
1475614563,67,66
1475618162,62,61
1475621762,80,79
1475625363,75,76
1475628963,62,63
1475632562,62,61
1475636162,82,81
1475639763,59,59
1475643363,107,107
1475646963,80,80
1475650562,63,64
1475654162,57,57
1475657762,53,53
1475661362,101,102
1475664962,93,91
1475668563,59,60
1475672163,69,69
1475675762,71,70
1475679362,118,118
1475682963,98,98
1475686562,72,72
1475690163,76,76
1475693763,71,71
1475697362,86,87
1475700962,61,61
1475704563,59,61
1475708163,94,94
1475711762,62,62
1475715362,60,59
1475718962,60,60
1475722562,76,76
1475726162,53,55
1475729762,101,99
1475733362,76,75
1475736963,75,75
1475740563,85,85
1475744163,69,69
1475747762,87,87
1475751362,87,86
1475754962,78,78
1475758562,66,66
1475762162,65,65
1475765762,72,72
1475769362,132,132
1475772963,92,92
1475776563,75,75
1475780162,65,66
1475783763,70,69
1475787362,76,76
1475790963,66,66
1475794563,66,67
1475798162,61,63
1475801763,58,56
1475805362,84,85
1475808962,83,82
1475812562,65,65
1475816163,87,86
1475819762,59,60
1475823363,69,69
1475826963,84,84
1475830563,56,55
1475834162,97,97
1475837762,90,91
1475841363,59,58
1475844962,63,65
1475848562,65,63
1475852169,70,71
1475855763,87,88
1475859363,73,72
1475862962,87,88
1475866562,77,76
1475870162,95,96
1475873763,73,73
1475877363,80,80
1475884562,82,82
1475888162,54,53
1475891762,69,69
1475895363,65,65
1475898981,80,81
1475902562,76,76
1475906163,77,77
1475909762,73,73
1475913362,88,87
1475916962,69,70
1475920562,92,92
1475924163,89,89
1475927762,70,68
1475931363,61,62
1475934981,81,81
1475938562,64,64
1475942163,66,66
1475945762,68,69
1475949362,63,62
1475952962,69,71
1475956562,89,88
1475960162,83,82
1475963763,70,71
1475967362,78,77
1475970963,80,80
1475974562,61,61
1475978163,68,68
1475981763,81,83
1475985362,70,70
1475988962,66,65
1475992562,114,112
1475996163,70,70
