DateTime,Entries,UniqueIPs
1474221363,300,300
1474224963,299,299
1474228563,299,299
1474232162,299,299
1474235762,300,300
1474239363,300,300
1474242963,300,300
1474246563,300,300
1474250163,300,300
1474253763,299,299
1474257363,300,300
1474260963,300,300
1474264562,300,300
1474268163,299,299
1474271762,298,298
1474275363,299,299
1474278963,300,300
1474282562,300,300
1474286163,299,299
1474289763,300,300
1474293363,300,300
1474296963,300,300
1474300563,299,299
1474304163,299,299
1474307762,297,297
1474311363,299,299
1474314962,299,299
1474318562,299,299
1474322163,298,298
1474325763,299,299
1474329363,300,300
1474332963,300,300
1474336563,299,299
1474340163,298,298
1474343762,298,298
1474347362,300,300
1474350962,300,300
1474354562,299,299
1474358163,298,298
1474361762,300,300
1474365363,300,300
1474368962,299,299
1474372562,299,299
1474376162,299,299
1474379762,298,298
1474383363,300,300
1474386963,299,299
1474390563,299,299
1474394163,300,300
1474397762,300,300
1474401362,300,300
1474404962,300,300
1474408563,300,300
1474412163,299,299
1474415763,299,299
1474419362,300,300
1474422962,300,300
1474426562,300,300
1474430162,300,300
1474433762,300,300
1474437362,300,300
1474440962,300,300
1474444562,300,300
1474448163,300,300
1474451763,300,300
1474455362,300,300
1474458963,300,300
1474462563,299,299
1474466162,299,299
1474469762,300,300
1474473363,300,300
1474476963,300,300
1474480563,300,300
1474484163,300,300
1474487762,300,300
1474491362,300,300
1474494962,300,300
1474498562,299,299
1474502163,299,299
1474505762,299,299
1474509362,298,298
1474512962,299,299
1474516562,299,299
1474520163,298,298
1474523762,299,299
1474527362,298,298
1474530962,300,300
1474534563,300,300
1474538162,300,300
1474541762,300,300
1474545363,300,300
1474548963,299,299
1474552562,299,299
1474556162,300,300
1474559762,299,299
1474563362,299,299
1474566962,300,300
1474570562,300,300
1474574162,300,300
1474577763,299,299
1474581362,300,300
1474584963,300,300
1474588563,300,300
1474592163,300,300
1474595763,299,299
1474599362,300,300
1474602963,299,299
1474606563,299,299
1474610162,298,298
1474613762,298,298
1474617363,300,300
1474620963,300,300
1474624563,300,300
1474628162,300,300
1474631762,300,300
1474635363,300,300
1474638963,300,300
1474642563,300,300
1474646163,300,300
1474649763,299,299
1474653362,300,300
1474656962,299,299
1474660563,299,299
1474664162,299,299
1474667762,299,299
1474671363,299,299
1474674963,299,299
1474678563,300,300
1474682162,299,299
1474685762,299,299
1474689363,300,300
1474692963,299,299
1474696562,299,299
1474700162,299,299
1474703762,300,300
1474707363,300,300
1474710962,300,300
1474714562,299,299
1474718162,300,300
1474721763,299,299
1474725362,300,300
1474728962,299,299
1474732563,298,298
1474736162,299,299
1474739762,299,299
1474743362,299,299
1474746963,300,300
1474750562,300,300
1474754162,299,299
1474757762,300,300
1474761362,300,300
1474764963,300,300
1474768563,300,300
1474772163,299,299
1474775762,299,299
1474779363,298,298
1474782962,299,299
1474786562,298,298
1474790162,299,299
1474793763,299,299
1474797363,299,299
1474800963,299,299
1474808162,300,300
1474811762,300,300
1474815363,300,300
1474818963,299,299
1474822562,300,300
1474826163,299,299
1474829763,300,300
1474833362,300,300
1474836963,300,300
1474840563,300,300
1474844162,300,300
1474847762,300,300
1474851363,300,300
1474854963,300,300
1474858562,300,300
1474862163,299,299
1474865762,299,299
1474869362,299,299
1474872963,299,299
1474876562,300,300
1474880163,299,299
1474883762,299,299
1474887362,296,296
1474890962,297,297
1474894562,298,298
1474898163,297,297
1474901763,295,295
1474905362,296,296
1474908963,298,298
1474912562,296,296
1474916162,298,298
1474919763,297,297
1474923362,298,298
1474926963,299,299
1474930563,298,298
1474934162,297,297
1474937763,297,297
1474941363,298,298
1474944962,299,299
1474948563,299,299
1474952163,300,300
1474955763,300,300
1474959363,299,299
1474962962,299,299
1474966562,298,298
1474970163,299,299
1474973763,299,299
1474977362,300,300
1474980963,299,299
1474984562,299,299
1474988162,298,298
1474991762,298,298
1474995362,298,298
1474998963,299,299
1475002562,300,300
1475006163,300,300
1475009763,300,300
1475013363,300,300
1475016962,300,300
1475020564,300,300
1475024163,300,300
1475027763,300,300
1475031363,300,300
1475034962,300,300
1475038563,300,300
1475042163,300,300
1475045763,300,300
1475049362,300,300
1475052962,300,300
1475056562,300,300
1475060163,300,300
1475063762,300,300
1475067363,299,299
1475070963,300,300
1475074563,300,300
1475078163,299,299
1475081763,299,299
1475085363,300,300
1475088963,299,299
1475092562,300,300
1475096163,300,300
1475099763,300,300
1475103363,300,300
1475106962,300,300
1475110563,300,300
1475114163,300,300
1475117763,300,300
1475121362,300,300
1475124962,300,300
1475128563,298,298
1475132162,298,298
1475135763,296,296
1475139362,297,297
1475142963,297,297
1475146562,299,299
1475150163,300,300
1475153763,300,300
1475157362,300,300
1475160962,300,300
1475164562,300,300
1475168162,300,300
1475171762,300,300
1475175362,300,300
1475178962,300,300
1475182562,300,300
1475186163,300,300
1475189762,300,300
1475193363,300,300
1475196962,299,299
1475200563,299,299
1475204162,299,299
1475207762,299,299
1475211363,298,298
1475214962,299,299
1475218563,298,298
1475222163,299,299
1475225762,300,300
1475229362,300,300
1475232962,300,300
1475236562,300,300
1475240163,299,299
1475243762,299,299
1475247363,299,299
1475250962,299,299
1475254562,299,299
1475258164,300,300
1475261763,299,299
1475265362,300,300
1475268962,299,299
1475272562,299,299
1475276162,300,300
1475279762,300,300
1475283363,300,300
1475286963,299,299
1475290562,299,299
1475294162,298,298
1475297763,298,298
1475301362,298,298
1475304962,299,299
1475308563,299,299
1475312162,299,299
1475315763,300,300
1475319364,299,299
1475322962,300,300
1475326562,298,298
1475330163,300,300
1475333762,300,300
1475337363,299,299
1475340963,299,299
1475344563,299,299
1475348162,299,299
1475351763,300,300
1475355362,300,300
1475358963,300,300
1475362562,299,299
1475366162,300,300
1475369763,300,300
1475373363,300,300
1475376963,300,300
1475380562,300,300
1475384162,300,300
1475387762,300,300
1475391362,300,300
1475394962,300,300
1475398562,300,300
1475402162,300,300
1475405763,299,299
1475409363,297,297
1475412962,299,299
1475416562,295,295
1475420163,299,299
1475423763,296,296
1475427363,297,297
1475430962,299,299
