DateTime,AddedIPs,RemovedIPs
1473319858,7,12
1473324073,8,7
1473329476,9,0
1473333677,9,4
1473340877,6,8
1473349875,7,6
1473358871,10,20
1473367263,5,10
1473373860,8,0
1473379262,6,8
1473384668,4,8
1473390077,7,11
1473395468,8,9
1473400868,6,0
1473406864,4,7
1473414664,9,19
1473421877,5,0
1473428457,4,7
1473436257,5,16
1473442264,9,0
1473448264,6,4
1473454264,7,0
1473460862,7,11
1473469265,7,13
1473475858,8,0
1473482459,9,7
1473489657,9,5
1473497460,8,5
1473503462,8,4
1473508263,7,6
1473513664,5,3
1473519662,7,7
1473524462,9,7
1473530596,6,0
1473535864,7,14
1473541263,5,6
1473546659,4,0
1473552063,6,8
1473557466,6,8
1473562863,6,8
1473568265,7,0
1473573663,7,6
1473579662,5,5
1473584460,5,9
1473590466,9,8
1473597661,8,7
1473605465,3,10
1473611459,8,0
1473618060,8,7
1473624057,5,6
1473629457,4,4
1473634860,4,6
1473639659,6,9
1473646265,6,0
1473651667,6,18
1473656465,7,10
1473661865,9,0
1473667264,4,17
1473672664,8,9
1473678064,8,0
1473683462,7,6
1473688267,2,6
1473694261,10,6
1473700266,8,7
1473707469,11,6
1473712266,7,4
1473718265,9,9
1473723068,8,5
1473729063,10,6
1473733864,5,7
1473738664,7,5
1473744665,5,4
1473750666,4,8
1473756063,10,9
1473763864,4,10
1473770457,5,6
1473777660,1,4
1473784858,8,10
1473791461,7,6
1473796865,5,10
1473802262,6,8
1473807665,7,4
1473813061,2,8
1473818461,5,8
1473823864,7,8
1473829864,7,6
1473836463,6,5
1473842463,8,4
1473847865,7,8
1473853865,5,4
1473859861,6,6
1473865263,9,3
1473870666,5,7
1473876065,5,6
1473882064,8,6
1473888065,6,8
1473892862,10,8
1473899473,6,8
1473905473,5,13
1473910867,2,7
1473918065,10,5
1473925266,11,9
1473930665,6,7
1473936065,7,12
1473943267,5,9
1473949263,7,11
1473955861,5,0
1473961269,10,3
1473966660,8,7
1473973865,6,0
1473978666,7,14
1473984065,5,7
1473989467,8,5
1473994870,3,0
1474000263,9,6
1474005665,5,13
1474011065,6,0
1474016462,5,4
1474021865,6,5
1474026661,4,5
1474032663,4,0
1474038665,7,5
1474045267,10,5
1474050666,4,3
1474056069,7,5
1474060868,6,7
1474066268,5,13
1474071672,8,0
1474077673,1,9
1474082469,6,9
1474088468,5,5
1474093867,10,6
1474099267,7,0
1474104665,8,4
1474110066,7,7
1474115464,5,6
1474120866,4,6
1474126264,3,6
1474132267,6,9
1474138271,7,8
1474143669,2,7
1474149069,5,6
1474155071,13,6
1474160478,9,6
1474166475,6,6
1474171872,6,6
1474179675,11,15
1474186871,8,4
1474194071,4,6
1474200670,3,8
1474209062,6,8
1474215066,8,2
1474219263,6,4
1474225266,6,6
1474230666,4,4
1474234861,5,6
1474240871,5,10
1474246267,5,5
1474251669,9,7
1474257668,6,6
1474263664,2,5
1474268467,4,8
1474273867,4,5
1474279269,9,9
