DateTime,AddedIPs,RemovedIPs
1473333677,19,21
1473340877,27,23
1473349875,25,25
1473358871,20,24
1473367263,23,22
1473373860,24,24
1473379262,21,21
1473384668,14,15
1473390077,19,17
1473395468,22,23
1473400868,23,23
1473406864,18,20
1473414664,19,16
1473421877,22,24
1473428457,19,19
1473436257,19,18
1473442264,18,20
1473448264,23,21
1473454264,25,24
1473460862,22,20
1473469265,23,25
1473475858,23,21
1473482459,23,26
1473489657,19,18
1473497460,18,21
1473503462,22,17
1473508263,16,17
1473513664,19,19
1473519662,23,25
1473524462,22,20
1473530596,20,21
1473535864,19,20
1473541263,18,19
1473546659,18,19
1473552063,17,17
1473557466,19,17
1473562863,21,20
1473568265,20,21
1473573663,23,20
1473579662,21,24
1473584460,18,16
1473590466,23,22
1473597661,20,23
1473605465,21,22
1473611459,19,18
1473618060,20,20
1473624057,20,19
1473629457,19,21
1473634860,21,19
1473639659,19,21
1473646265,19,18
1473651667,20,20
1473656465,14,13
1473661865,23,23
1473667264,21,23
1473672664,22,20
1473678064,18,19
1473683462,23,23
1473688267,18,17
1473694261,22,22
1473700266,20,19
1473707469,24,25
1473712266,22,20
1473718265,23,23
1473723068,22,25
1473729063,20,17
1473733864,16,19
1473738664,21,20
1473744665,20,21
1473750666,21,21
1473756063,22,19
1473763864,16,20
1473770457,23,20
1473777660,18,21
1473784858,21,21
1473791461,21,20
1473796865,17,17
1473802262,23,22
1473807665,17,18
1473813061,15,19
1473818461,17,14
1473823864,20,18
1473829864,22,21
1473836463,21,24
1473842463,17,15
1473847865,19,19
1473853865,22,21
1473859861,22,24
1473865263,19,19
1473870666,17,16
1473876065,18,17
1473882064,23,23
1473888065,17,19
1473892862,23,22
1473899473,24,24
1473905473,25,25
1473910867,16,19
1473918065,23,18
1473925266,25,25
1473930665,20,21
1473936065,20,21
1473943267,22,22
1473949263,22,22
1473955861,23,22
1473961269,19,22
1473966660,21,19
1473973865,22,21
1473978666,21,22
1473984065,22,22
1473989467,19,21
1473994870,18,18
1474000263,23,20
1474005665,16,18
1474011065,16,18
1474016462,20,17
1474021865,19,20
1474026661,20,19
1474032663,18,19
1474038665,21,21
1474045267,25,23
1474050666,20,20
1474056069,18,20
1474060868,19,18
1474066268,21,21
1474071672,16,19
1474077673,16,17
1474082469,20,16
1474088468,20,19
1474093867,24,23
1474099267,19,22
1474104665,17,17
1474110066,21,20
1474115464,22,23
1474120866,18,17
1474126264,21,23
1474132267,19,18
1474138271,24,21
1474143669,16,20
1474149069,21,20
1474155071,21,19
1474160478,22,23
1474166475,19,22
1474171872,24,21
1474179675,25,23
1474186871,23,26
1474194071,18,19
1474200670,20,20
1474209062,21,21
1474215066,22,19
1474219263,18,21
1474225266,20,18
1474230666,22,23
1474234861,20,19
1474240871,22,24
1474246267,20,18
1474251669,21,21
1474257668,22,23
1474263664,20,21
1474268467,21,18
1474273867,19,22
1474279269,24,23
1474284070,19,20
1474290072,19,21
1474296070,19,16
1474302665,19,20
1474309267,23,23
1474316466,22,21
1474323069,19,17
1474329071,19,22
1474335070,20,19
1474340474,23,22
1474345872,18,19
1474351867,23,20
1474359065,24,25
1474365672,21,22
1474370465,14,16
1474375302,19,16
1474381873,18,21
1474386069,22,19
1474392662,19,20
1474397464,17,17
1474403464,22,22
1474408266,18,19
1474413665,20,20
1474418468,20,19
1474424471,18,19
1474429867,21,21
1474435867,22,21
1474442463,20,22
1474449063,20,22
1474455671,21,19
1474459865,20,17
1474465862,22,23
1474470663,18,18
1474476664,17,20
1474480858,19,17
1474485058,14,16
1474490462,21,17
1474494057,16,19
1474497663,11,11
1474501261,19,18
1474507264,21,19
1474512664,21,23
1474518064,15,15
1474523462,18,20
1474528263,21,19
1474534260,17,17
1474539662,17,16
1474544461,16,18
1474550468,18,18
1474556464,13,14
1474561280,17,14
1474566661,19,18
1474571464,15,18
1474576263,19,19
1474579861,18,16
1474583466,17,18
1474587662,23,22
1474593661,20,20
1474598462,16,21
1474605061,19,15
1474609863,16,15
1474615861,25,24
1474620659,15,22
1474625464,18,14
1474628456,12,14
1474631461,13,8
1474636259,16,20
1474642260,16,14
1474647056,18,17
1474652510,19,18
1474657863,21,22
1474663262,18,20
1474669266,15,15
1474674067,19,18
1474681271,20,20
1474685470,14,15
1474690271,23,20
1474696264,19,19
1474702266,18,19
1474707068,18,18
1474711266,22,20
1474715461,15,18
1474719660,16,15
1474725064,17,21
1474731062,21,17
1474735862,19,20
1474741261,19,16
1474746665,16,18
1474750865,17,21
1474756266,22,19
1474761658,22,19
1474766460,17,19
1474771857,18,18
1474776660,17,19
1474782062,23,20
1474788062,18,18
1474792863,14,15
1474797661,13,14
1474802461,21,21
1474807258,20,21
1474812058,21,19
1474816258,15,17
1474821059,14,14
1474824657,19,17
1474829475,19,21
1474834856,20,19
1474839660,22,20
1474845059,16,17
1474849861,23,24
1474854661,19,19
1474860661,19,20
1474866063,19,18
1474871464,17,16
1474876259,17,18
1474881659,21,20
1474887062,19,20
1474892460,18,17
1474897860,19,20
1474903258,18,19
1474908658,18,16
1474913459,24,23
1474920063,16,17
1474924259,22,23
1474929659,20,19
1474935058,16,17
1474939857,19,19
1474944658,18,18
1474949459,19,17
1474954857,19,21
1474960258,20,19
1474964461,18,16
1474969268,18,21
1474974661,20,19
1474980663,17,18
1474986059,20,18
1474990862,16,17
1474995657,16,16
1474999858,20,20
1475005259,18,21
1475010661,19,15
1475016058,18,18
1475022059,21,21
1475026863,20,21
