DateTime,Entries,UniqueIPs
1473324073,25,25
1473329476,25,25
1473333677,23,23
1473340877,27,27
1473349875,27,27
1473358871,23,23
1473367263,24,24
1473373860,24,24
1473379262,24,24
1473384668,23,23
1473390077,25,25
1473395468,24,24
1473400868,24,24
1473406864,22,22
1473414664,25,25
1473421877,23,23
1473428457,23,23
1473436257,24,24
1473442264,22,22
1473448264,24,24
1473454264,25,25
1473460862,27,27
1473469265,25,25
1473475858,27,27
1473482459,24,24
1473489657,25,25
1473497460,22,22
1473503462,27,27
1473508263,26,26
1473513664,26,26
1473519662,24,24
1473524462,26,26
1473530596,25,25
1473535864,24,24
1473541263,23,23
1473546659,22,22
1473552063,22,22
1473557466,24,24
1473562863,25,25
1473568265,24,24
1473573663,27,27
1473579662,24,24
1473584460,26,26
1473590466,27,27
1473597661,24,24
1473605465,23,23
1473611459,24,24
1473618060,24,24
1473624057,25,25
1473629457,23,23
1473634860,25,25
1473639659,23,23
1473646265,24,24
1473651667,24,24
1473656465,25,25
1473661865,25,25
1473667264,23,23
1473672664,25,25
1473678064,24,24
1473683462,24,24
1473688267,25,25
1473694261,25,25
1473700266,26,26
1473707469,25,25
1473712266,27,27
1473718265,27,27
1473723068,24,24
1473729063,27,27
1473733864,24,24
1473738664,25,25
1473744665,24,24
1473750666,24,24
1473756063,27,27
1473763864,23,23
1473770457,26,26
1473777660,23,23
1473784858,23,23
1473791461,24,24
1473796865,24,24
1473802262,25,25
1473807665,24,24
1473813061,20,20
1473818461,23,23
1473823864,25,25
1473829864,26,26
1473836463,23,23
1473842463,25,25
1473847865,25,25
1473853865,26,26
1473859861,24,24
1473865263,24,24
1473870666,25,25
1473876065,26,26
1473882064,26,26
1473888065,24,24
1473892862,25,25
1473899473,25,25
1473905473,25,25
1473910867,22,22
1473918065,27,27
1473925266,27,27
1473930665,26,26
1473936065,25,25
1473943267,25,25
1473949263,25,25
1473955861,26,26
1473961269,23,23
1473966660,25,25
1473973865,26,26
1473978666,25,25
1473984065,25,25
1473989467,23,23
1473994870,23,23
1474000263,26,26
1474005665,24,24
1474011065,22,22
1474016462,25,25
1474021865,24,24
1474026661,25,25
1474032663,24,24
1474038665,24,24
1474045267,26,26
1474050666,26,26
1474056069,24,24
1474060868,25,25
1474066268,25,25
1474071672,22,22
1474077673,21,21
1474082469,25,25
1474088468,26,26
1474093867,27,27
1474099267,24,24
1474104665,24,24
1474110066,25,25
1474115464,24,24
1474120866,25,25
1474126264,23,23
1474132267,24,24
1474138271,27,27
1474143669,23,23
1474149069,24,24
1474155071,26,26
1474160478,25,25
1474166475,22,22
1474171872,25,25
1474179675,27,27
1474186871,24,24
1474194071,23,23
1474200670,23,23
1474209062,23,23
1474215066,26,26
1474219263,23,23
1474225266,25,25
1474230666,24,24
1474234861,25,25
1474240871,23,23
1474246267,25,25
1474251669,25,25
1474257668,24,24
1474263664,23,23
1474268467,26,26
1474273867,23,23
1474279269,24,24
1474284070,23,23
1474290072,21,21
1474296070,24,24
1474302665,23,23
1474309267,23,23
1474316466,24,24
1474323069,26,26
1474329071,23,23
1474335070,24,24
1474340474,25,25
1474345872,24,24
1474351867,27,27
1474359065,26,26
1474365672,25,25
1474370465,23,23
1474375302,26,26
1474381873,23,23
1474386069,26,26
1474392662,25,25
1474397464,25,25
1474403464,25,25
1474408266,24,24
1474413665,24,24
1474418468,25,25
1474424471,24,24
1474429867,24,24
1474435867,25,25
1474442463,23,23
1474449063,21,21
1474455671,23,23
1474459865,26,26
1474465862,25,25
1474470663,25,25
1474476664,22,22
1474480858,24,24
1474485058,22,22
1474490462,26,26
1474494057,23,23
1474497663,23,23
