DateTime,AddedIPs,RemovedIPs
1475704091,1,1
1475705052,0,2
1475706007,1,1
1475706496,2,1
1475706970,1,1
1475707445,2,1
1475707927,1,2
1475708440,1,1
1475708890,1,0
1475709847,0,1
1475710327,1,1
1475710810,1,2
1475711288,2,1
1475711768,0,1
1475712251,1,0
1475712732,0,1
1475713207,2,1
1475713696,2,2
1475714168,1,2
1475714649,2,1
1475715128,1,2
1475715631,3,2
1475716088,1,1
1475716573,2,4
1475717047,2,1
1475717531,1,1
1475718006,1,0
1475718493,1,1
1475718967,0,1
1475719451,1,1
1475719927,2,1
1475720417,0,2
1475720909,1,1
1475721372,1,2
1475721847,1,2
1475722333,2,3
1475722830,1,3
1475723287,2,0
1475723777,0,1
1475724251,1,2
1475724732,2,1
1475725206,1,0
1475725690,1,1
1475726170,1,2
1475726647,1,1
1475727126,0,1
1475727609,1,0
1475728566,0,1
1475729045,1,1
1475729527,1,0
1475730037,0,2
1475730488,1,1
1475730975,1,2
1475731450,2,1
1475731933,1,0
1475733367,0,1
1475733848,1,1
1475734329,1,2
1475734822,3,2
1475735287,2,0
1475735779,0,1
1475736250,2,1
1475736727,1,1
1475737446,1,1
1475737926,1,0
1475738405,0,1
1475738889,1,1
1475739365,1,1
1475739847,1,0
1475742252,0,1
1475742726,1,1
1475743207,2,2
1475743517,1,1
1475743929,1,0
1475745126,0,1
1475745613,8,1
1475746089,7,1
1475746564,1,1
1475747045,1,0
1475747530,0,2
1475748245,1,1
1475748725,1,1
1475749218,1,1
1475749685,1,0
1475751851,0,1
1475752326,1,0
1475752806,0,1
1475753287,1,2
1475753768,2,0
1475754728,0,1
1475755447,3,2
1475755930,0,1
1475756415,1,0
1475757857,1,2
1475758325,1,0
1475759285,0,1
1475759770,1,0
1475761205,0,1
1475761690,1,1
1475762165,1,0
1475763609,0,2
1475764084,2,0
1475764576,0,1
1475765045,1,3
1475765534,3,1
1475766246,1,0
1475766729,0,1
1475767206,1,1
1475767690,1,0
1475769128,0,1
1475769621,1,1
1475770087,1,0
1475772006,0,1
1475772489,1,0
1475773445,0,1
1475773926,1,1
1475774406,1,1
1475774889,2,1
1475777049,4,0
1475777525,11,0
1475778012,19,0
1475778490,11,0
1475778976,12,0
1475779444,9,0
1475779937,13,0
1475780416,8,1
1475780892,1,0
1475781365,0,1
1475781857,2,1
1475782325,0,1
1475782808,1,0
1475784727,2,3
1475785206,1,0
1475785692,0,1
1475786165,1,0
1475786646,1,0
1475788085,0,1
1475788570,1,0
1475790965,0,1
1475791449,1,2
1475791925,2,1
1475793383,1,1
1475793844,1,1
1475794334,1,1
1475795046,1,0
1475796005,0,1
1475796486,3,2
1475796966,1,2
1475797444,1,0
1475797929,0,1
1475798646,1,1
1475799128,1,1
1475799608,1,0
1475800090,0,1
1475800565,1,1
1475801052,1,0
1475802044,0,1
1475802487,1,2
1475802969,1,3
1475803446,3,0
1475803936,0,1
1475804409,1,1
1475804896,3,5
1475805370,3,1
1475805847,1,1
1475806328,1,1
1475806815,1,0
1475807287,0,2
1475807773,2,0
1475808248,0,1
1475808734,1,1
1475809448,1,3
1475809926,2,2
1475810406,3,2
1475810888,2,2
1475811364,1,0
1475811851,0,1
1475812859,0,1
1475813289,1,1
1475813765,2,3
1475814248,2,0
1475815213,0,1
1475815689,1,1
1475816165,0,1
1475816665,1,2
