DateTime,Entries,UniqueIPs
1475726647,2480,2480
1475727126,2479,2479
1475727609,2480,2480
1475728566,2479,2479
1475729045,2479,2479
1475729527,2480,2480
1475730037,2478,2478
1475730488,2478,2478
1475730975,2477,2477
1475731450,2478,2478
1475731933,2479,2479
1475733367,2478,2478
1475733848,2478,2478
1475734329,2477,2477
1475734822,2478,2478
1475735287,2480,2480
1475735779,2479,2479
1475736250,2480,2480
1475736727,2480,2480
1475737446,2480,2480
1475737926,2481,2481
1475738405,2480,2480
1475738889,2480,2480
1475739365,2480,2480
1475739847,2481,2481
1475742252,2480,2480
1475742726,2480,2480
1475743207,2480,2480
1475743517,2480,2480
1475743929,2481,2481
1475745126,2480,2480
1475745613,2487,2487
1475746089,2493,2493
1475746564,2493,2493
1475747045,2494,2494
1475747530,2492,2492
1475748245,2492,2492
1475748725,2492,2492
1475749218,2492,2492
1475749685,2493,2493
1475751851,2492,2492
1475752326,2493,2493
1475752806,2492,2492
1475753287,2491,2491
1475753768,2493,2493
1475754728,2492,2492
1475755447,2493,2493
1475755930,2492,2492
1475756415,2493,2493
1475757857,2492,2492
1475758325,2493,2493
1475759285,2492,2492
1475759770,2493,2493
1475761205,2492,2492
1475761690,2492,2492
1475762165,2493,2493
1475763609,2491,2491
1475764084,2493,2493
1475764576,2492,2492
1475765045,2490,2490
1475765534,2492,2492
1475766246,2493,2493
1475766729,2492,2492
1475767206,2492,2492
1475767690,2493,2493
1475769128,2492,2492
1475769621,2492,2492
1475770087,2493,2493
1475772006,2492,2492
1475772489,2493,2493
1475773445,2492,2492
1475773926,2492,2492
1475774406,2492,2492
1475774889,2493,2493
1475777049,2497,2497
1475777525,2508,2508
1475778012,2527,2527
1475778490,2538,2538
1475778976,2550,2550
1475779444,2559,2559
1475779937,2572,2572
1475780416,2579,2579
1475780892,2580,2580
1475781365,2579,2579
1475781857,2580,2580
1475782325,2579,2579
1475782808,2580,2580
1475784727,2579,2579
1475785206,2580,2580
1475785692,2579,2579
1475786165,2580,2580
1475786646,2581,2581
1475788085,2580,2580
1475788570,2581,2581
1475790965,2580,2580
1475791449,2579,2579
1475791925,2580,2580
1475793383,2580,2580
1475793844,2580,2580
1475794334,2580,2580
1475795046,2581,2581
1475796005,2580,2580
1475796486,2581,2581
1475796966,2580,2580
1475797444,2581,2581
1475797929,2580,2580
1475798646,2580,2580
1475799128,2580,2580
1475799608,2581,2581
1475800090,2580,2580
1475800565,2580,2580
1475801052,2581,2581
1475802044,2580,2580
1475802487,2579,2579
1475802969,2577,2577
