DateTime,Entries,UniqueIPs
1466989802,11204,11204
1467008703,11205,11205
1467009302,11206,11206
1467018302,11205,11205
1467027002,11203,11203
1467032102,11204,11204
1467033601,11205,11205
1467072002,11206,11206
1467075303,11206,11206
1467079502,11204,11204
1467092703,11207,11207
1467094502,11208,11208
1467110702,11207,11207
1467113102,11208,11208
1467116102,11207,11207
1467119101,11208,11208
1467125702,11207,11207
1467211802,11208,11208
1467212102,11209,11209
1467227703,11208,11208
1467257402,11207,11207
1467260101,11208,11208
1467267302,11207,11207
1467270901,11208,11208
1467281102,11209,11209
1467283802,11208,11208
1467297002,11209,11209
1467304201,11208,11208
1467307502,11210,11210
1467311102,11209,11209
1467311402,11208,11208
1467314103,11210,11210
1467314701,11209,11209
1467330302,11208,11208
1467330602,11209,11209
1467334502,11207,11207
1467337502,11209,11209
1467344102,11208,11208
1467347102,11209,11209
1467353703,11208,11208
1467360002,11207,11207
1467360603,11208,11208
1467363002,11209,11209
1467369602,11208,11208
1467370202,11209,11209
1467379802,11208,11208
1467380102,11208,11208
1467382802,11209,11209
1467383402,11208,11208
1467386103,11208,11208
1467386702,11209,11209
1467392701,11208,11208
1467396602,11209,11209
1467399901,11210,11210
1467403202,11209,11209
1467405902,11208,11208
1467406501,11210,11210
1467410102,11209,11209
1467412500,11210,11210
1467413102,11209,11209
1467415802,11210,11210
1467416702,11209,11209
1467417901,11210,11210
1467420302,11209,11209
1467423002,11210,11210
1467426602,11210,11210
1467426902,11210,11210
1467430502,11210,11210
1467440702,11211,11211
1467443102,11210,11210
1467443702,11209,11209
1467449402,11210,11210
1467453302,11210,11210
1467460202,11208,11208
1467463502,11209,11209
1467470103,11210,11210
1467473101,11211,11211
1467476702,11209,11209
1467479402,11210,11210
1467480003,11209,11209
1467482402,11210,11210
1467483003,11210,11210
1467485702,11209,11209
1467489603,11210,11210
1467492902,11208,11208
1467495602,11209,11209
1467496202,11210,11210
1467501901,11210,11210
1467507302,11209,11209
1467507602,11209,11209
1467512702,11210,11210
1467513302,11209,11209
1467516301,11210,11210
1467516902,11209,11209
1467519001,11209,11209
1467519902,11210,11210
1467522901,11209,11209
1467525902,11211,11211
1467528902,11209,11209
1467535802,11210,11210
1467539103,11211,11211
1467543902,11210,11210
1467546302,11211,11211
1467549001,11209,11209
1467551403,11209,11209
1467556502,11208,11208
1467574501,11209,11209
1467576901,11210,11210
1467579902,11209,11209
1467598201,11207,11207
1467611102,11208,11208
1467611402,11209,11209
1467619803,11209,11209
1467636302,11210,11210
1467638702,11210,11210
1467640203,11211,11211
1467641102,11210,11210
1467643502,11213,11213
1467651301,11212,11212
1467654002,11211,11211
1467655502,11212,11212
1467656402,11213,11213
1467666302,11212,11212
1467668702,11213,11213
1467677102,11215,11215
1467681303,11214,11214
1467686703,11215,11215
1467702902,11214,11214
1467705602,11215,11215
1467721502,11214,11214
1467725103,11212,11212
1467726602,11213,11213
1467729902,11214,11214
1467730502,11214,11214
1467742802,11215,11215
1467753301,11214,11214
1467756302,11215,11215
1467776703,11213,11213
1467794702,11212,11212
1467809102,11213,11213
1467810002,11214,11214
1467832503,11214,11214
1467837902,11214,11214
1467838202,11215,11215
1467881702,11214,11214
1467891902,11214,11214
1467900903,11215,11215
1467914701,11216,11216
1468006202,11215,11215
1468015502,11216,11216
1468022402,11218,11218
1468057503,11218,11218
1468087501,11217,11217
1468087802,11218,11218
1468090502,11217,11217
1468100703,11218,11218
1468107002,11219,11219
1468108802,11220,11220
1468123502,11219,11219
1468162202,11218,11218
1468196701,11219,11219
1468214103,11220,11220
1468235702,11221,11221
1468241702,11221,11221
1468322702,11222,11222
1468323302,11223,11223
1468324201,11222,11222
1468330502,11220,11220
1468335902,11221,11221
1468402203,11220,11220
1468408802,11221,11221
1468419301,11220,11220
1468427102,11219,11219
1468448102,11220,11220
1468489802,11221,11221
1468525802,11220,11220
1468526102,11221,11221
1468596002,11220,11220
1468596302,11221,11221
1468620301,11222,11222
1468626902,11223,11223
1468627502,11230,11230
1468644302,11228,11228
1468662003,11229,11229
1468678203,11228,11228
1468703102,11227,11227
1468703401,11228,11228
1468735502,11229,11229
1468771202,11230,11230
1468780202,11230,11230
1468791903,11229,11229
1468792202,11230,11230
1468851001,11230,11230
1468865102,11231,11231
1468866003,11232,11232
1468867501,11231,11231
1468872301,11232,11232
1468879202,11231,11231
1468879501,11230,11230
1468936803,11231,11231
1468937103,11233,11233
1468938301,11235,11235
1468947302,11234,11234
1468953602,11235,11235
1468957502,11233,11233
1468966503,11234,11234
1468967401,11233,11233
1468972202,11234,11234
1468978502,11233,11233
1468981502,11232,11232
1468996502,11232,11232
1469000702,11233,11233
1469007902,11234,11234
1469008502,11234,11234
1469024402,11232,11232
1469052003,11233,11233
1469060702,11234,11234
1469075102,11232,11232
1469100602,11234,11234
1469119802,11233,11233
1469120103,11234,11234
1469125202,11233,11233
1469143502,11232,11232
1469179803,11234,11234
1469180102,11235,11235
1469180402,11234,11234
1469183702,11235,11235
1469197502,11233,11233
1469232002,11238,11238
1469250302,11237,11237
1469267102,11238,11238
1469267701,11239,11239
1469293802,11238,11238
1469294102,11239,11239
1469298302,11238,11238
1469318702,11240,11240
1469386503,11239,11239
1469387102,11240,11240
1469390102,11241,11241
1469396701,11242,11242
1469404202,11241,11241
1469405103,11245,11245
1469423702,11246,11246
1469457003,11245,11245
1469491202,11249,11249
1469493302,11251,11251
1469510702,11248,11248
1469512503,11249,11249
1469520603,11250,11250
1469521501,11251,11251
1469535903,11253,11253
1469538302,11251,11251
1469541602,11250,11250
1469541902,11251,11251
1469559002,11252,11252
1469559302,11253,11253
1469577602,11257,11257
1469663402,11259,11259
1469664003,11260,11260
1469682002,11261,11261
1469682302,11262,11262
1469700603,11263,11263
1469702102,11261,11261
1469719203,11260,11260
1469750402,11264,11264
1469761502,11265,11265
1469768703,11267,11267
1469769002,11268,11268
1469780703,11267,11267
1469828103,11268,11268
1469828702,11266,11266
1469836802,11268,11268
1469861702,11269,11269
1469872802,11268,11268
1469883303,11269,11269
1469923203,11272,11272
1469934303,11270,11270
1469973302,11271,11271
1469990103,11272,11272
1470009903,11273,11273
1470033603,11274,11274
1470182402,11276,11276
1470268802,11280,11280
1470355502,11282,11282
1470383702,11283,11283
1470384303,11285,11285
1470441602,11288,11288
1470494704,11287,11287
1470495004,11288,11288
1470528302,11289,11289
1470570302,11291,11291
1470614705,11292,11292
1470615002,11290,11290
1470642303,11291,11291
1470685802,11290,11290
1470686103,11291,11291
1470689401,11292,11292
1470700802,11295,11295
1470731703,11295,11295
1470743402,11293,11293
1470751503,11295,11295
1470846902,11294,11294
1470858902,11293,11293
1470873603,11295,11295
1470905103,11296,11296
1470933002,11295,11295
1470960303,11297,11297
1471046702,11298,11298
1471132803,11299,11299
1471158302,11300,11300
1471219502,11302,11302
1471305902,11303,11303
1471388702,11304,11304
1471392302,11307,11307
1471408502,11306,11306
1471409102,11307,11307
1471412702,11308,11308
1471419903,11309,11309
1471440902,11308,11308
1471468502,11307,11307
1471478402,11310,11310
1471517402,11311,11311
1471564802,11316,11316
1471568702,11315,11315
1471611902,11316,11316
1471651502,11320,11320
1471658402,11319,11319
1471737902,11322,11322
1471824303,11324,11324
1471885803,11325,11325
1471890003,11324,11324
1471910402,11326,11326
1471935002,11327,11327
1471996802,11329,11329
1472159403,11330,11330
1472159703,11329,11329
1472160002,11330,11330
1472169604,11335,11335
1472184602,11334,11334
1472206503,11335,11335
1472232902,11334,11334
1472256002,11336,11336
1472342402,11337,11337
1472428802,11339,11339
1472483702,11337,11337
1472507403,11336,11336
1472507702,11337,11337
1472515202,11338,11338
1472616603,11339,11339
1472617502,11338,11338
1472640902,11340,11340
1472652302,11341,11341
1472652903,11340,11340
1472738702,11341,11341
1472780702,11340,11340
1472782502,11339,11339
1472818203,11340,11340
1472882102,11340,11340
1472921102,11339,11339
1472953503,11340,11340
1472958303,11341,11341
1473007203,11340,11340
1473030602,11340,11340
1473033902,11343,11343
1473036003,11344,11344
1473039903,11345,11345
1473072602,11344,11344
1473076203,11343,11343
1473078302,11342,11342
1473168902,11343,11343
1473200102,11344,11344
1473200402,11343,11343
1473206702,11345,11345
1473256202,11344,11344
1473293102,11346,11346
1473348602,11345,11345
1473348902,11346,11346
1473379202,11348,11348
1473398102,11347,11347
1473399002,11348,11348
1473538503,11347,11347
1473539102,11348,11348
1473552309,11349,11349
1473718203,11350,11350
1473773102,11349,11349
1473791101,11349,11349
1473876003,11350,11350
1473876302,11349,11349
1473889502,11349,11349
1473966002,11350,11350
1473984302,11351,11351
1474001103,11350,11350
1474059906,11351,11351
1474062302,11352,11352
1474070402,11355,11355
1474144203,11356,11356
1474146602,11356,11356
1474147502,11355,11355
1474157102,11356,11356
1474182302,11354,11354
1474208702,11353,11353
1474209002,11354,11354
1474243502,11355,11355
1474255502,11356,11356
1474257602,11355,11355
1474310402,11355,11355
1474372202,11364,11364
1474372502,11366,11366
1474373102,11367,11367
1474383003,11367,11367
1474424402,11368,11368
1474426802,11367,11367
1474448702,11367,11367
1474488002,11366,11366
1474502702,11367,11367
1474535402,11368,11368
1474537803,11367,11367
1474552202,11368,11368
1474556702,11369,11369
1474591502,11369,11369
1474617602,11368,11368
1474630203,11367,11367
1474761602,11368,11368
1474812002,11369,11369
1474812602,11368,11368
1474831502,11369,11369
1474848002,11370,11370
1474896302,11371,11371
1474903502,11372,11372
1474904702,11371,11371
1474931102,11372,11372
1474931702,11371,11371
1474953902,11372,11372
