DateTime,AddedIPs,RemovedIPs
1465194629,34,54
1465219037,82,69
1465233904,28,52
1465256743,77,0
1465280765,23,114
1465303005,76,0
1465320126,30,97
1465342119,77,0
1465367365,28,64
1465392558,96,98
1465406683,35,0
1465430598,73,109
1465452747,35,0
1465475346,87,64
1465492541,45,112
1465516075,88,0
1465540148,36,125
1465563536,80,62
1465580175,27,62
1465604295,113,71
1465626010,33,0
1465649067,76,48
1465665784,29,64
1465689755,85,64
1465712089,23,85
1465734804,77,39
1465751976,44,62
1465775949,86,41
1465799625,30,107
1465823906,85,72
1465838275,30,0
1465862290,85,63
1465885961,31,115
1465909950,85,61
1465925480,40,52
1465949068,94,62
1465972221,29,55
1465995968,81,74
1466011343,42,0
1466035857,97,55
1466058022,27,65
1466082424,80,56
1466097820,41,63
1466121047,97,129
1466143982,31,0
1466166559,79,49
1466183768,28,134
1466207365,94,0
1466231362,29,106
1466255594,85,72
1466270996,26,0
1466296118,78,118
1466317717,22,0
1466341344,84,37
1466357499,27,111
1466382415,96,60
1466403654,31,0
1466428334,81,42
1466443051,33,71
1466467396,101,55
1466490221,25,81
1466512391,93,39
1466529518,35,122
1466551603,93,0
1466576524,35,135
1466599142,80,0
1466616463,30,118
1466638349,76,80
1466663367,34,46
1466687868,75,61
1466702744,29,0
1466726696,86,110
1466749607,32,0
1466774454,98,42
1466788967,57,125
1466812048,89,0
1466834962,35,66
1466859263,94,49
1466875623,33,149
1466899151,80,71
1466921672,39,67
1466947131,107,72
1466961375,48,0
1466984044,92,50
1467008138,32,143
1467032746,97,79
1467047989,34,0
1467070689,100,123
1467094553,32,58
1467117671,87,0
1467133951,33,132
1467156585,97,0
1467180804,36,73
1467203569,83,49
1467220779,30,70
1467244167,75,122
1467267745,41,48
1467292104,111,67
1467307311,36,0
1467327748,0,44
1467353880,59,81
1467377742,95,75
1467393243,34,72
1467417702,94,60
1467440394,52,0
1467463036,92,54
1467479909,32,124
1467504571,116,0
1467526133,36,160
1467549821,93,68
1467566226,34,0
1467591396,117,64
1467613233,37,132
1467637979,131,82
1467653192,38,0
1467681251,128,147
1467699577,72,0
1467724742,123,175
1467738610,41,93
1467762841,131,0
1467785251,45,107
1467808242,122,60
1467824729,51,157
1467847892,127,0
1467871833,53,179
1467894180,114,106
1467911118,29,0
1467935577,113,148
1467957930,54,0
1467982117,110,173
1467997752,49,53
1468022586,110,0
1468044368,51,167
1468068531,116,0
1468084119,41,99
1468108457,112,165
1468131093,42,0
1468154595,88,152
1468170978,36,0
1468196603,113,151
1468216943,56,48
1468239629,90,0
1468256851,32,78
1468281728,119,55
1468303673,64,102
1468326607,98,130
1468343369,34,77
1468368428,120,106
1468390548,45,48
