DateTime,Entries,UniqueIPs
1475682121,2034,2059
1475683322,2044,2069
1475684522,2008,2033
1475685121,1999,2024
1475685722,2001,2025
1475686322,2011,2037
1475686922,2013,2039
1475687521,2026,2052
1475688121,2035,2061
1475688722,2033,2059
1475689321,2035,2061
1475690521,2035,2061
1475691122,2043,2069
1475691721,2034,2060
1475692321,2050,2077
1475692922,2059,2087
1475693521,2057,2085
1475694121,2066,2094
1475694722,2070,2098
1475695322,2076,2104
1475695922,2063,2090
1475696521,2061,2088
1475697122,2076,2104
1475697723,2078,2106
1475698322,2070,2098
1475698922,2075,2103
1475700121,2068,2096
1475700722,2078,2106
1475701322,2089,2117
1475702522,2086,2114
1475703722,2058,2086
1475704321,2062,2091
1475704921,2070,2099
1475706121,2063,2092
1475706722,2056,2087
1475707322,2061,2092
1475708522,2056,2087
1475709122,2063,2094
1475709722,2068,2099
1475710322,2074,2105
1475710921,2060,2091
1475712122,2066,2097
1475712721,2066,2098
1475713322,2074,2106
1475713921,2078,2110
1475714522,2078,2110
1475715122,2091,2123
1475715722,2087,2120
1475716921,2088,2121
1475717521,2043,2076
1475718122,2052,2085
1475718721,2053,2086
1475719321,2038,2070
1475719921,2044,2076
1475720521,2042,2074
1475721121,2011,2042
1475721722,2013,2044
1475722322,2012,2043
1475722922,2014,2046
1475724122,2010,2042
1475724722,2014,2046
1475725321,2020,2052
1475725921,2037,2068
1475726521,2042,2073
1475727722,2042,2074
1475728322,2012,2043
1475728921,2019,2050
1475729521,2021,2053
1475730122,2018,2050
1475730721,2024,2056
1475731321,2019,2050
1475731921,2027,2058
1475732521,2032,2063
1475733121,2036,2067
1475733722,2038,2069
1475734323,2040,2071
1475734921,2041,2072
1475736121,2040,2071
1475737321,2029,2059
1475738521,2037,2067
1475739122,2038,2068
1475739721,2039,2069
1475740322,2047,2077
1475740921,2042,2072
1475742121,2015,2045
1475742722,2021,2051
1475743321,2052,2082
1475743921,2053,2083
1475744522,2080,2111
1475745122,2082,2113
1475745722,2092,2123
1475746321,2100,2131
1475746922,2078,2109
1475747522,2098,2128
1475748121,2135,2166
1475748721,2081,2112
1475749321,2086,2118
1475749921,2081,2113
1475750522,2085,2117
1475751121,2085,2118
1475751722,2073,2106
1475752322,2079,2112
1475752921,2067,2100
1475753521,2080,2113
1475754121,2079,2112
1475754721,2083,2115
1475755322,2085,2117
1475755922,2050,2082
1475756522,2058,2090
1475757121,2082,2114
1475757721,2102,2134
1475758921,2127,2160
1475759522,2131,2164
1475760122,2124,2155
1475760721,2144,2175
1475761321,2127,2158
1475761921,2130,2161
1475762521,2116,2148
1475763121,2138,2170
1475763722,2138,2170
1475764321,2154,2186
1475764922,2132,2164
1475765522,2139,2171
1475766122,2140,2172
1475766722,2197,2230
1475767321,2176,2207
1475768521,2182,2213
1475769122,2185,2216
1475769721,2188,2219
1475770322,2174,2205
1475770921,2177,2208
1475771521,2162,2192
1475772121,2165,2195
1475773321,2151,2181
1475773922,2150,2180
1475774522,2149,2179
1475775121,2150,2180
1475775721,2146,2176
1475776922,2158,2188
1475777522,2163,2192
1475778121,2154,2183
1475779322,2162,2192
1475779922,2134,2164
1475780521,2157,2187
1475781722,2143,2173
1475782922,2156,2186
1475783522,2125,2154
1475784122,2097,2125
1475784722,2106,2134
1475785322,2122,2151
1475786522,2106,2134
1475787721,2114,2142
1475788321,2118,2146
1475788922,2126,2154
1475789521,2125,2153
1475790122,2133,2161
1475790721,2175,2203
1475791322,2178,2206
