DateTime,AddedIPs,RemovedIPs
1475672521,3,13
1475673121,1,0
1475673721,1,0
1475674321,5,2
1475674922,1,0
1475675522,4,2
1475676122,4,1
1475676722,2,4
1475677321,2,1
1475677921,2,0
1475679722,2,4
1475680921,3,7
1475682121,1,0
1475683322,4,7
1475684522,1,4
1475685121,0,1
1475685722,4,0
1475686322,6,0
1475686922,8,0
1475687521,4,1
1475688121,8,1
1475688722,3,0
1475689321,3,0
1475690521,5,2
1475691122,4,0
1475691721,2,4
1475692321,11,0
1475692922,4,0
1475693521,5,1
1475694121,15,0
1475694722,1,1
1475695322,3,6
1475695922,3,0
1475696521,2,2
1475697122,8,0
1475697723,1,0
1475698322,3,0
1475698922,1,0
1475700121,1,4
1475700722,5,2
1475701322,10,0
1475702522,1,12
1475703722,2,2
1475704321,4,2
1475704921,5,1
1475706121,2,2
1475706722,3,4
1475707322,6,0
1475708522,1,3
1475709122,4,0
1475709722,5,4
1475710322,4,0
1475710921,2,0
1475712122,4,2
1475712721,1,0
1475713322,4,0
1475713921,3,2
1475715122,8,2
1475715722,4,0
1475716921,3,2
1475717521,3,1
1475718122,3,0
1475719321,1,4
1475719921,4,0
1475721121,0,1
1475721722,0,5
1475722322,0,1
1475722922,6,0
1475724122,4,7
1475724722,0,1
1475725921,18,3
1475726521,7,2
1475727722,1,0
1475728322,2,1
1475728921,5,4
1475729521,4,1
1475730122,1,0
1475730721,3,1
1475731321,1,0
1475731921,5,26
1475732521,2,0
1475733121,1,1
1475733722,5,7
1475734323,0,7
1475734921,2,0
1475736121,3,0
1475737321,0,6
1475738521,7,13
1475739122,1,0
1475739721,2,3
1475740322,2,1
1475740921,4,4
1475742121,0,3
1475742722,2,2
1475743321,4,1
1475744522,22,17
1475745722,5,0
1475746321,3,4
1475746922,3,4
1475747522,10,4
1475748121,9,0
1475748721,0,3
1475749321,1,4
1475749921,3,0
1475750522,2,2
1475751121,0,5
1475752322,1,8
1475753521,6,2
1475754121,2,5
1475754721,12,0
1475755322,1,0
1475755922,2,0
1475756522,2,3
1475757121,6,10
1475757721,11,1
1475758921,11,5
1475759522,5,0
1475760122,5,0
1475760721,3,15
1475761321,1,2
1475761921,2,0
1475762521,1,1
1475763121,4,0
1475764321,9,0
1475764922,1,0
1475765522,2,0
1475766122,0,1
1475766722,33,2
1475767321,7,0
1475768521,1,21
1475769122,1,0
1475769721,3,0
1475770322,1,10
1475770921,0,23
1475771521,3,3
1475772121,1,0
1475773321,1,10
1475773922,0,1
1475774522,1,1
1475775721,1,7
1475776922,5,1
1475777522,4,3
1475778121,5,3
1475779322,7,0
1475779922,1,5
1475780521,14,0
1475781722,2,8
1475782922,14,2
1475783522,3,0
1475784122,0,3
1475784722,5,0
1475785322,7,15
1475786522,2,0
1475787721,3,5
1475788321,3,2
1475788922,3,0
1475789521,4,4
1475790122,11,0
1475790721,26,1
1475791322,8,0
1475792522,1,2
1475793122,0,3
1475793722,2,0
1475794321,4,0
1475796122,3,5
1475797322,3,5
1475797922,2,1
1475798521,1,0
1475799121,0,3
1475799721,4,3
1475800921,15,17
1475802122,5,0
1475803321,3,2
1475803923,2,1
1475804521,1,0
1475805722,3,1
1475806922,5,24
1475807521,2,0
1475808122,7,7
1475808722,6,0
1475809322,5,1
1475809922,1,0
1475810522,4,5
1475811121,4,0
1475811721,4,1
1475812321,1,2
1475812921,4,0
1475813521,1,14
1475814122,4,8
1475814721,0,1
1475815921,2,2
1475816522,2,2
1475817121,4,0
1475817722,2,1
1475818327,4,2
1475818921,7,0
1475820121,6,0
1475820726,12,0
1475821322,2,2
