DateTime,AddedIPs,RemovedIPs
1475665321,79,79
1475665921,80,80
1475666521,75,75
1475667121,54,54
1475667721,76,76
1475668322,77,77
1475668922,71,71
1475669521,80,80
1475670121,76,76
1475670721,73,73
1475671321,76,76
1475672521,76,76
1475673121,80,80
1475673721,79,79
1475674321,76,76
1475674922,80,80
1475675522,78,78
1475676122,66,66
1475676722,74,74
1475677321,80,80
1475677921,50,50
1475678522,74,74
1475679722,80,80
1475680321,80,80
1475680921,76,76
1475682121,79,79
1475683322,80,80
1475684522,80,80
1475685121,78,78
1475685722,80,80
1475686322,75,75
1475686922,80,80
1475687521,80,80
1475688121,74,74
1475688722,71,71
1475689321,80,80
1475690521,80,80
1475691122,77,77
1475691721,78,78
1475692321,80,80
1475692922,77,77
1475693521,78,78
1475694121,77,77
1475694722,80,80
1475695322,76,76
1475695922,80,80
1475696521,80,80
1475697122,78,78
1475697723,80,80
1475698322,80,80
1475698922,64,64
1475700121,80,80
1475700722,80,80
1475701322,80,80
1475702522,80,80
1475703722,80,80
1475704321,70,70
1475704921,67,67
1475706121,78,78
1475706722,80,80
1475707322,71,71
1475708522,79,79
1475709122,70,70
1475709722,74,74
1475710322,80,80
1475710921,80,80
1475712122,80,80
1475712721,73,73
1475713322,77,77
1475713921,78,78
1475714522,80,80
1475715122,80,80
1475715722,73,73
1475716921,80,80
1475717521,73,73
1475718122,76,76
1475718721,76,76
1475719321,72,72
1475719921,75,75
1475720521,80,80
1475721121,73,73
1475721722,80,80
1475722322,80,80
1475722922,80,80
1475724122,78,78
1475724722,76,76
1475725321,78,78
1475725921,78,78
1475726521,78,78
1475727722,77,77
1475728322,80,80
1475728921,78,78
1475729521,74,74
1475730122,80,80
1475730721,80,80
1475731321,76,76
1475731921,78,78
1475732521,67,67
1475733121,75,75
1475733722,76,76
1475734323,77,77
1475734921,77,77
1475736121,76,76
1475737321,78,78
1475738521,74,74
1475739122,80,80
1475739721,80,80
1475740322,78,78
1475740921,80,80
1475742121,16,16
1475742722,78,78
1475743321,78,78
1475743921,64,64
1475744522,77,77
1475745122,80,80
1475745722,77,77
1475746321,80,80
1475746922,80,80
1475747522,77,77
1475748121,65,65
1475748721,80,80
1475749321,78,78
1475749921,80,80
1475750522,71,71
1475751121,67,67
1475751722,80,80
1475752322,76,76
1475752921,80,80
1475753521,73,73
1475754121,62,62
1475754721,75,75
1475755322,77,77
1475755922,80,80
1475756522,75,75
1475757121,67,67
1475757721,76,76
1475758921,80,80
1475759522,80,80
1475760122,79,79
1475760721,71,71
1475761321,70,70
1475761921,74,74
1475762521,80,80
1475763121,77,77
1475763722,80,80
1475764321,80,80
1475764922,80,80
1475765522,71,71
1475766122,69,69
1475766722,78,78
1475767321,80,80
1475768521,77,77
1475769122,74,74
1475769721,73,73
1475770322,80,80
1475770921,80,80
1475771521,70,70
1475772121,69,69
1475773321,80,80
1475773922,80,80
1475774522,74,74
1475775121,15,15
1475775721,80,80
1475776922,79,79
1475777522,77,77
1475778121,78,78
1475778722,80,80
1475779322,78,78
1475779922,80,80
1475780521,80,80
1475781722,78,78
1475782922,79,79
1475783522,78,78
1475784122,80,80
1475784722,80,80
1475785322,79,79
1475786522,80,80
1475787721,80,80
1475788321,77,77
1475788922,80,80
1475789521,76,76
1475790122,79,79
1475790721,80,80
1475791322,80,80
1475792522,78,78
1475793122,80,80
1475793722,78,78
1475794321,75,75
1475794922,76,76
1475796122,76,76
1475797322,71,71
1475797922,76,76
1475798521,70,70
1475799121,70,70
1475799721,67,67
1475800921,78,78
1475802122,79,79
1475802722,72,72
1475803321,77,77
1475803923,73,73
1475804521,80,80
1475805722,80,80
1475806922,79,79
1475807521,80,80
1475808122,79,79
1475808722,80,80
1475809322,74,74
1475809922,71,71
1475810522,76,76
1475811121,79,79
1475811721,75,75
1475812321,74,74
1475812921,80,80
1475813521,80,80
1475814122,80,80
1475814721,80,80
1475815322,80,80
1475815921,80,80
1475816522,78,78
1475817121,72,72
1475817722,79,79
1475818327,74,74
1475818921,73,73
1475819531,42,42
1475820121,80,80
1475820726,79,79
1475821322,70,70
1475821921,60,60
1475822522,66,66
1475823122,78,78
1475823721,80,80
1475824323,80,80
1475824922,80,80
1475825521,79,79
1475826121,76,76
1475826721,80,80
1475827321,79,79
1475827921,79,79
1475828522,77,77
1475829121,75,75
1475829722,79,79
1475830322,80,80
1475830921,80,80
1475831522,79,79
1475832122,79,79
1475832722,73,73
1475833321,80,80
1475833922,77,77
1475834522,80,80
1475835121,80,80
1475835722,79,79
1475836322,76,76
1475836922,80,80
1475837522,80,80
1475838122,71,71
1475839321,74,74
1475840522,75,75
1475841721,72,72
1475842922,75,75
1475844121,73,73
1475844721,73,73
1475845321,77,77
1475846522,78,78
1475847121,77,77
1475847722,80,80
1475848322,78,78
1475848922,80,80
1475849522,80,80
1475850123,73,73
1475851322,76,76
1475852522,80,80
1475853721,80,80
1475854321,74,74
1475854922,72,72
1475855522,80,80
1475856122,80,80
1475856722,80,80
1475857321,80,80
1475857922,80,80
1475858522,55,55
1475859122,80,80
1475859722,76,76
1475860322,80,80
1475860921,80,80
1475861522,78,78
1475862122,69,69
1475862722,68,68
1475863322,80,80
1475863922,80,80
1475864521,73,73
1475865122,78,78
1475865722,71,71
1475866322,79,79
1475866922,69,69
1475867521,80,80
1475868122,74,74
1475868722,71,71
1475869323,69,69
1475869922,80,80
1475870522,80,80
1475871721,80,80
1475872321,79,79
1475872921,80,80
1475874122,80,80
1475874722,79,79
1475875321,80,80
1475875922,72,72
1475876522,75,75
1475877121,73,73
1475877721,80,80
1475878321,72,72
1475878921,17,17
1475879522,80,80
1475880122,18,18
1475880721,70,70
1475881322,78,78
1475882522,80,80
1475883121,69,69
1475883722,80,80
1475884921,76,76
1475885523,56,56
1475886121,80,80
1475887322,79,79
1475887922,80,80
1475888522,75,75
1475889121,80,80
1475889721,80,80
1475890323,59,59
1475890921,80,80
1475891522,80,80
1475892122,80,80
1475892721,80,80
1475893322,80,80
1475893922,80,80
1475894521,80,80
1475895122,80,80
1475895721,80,80
1475896322,80,80
1475896922,78,78
1475897522,79,79
1475898122,80,80
1475899321,80,80
1475899922,79,79
1475900521,80,80
1475901121,80,80
1475901721,79,79
1475902321,80,80
1475902922,77,77
1475903522,80,80
1475904121,80,80
1475904721,80,80
1475905322,73,73
1475906522,80,80
1475907721,80,80
1475908922,77,77
1475909521,80,80
1475910123,80,80
1475911322,80,80
1475911922,79,79
1475912522,76,76
1475913722,80,80
1475914922,80,80
1475915522,80,80
1475916122,80,80
1475917322,80,80
1475917922,78,78
1475918521,80,80
1475919121,80,80
1475919722,80,80
1475920322,73,73
1475920922,79,79
1475922122,80,80
1475923322,80,80
1475924521,80,80
1475925121,80,80
1475925722,80,80
1475926321,75,75
1475926922,78,78
1475928121,77,77
1475928721,77,77
1475929322,80,80
1475929921,78,78
1475930522,79,79
1475931722,80,80
1475932322,78,78
1475932921,74,74
1475933521,78,78
1475934122,79,79
1475934721,79,79
1475935322,80,80
1475935921,78,78
1475936521,77,77
1475937122,80,80
1475937721,80,80
1475938322,76,76
1475938921,80,80
1475939522,80,80
1475940121,80,80
1475941321,80,80
1475941921,80,80
1475942521,80,80
1475943122,78,78
1475943722,80,80
1475944322,80,80
1475944922,80,80
1475946122,79,79
1475946721,80,80
1475947322,80,80
1475947922,80,80
1475948521,80,80
1475949722,80,80
1475950322,76,76
1475950921,58,58
1475951522,71,71
1475952122,69,69
1475953322,80,80
1475953922,80,80
1475954522,80,80
1475955122,80,80
1475955722,80,80
1475956321,78,78
1475956922,79,79
1475958121,80,80
1475958722,75,75
1475959322,78,78
1475959922,80,80
1475960521,35,35
1475961122,80,80
1475961722,80,80
1475962922,80,80
1475963521,77,77
1475964122,73,73
1475964722,73,73
1475965321,73,73
1475965922,80,80
1475966521,78,78
1475967121,76,76
1475967722,80,80
1475968322,80,80
1475968921,80,80
1475969522,80,80
1475970121,76,76
1475970722,80,80
1475971322,71,71
1475972522,71,71
1475973122,80,80
1475973721,80,80
1475974923,74,74
1475975522,76,76
1475976121,72,72
1475976722,80,80
1475977323,80,80
1475977921,80,80
1475978521,35,35
1475979121,74,74
1475979721,80,80
1475980921,80,80
1475981523,80,80
1475982121,80,80
1475982722,80,80
1475983322,80,80
1475983922,80,80
1475984521,76,76
1475985122,45,45
1475985721,72,72
1475987522,80,80
1475988121,80,80
1475988722,80,80
1475989321,80,80
1475990521,76,76
1475991122,61,61
1475991722,28,28
1475992922,72,72
1475993522,65,65
1475994122,80,80
1475994723,79,79
1475995321,80,80
1475995921,76,76
1475996522,80,80
1475997721,80,80
1475998922,79,79
1475999522,35,35
1476000122,75,75
1476000722,71,71
1476001321,78,78
1476001922,76,76
1476002522,80,80
1476003721,77,77
1476004322,73,73
1476004922,76,76
1476006121,76,76
1476006723,79,79
1476007321,80,80
1476007921,80,80
1476008521,11,11
1476009122,80,80
1476009721,80,80
1476010321,79,79
1476010921,80,80
1476011522,77,77
