DateTime,AddedIPs,RemovedIPs
1453921599,0,1
1453968416,34,0
1454000809,0,1
1454054786,463,1
1454141183,31,0
1454234778,126,0
1454267187,0,1
1454310382,20,0
1454328399,0,1
1454421991,0,2
1454439998,0,1
1454457995,931,0
1454483188,206,0
1454501188,0,1
1454569592,10,0
1454619992,0,1
1454634388,1,0
1454735200,0,1
1454749606,2,0
1454929592,0,1
1455105989,36,1
1455141998,0,1
1455181582,0,1
1455246392,0,1
1455347211,18,0
1455437193,10,0
1455523605,2,0
1455541609,0,2
1455548794,0,1
1455609979,1,0
1455635195,0,1
1455822394,0,3
1455879983,0,1
1456232790,0,1
1456391193,0,1
1456437994,0,1
1456819594,5,0
1456877212,0,10
1456931209,0,1
1456970800,0,3
1457471199,0,1
1457546799,0,1
1457661993,0,1
1457960798,1,0
1458014802,0,1
1458083201,0,1
1458187599,0,1
1458263201,0,1
1458306401,0,2
1458659210,0,10
1458749224,0,1
1458752807,0,1
1458767218,0,1
1458803201,3,0
1458814009,0,5
1459217207,0,1
1459260423,0,1
1459278434,0,2
1459300015,0,1
1459372004,0,1
1459429615,0,1
1459458422,0,1
1459523223,0,3
1459728392,0,1
1459800413,0,1
1459814796,0,1
1459872408,0,1
1459894005,0,1
1459944409,0,1
1460020002,0,1
1460034410,0,6
1460362012,0,1
1460383628,0,1
1460398025,0,1
1460470015,0,1
1460480825,0,1
1460545619,0,3
1460610427,0,1
1460635624,0,1
1460729229,0,11
1460959617,0,1
1460988419,0,1
1460999212,0,1
1461247602,0,3
1461269198,0,1
1461290803,0,1
1461535593,0,1
1461593221,0,1
1461618429,0,1
1461672411,0,1
1461686790,0,1
1461751605,0,1
1461766053,0,1
1461776805,0,1
1461877595,0,1
1461931624,0,1
1461946032,0,2
1462064795,0,1
1462212416,0,2
1462306011,0,1
1462385221,0,4
1462399617,0,1
1462536428,0,1
1462781211,0,1
1462810011,0,1
1462835194,0,1
1462867593,0,1
1462878423,0,20
1463126840,81,0
1463209597,11,0
1463403996,58,3
1463407648,0,1
1463468815,34,1
1463555216,86,3
1463566024,0,2
1463605627,0,1
1463641623,84,3
1463731623,78,8
1463774838,0,1
1463821624,95,0
1463828826,0,1
1463900805,97,15
1463983613,0,1
1463987228,53,0
1464102480,44,0
1464160012,34,0
1464174423,0,1
1464206879,0,1
1464253615,21,0
1464350849,74,2
1464376048,0,9
1464419236,32,0
1464469613,0,1
1464505618,55,0
1464599225,85,0
1464678409,43,0
1464696433,0,1
1464725229,0,1
1464743226,0,1
1464761219,0,1
1464772036,51,5
1464797234,0,1
1464862034,158,0
1464872823,0,3
1464937620,27,0
1465034828,64,0
1465114017,41,0
