DateTime,Entries,UniqueIPs
1454267187,588075,599805
1454310382,588095,599825
1454328399,588094,599824
1454421991,588092,599822
1454439998,588091,599821
1454457995,589007,600752
1454483188,589211,600958
1454501188,589210,600957
1454569592,589220,600967
1454619992,589219,600966
1454634388,589220,600967
1454735200,589219,600966
1454749606,589221,600968
1454929592,589220,600967
1455105989,589255,601002
1455141998,589254,601001
1455181582,589253,601000
1455246392,589252,600999
1455347211,589270,601017
1455437193,589280,601027
1455523605,589282,601029
1455541609,589280,601027
1455548794,589279,601026
1455609979,589280,601027
1455635195,589279,601026
1455822394,589276,601023
1455879983,589275,601022
1456232790,589274,601021
1456391193,589273,601020
1456437994,589272,601019
1456819594,589277,601024
1456877212,589267,601014
1456931209,589266,601013
1456970800,589263,601010
1457471199,589262,601009
1457546799,589261,601008
1457661993,589260,601007
1457960798,589261,601008
1458014802,589260,601007
1458083201,589259,601006
1458187599,589258,601005
1458263201,589257,601004
1458306401,589255,601002
1458659210,589246,600992
1458749224,589245,600991
1458752807,589244,600990
1458767218,589243,600989
1458803201,589246,600992
1458814009,589241,600987
1459217207,589240,600986
1459260423,589239,600985
1459278434,589237,600983
1459300015,589236,600982
1459372004,589235,600981
1459429615,589234,600980
1459458422,589233,600979
1459523223,589230,600976
1459728392,589229,600975
1459800413,589228,600974
1459814796,589227,600973
1459872408,589226,600972
1459894005,589225,600971
1459944409,589224,600970
1460020002,589223,600969
1460034410,589217,600963
1460362012,589216,600962
1460383628,589215,600961
1460398025,589214,600960
1460470015,589213,600959
1460480825,589212,600958
1460545619,589209,600955
1460610427,589208,600954
1460635624,589207,600953
1460729229,589196,600942
1460959617,589195,600941
1460988419,589194,600940
1460999212,589193,600939
1461247602,589190,600936
1461269198,589189,600935
1461290803,589188,600934
1461535593,589187,600933
1461593221,589186,600932
1461618429,589185,600931
1461672411,589184,600930
1461686790,589183,600929
1461751605,589182,600928
1461766053,589181,600927
1461776805,589180,600926
1461877595,589179,600925
1461931624,589178,600924
1461946032,589176,600922
1462064795,589175,600921
1462212416,589173,600919
1462306011,589172,600918
1462385221,589168,600914
1462399617,589167,600913
1462536428,589166,600912
1462781211,589165,600911
1462810011,589164,600910
1462835194,589163,600909
1462867593,589162,600908
1462878423,589142,600888
1463126840,589219,600969
1463209597,589230,600980
1463403996,589281,601035
1463407648,589280,601034
1463468815,589305,601067
1463555216,589388,601150
1463566024,589386,601148
1463605627,589385,601147
1463641623,589452,601228
1463731623,589510,601298
1463774838,589509,601297
1463821624,589602,601392
1463828826,589601,601391
1463900805,589659,601473
1463983613,589658,601472
1463987228,589703,601525
1464102480,589734,601569
1464160012,589766,601603
1464174423,589765,601602
