DateTime,AddedIPs,RemovedIPs
1473404875,830,2522
1473408472,1071,1487
1473423128,23694,25860
1473433839,8721,19219
1473437321,1359,1453
1473440886,5323,1120
1473444265,5733,45
1473448213,5538,11267
1473451954,893,5537
1473455394,1175,4486
1473458895,897,3663
1473462641,802,4278
1473466062,749,2668
1473477282,2353,2023
1473484392,1877,2027
1473487788,875,1136
1473491262,664,1517
1473495005,663,1020
1473498630,1070,1424
1473502066,832,1570
1473505671,1143,4835
1473509484,1231,6703
1473512985,1029,9813
1473516674,1190,8889
1473520173,976,4967
1473523668,769,7735
1473534652,2412,18686
1473541860,1223,6061
1473545463,535,1429
1473548874,698,937
1473552463,529,992
1473556072,761,870
1473559772,641,997
1473566974,1594,1903
1473570465,538,1183
1473577885,1614,1728
1473581260,662,908
1473585021,1240,1045
1473592226,1493,12345
1473595929,1102,6128
1473599262,1278,5411
1473602861,717,1443
1473606468,940,2551
1473613842,1339,6224
1473617363,759,5164
1473620973,507,6037
1473635317,3790,8099
1473638995,774,812
1473642467,550,756
1473646164,877,755
1473649889,1003,766
1473653363,825,820
1473656863,1173,959
1473660467,667,1041
1473664072,1326,908
1473667793,1109,656
1473675195,12,1738
1473678585,6120,833
1473682191,1095,1240
1473685671,2560,1086
1473689308,5612,1032
1473692929,11617,1175
1473696538,8411,1021
1473703884,18145,1771
1473718459,27710,2605
1473721726,4517,556
1473725521,5117,722
1473729174,5454,521
1473732736,6206,827
1473736320,1127,662
1473739835,844,739
1473743386,1221,901
1473747047,1463,565
1473750496,1730,775
1473754104,1493,794
1473757717,6091,698
1473765489,18391,2075
1473768776,8065,480
1473779755,30499,2836
1473787065,14551,1584
1473797525,15808,1787
1473804906,9961,2226
1473808124,6039,762
1473815843,12997,1344
1473819149,4866,560
1473826145,5609,1739
1473833541,3799,1899
1473837089,2037,631
1473844553,14784,2443
1473847768,6752,1255
1473851350,7142,1728
1473854952,8875,2840
1473858813,9857,1187
1473862167,7147,2577
1473869857,13214,17656
1473876804,8318,16425
1473884112,10390,16091
1473887567,4722,5346
1473890930,5710,7009
1473898351,6321,11729
1473912417,17785,15899
1473919932,5754,3176
1473927389,127,2872
1473930640,15523,1989
1473941932,17772,22030
1473945248,7639,8533
1473952416,18257,19570
1473959362,5900,18525
1473963086,11709,5999
1473980993,23436,24940
1473995628,21004,22275
1473998931,3833,3351
1474017208,22165,14691
1474020560,7326,7832
1474028230,13687,13688
1474031387,8234,8808
1474035037,9498,8698
1474042475,11823,14368
1474049581,10900,9164
1474052664,1961,31
1474056562,784,10600
1474063715,935,9883
1474067276,463,5540
1474074689,903,6464
1474081841,1126,8689
1474085432,636,4671
1474089062,601,3878
1474092480,653,2071
1474096292,1083,2428
1474099880,866,2563
1474103472,578,5610
1474107061,472,7409
1474110666,1022,4127
1474118000,2855,13858
1474121453,1189,9375
1474125054,1146,10372
1474128655,1092,9434
1474132205,1086,4240
1474135676,991,6854
1474139437,784,6240
1474142873,679,5210
1474146469,621,6240
