DateTime,Entries,UniqueIPs
1473437321,157104,158838
1473440886,161248,163041
1473444265,166806,168729
1473448213,161128,163000
1473451954,156536,158356
1473455394,153251,155045
1473458895,150521,152279
1473462641,147100,148803
1473466062,145216,146884
1473477282,145531,147214
1473484392,145374,147064
1473487788,145118,146803
1473491262,144286,145950
1473495005,143941,145593
1473498630,143604,145239
1473502066,142882,144501
1473505671,139244,140809
1473509484,133843,135337
1473512985,125158,126553
1473516674,117544,118854
1473520173,113576,114863
1473523668,106681,107897
1473534652,90640,91623
1473541860,85837,86785
1473545463,84942,85891
1473548874,84711,85652
1473552463,84267,85189
1473556072,84162,85080
1473559772,83827,84724
1473566974,83493,84415
1473570465,82852,83770
1473577885,82703,83656
1473581260,82462,83410
1473585021,82664,83605
1473592226,71885,72753
1473595929,66891,67727
1473599262,62789,63594
1473602861,62078,62868
1473606468,60485,61257
1473613842,55612,56372
1473617363,51227,51967
1473620973,45734,46437
1473635317,41469,42128
1473638995,41433,42090
1473642467,41245,41884
1473646164,41398,42006
1473649889,41645,42243
1473653363,41656,42248
1473656863,41881,42462
1473660467,41503,42088
1473664072,41920,42506
1473667793,42366,42959
1473675195,40673,41233
1473678585,45905,46520
1473682191,45746,46375
1473685671,47209,47849
1473689308,51762,52429
1473692929,62161,62871
1473696538,69504,70261
1473703884,85771,86635
1473718459,110610,111740
1473721726,114534,115701
1473725521,118888,120096
1473729174,123761,125029
1473732736,129021,130408
1473736320,129485,130873
1473739835,129593,130978
1473743386,129915,131298
1473747047,130821,132196
1473750496,131765,133151
1473754104,132471,133850
1473757717,137767,139243
1473765489,153888,155559
1473768776,161360,163144
1473779755,188595,190807
1473787065,201342,203774
1473797525,215065,217795
1473804906,222584,225530
1473808124,227765,230807
1473815843,239172,242460
1473819149,243379,246766
1473826145,247210,250636
1473833541,249082,252536
1473837089,250469,253942
1473844553,262582,266283
1473847768,267981,271780
1473851350,273293,277194
1473854952,279213,283229
1473858813,287680,291899
1473862167,292166,296469
1473869857,287828,292027
1473876804,279929,283920
1473884112,274391,278219
1473887567,273782,277595
1473890930,272532,276296
1473898351,267216,270888
1473912417,269030,272774
1473919932,271593,275352
1473927389,268915,272607
1473930640,282114,286141
1473941932,277947,281883
1473945248,277057,280989
1473952416,275645,279676
1473959362,263355,267051
