DateTime,AddedIPs,RemovedIPs
1474659121,1,0
1474659722,1,0
1474660321,1,0
1474668121,2,0
1474671721,1,0
1474672921,0,1
1474674122,1,0
1474675322,0,15
1474675921,0,1
1474677121,1,0
1474677723,1,0
1474680122,1,0
1474686122,1,0
1474687321,1,1
1474687922,2,0
1474695122,1,0
1474697522,0,1
1474703522,1,0
1474710122,1,0
1474713722,1,0
1474721521,3,0
1474722121,1,0
1474723321,1,0
1474728721,1,0
1474730522,8,0
1474731121,2,0
1474734721,0,1
1474738922,4,0
1474747321,2,0
1474749723,1,0
1474761121,1,12
1474764122,1,0
1474771322,1,0
1474772522,17,0
1474774922,0,1
1474780921,1,0
1474781521,2,0
1474790522,0,1
1474800121,1,0
1474807322,0,1
1474807922,3,0
1474809722,2,0
1474816921,1,0
1474817521,2,0
1474820522,1,0
1474834322,2,0
1474835521,0,1
1474837321,0,1
1474842121,0,1
1474844521,1,0
1474848121,0,23
1474851122,1,0
1474860121,3,0
1474861922,4,0
1474863721,0,1
1474871522,0,1
1474873321,1,0
1474876921,2,0
1474885922,4,0
1474886522,2,0
1474887722,1,0
1474894321,0,1
1474896121,1,0
1474905121,1,0
1474905721,0,2
1474912922,2,0
1474914721,1,0
1474921322,2,0
1474926121,1,0
1474930322,1,1
1474934522,0,28
1474939322,2,0
1474939921,1,0
1474948922,3,0
1474950122,3,0
1474957921,10,0
1474958521,1,0
1474966921,1,0
1474968122,1,0
1474970521,0,1
1474979522,1,0
1474980722,1,0
1474994522,2,0
1474995125,1,0
1475002922,1,0
1475008321,1,0
1475008921,2,0
1475011921,1,0
1475020321,0,32
1475025121,1,0
1475030522,1,0
1475032321,1,0
1475035321,0,1
1475037121,1,0
1475038921,3,1
1475039522,0,1
1475047321,5,0
1475047921,10,0
1475048522,2,0
1475049721,3,0
1475055122,0,1
1475056921,2,0
1475062922,2,0
1475064121,1,0
1475066521,1,0
1475073722,1,0
1475086921,0,1
1475091722,2,0
1475093521,3,0
1475098921,0,1
1475101921,1,0
1475104321,1,0
1475106721,0,24
1475109121,1,0
1475110322,0,1
1475112121,1,0
1475126521,2,0
1475135521,1,0
1475136121,1,0
