DateTime,Entries,UniqueIPs
1474684322,600,605
1474685522,580,585
1474686122,575,580
1474687321,573,578
1474687922,570,575
1474689721,566,571
1474691521,559,564
1474692121,558,563
1474693321,556,561
1474695122,551,556
1474696921,540,544
1474697522,536,540
1474698122,534,538
1474698721,533,537
1474699322,529,533
1474700521,528,532
1474703522,529,533
1474704121,520,524
1474705321,519,523
1474710122,512,516
1474713722,511,515
1474716121,510,514
1474716721,509,513
1474717322,501,505
1474720922,500,504
1474721521,484,487
1474722121,485,488
1474722721,480,483
1474723321,481,484
1474724521,479,482
1474726321,469,472
1474727521,463,466
1474728721,464,467
1474730522,471,474
1474731121,469,472
1474732322,467,470
1474732922,466,469
1474734121,464,467
1474734721,463,466
1474736521,457,460
1474738922,461,464
1474739522,459,462
1474740721,438,441
1474743122,434,437
1474744922,429,432
1474747321,428,431
1474747922,426,429
1474749723,417,420
1474750922,411,414
1474751522,408,411
1474752121,404,407
1474753321,403,406
1474754521,401,404
1474755722,394,396
1474756322,392,394
1474756922,388,389
1474758121,385,386
1474759321,383,384
1474759921,375,376
1474761121,374,375
1474761722,372,373
1474762922,368,369
1474764122,369,370
1474765322,357,358
1474765926,355,356
1474767721,344,344
1474770121,342,342
1474770722,324,324
1474771322,325,325
1474771921,320,320
1474772522,337,337
1474773721,336,336
1474774922,334,334
1474776121,322,322
1474777321,320,320
1474779121,319,319
1474779721,317,317
1474780921,318,318
1474781521,319,319
1474782121,314,314
1474783322,310,310
1474784521,307,307
1474785121,305,305
1474786922,300,300
1474800121,301,301
1474800721,300,300
1474807322,299,299
1474807922,302,302
1474809122,301,301
1474809722,303,303
1474812121,302,302
1474816921,303,303
1474817521,304,304
1474820522,304,304
1474822922,303,303
1474827721,302,302
1474831321,301,301
1474832522,300,300
1474833722,297,297
1474834322,298,298
1474836122,295,295
1474838522,293,293
1474839722,290,290
1474841522,286,286
1474844521,287,287
1474845722,286,286
1474851122,287,287
1474856521,284,284
1474860121,286,286
1474861922,289,289
1474865522,284,284
1474867322,283,283
1474869721,282,282
1474870321,281,281
1474871522,280,280
1474873922,279,279
1474875721,278,278
1474876921,280,280
1474882922,279,279
1474884722,278,278
1474885922,282,282
1474886522,283,283
1474887722,284,284
1474889522,282,282
1474892521,281,281
1474896121,282,282
1474897921,281,281
1474903321,280,280
1474905121,281,281
