DateTime,AddedIPs,RemovedIPs
1475439721,1,1
1475440922,1,0
1475442122,0,1
1475443322,0,3
1475443921,2,0
1475445721,2,0
1475446322,2,0
1475446921,1,0
1475451121,1,0
1475452922,0,34
1475454122,1,0
1475454722,1,0
1475455321,2,0
1475455922,1,0
1475457722,2,1
1475458321,0,1
1475458921,1,0
1475459522,0,1
1475460722,1,0
1475461922,2,1
1475463122,2,1
1475464321,0,1
1475464921,4,2
1475465521,1,0
1475466121,2,1
1475466721,0,1
1475467321,1,1
1475467921,1,0
1475468522,1,2
1475469722,2,1
1475470921,2,1
1475471522,0,2
1475472122,4,0
1475472721,1,1
1475473321,0,1
1475473921,1,0
1475474521,0,1
1475475721,1,0
1475476322,1,0
1475479322,1,0
1475479921,1,0
1475480521,0,3
1475481122,1,0
1475483522,0,3
1475484122,1,0
1475485322,3,1
1475486522,1,0
1475487122,4,2
1475488921,4,1
1475489521,1,0
1475490122,0,2
1475490722,2,0
1475492522,1,0
1475493722,1,0
1475495522,0,1
1475496122,2,0
1475497321,1,0
1475497921,1,0
1475498522,0,3
1475499722,2,2
1475500322,3,0
1475500921,1,0
1475502122,2,0
1475505122,0,1
1475506922,1,0
1475508122,2,0
1475509922,1,1
1475512922,2,1
1475516521,1,0
1475518322,0,1
1475518921,0,1
1475519522,2,0
1475520721,1,2
1475521322,0,2
1475522521,2,0
1475523122,0,1
1475523721,2,1
1475524921,1,2
1475525521,5,0
1475526722,0,2
1475527321,0,1
1475527922,0,1
1475528521,1,1
1475529121,1,0
1475530921,1,1
1475531522,1,0
1475533322,3,3
1475533921,1,0
1475535122,1,0
1475535722,1,1
1475536922,0,2
1475537522,1,0
1475538122,1,0
1475539322,2,25
1475541721,0,2
1475542321,6,0
1475542922,3,0
1475544121,2,0
1475545321,1,0
1475548921,1,0
1475550121,1,0
1475550722,1,0
1475551321,1,0
1475552521,0,1
1475553722,0,1
1475554922,1,1
1475556122,1,1
1475557321,0,1
1475557921,1,0
1475558521,0,1
1475559722,12,0
1475560322,1,0
1475561522,1,1
1475568122,0,2
1475569321,1,0
1475569921,1,1
1475570522,1,0
1475571721,1,0
1475572921,2,4
1475574122,2,0
1475576522,3,0
1475577121,1,0
