DateTime,Entries,UniqueIPs
1475480521,56,56
1475481122,57,57
1475483522,54,54
1475484122,55,55
1475485322,57,57
1475486522,58,58
1475487122,60,60
1475488921,63,63
1475489521,64,64
1475490122,62,62
1475490722,64,64
1475492522,65,65
1475493722,66,66
1475495522,65,65
1475496122,67,67
1475497321,68,68
1475497921,69,69
1475498522,66,66
1475499722,66,66
1475500322,69,69
1475500921,70,70
1475502122,72,72
1475505122,71,71
1475506922,72,72
1475508122,74,74
1475509922,74,74
1475512922,75,75
1475516521,76,76
1475518322,75,75
1475518921,74,74
1475519522,76,76
1475520721,75,75
1475521322,73,73
1475522521,75,75
1475523122,74,74
1475523721,75,75
1475524921,74,74
1475525521,79,79
1475526722,77,77
1475527321,76,76
1475527922,75,75
1475528521,75,75
1475529121,76,76
1475530921,76,76
1475531522,77,77
1475533322,77,77
1475533921,78,78
1475535122,79,79
1475535722,79,79
1475536922,77,77
1475537522,78,78
1475538122,79,79
1475539322,56,56
1475541721,54,54
1475542321,60,60
1475542922,63,63
1475544121,65,65
1475545321,66,66
1475548921,67,67
1475550121,68,68
1475550722,69,69
1475551321,70,70
1475552521,69,69
1475553722,68,68
1475554922,68,68
1475556122,68,68
1475557321,67,67
1475557921,68,68
1475558521,67,67
1475559722,79,79
1475560322,80,80
1475561522,80,80
1475568122,78,78
1475569321,79,79
1475569921,79,79
1475570522,80,80
1475571721,81,81
1475572921,79,79
1475574122,81,81
1475576522,84,84
1475577121,85,85
1475578322,84,84
1475581322,85,85
1475582521,87,87
1475586121,90,90
1475587321,90,90
1475587921,89,89
1475589121,90,90
1475593322,91,91
1475594521,90,90
1475595721,91,91
1475597523,90,90
1475598122,88,88
1475598721,89,89
1475599322,90,90
1475600522,91,91
1475605321,90,90
1475607721,91,91
1475608322,92,92
1475611322,95,95
1475612522,94,94
1475613121,93,93
1475613722,94,94
1475615522,100,100
1475617922,100,100
1475620921,100,100
1475621521,100,100
1475623322,100,100
1475624521,100,100
1475625721,74,74
1475626921,72,72
1475627521,73,73
1475628122,74,74
1475629921,75,75
1475630521,74,74
1475631721,83,83
1475632322,84,84
1475632945,81,81
1475634121,80,80
1475634722,82,82
1475635321,83,83
1475635921,82,82
1475636521,82,82
1475638922,87,87
1475639522,95,95
1475640122,96,96
1475640722,97,97
1475641321,96,96
1475643122,95,95
1475644322,97,97
1475647922,98,98
1475653322,97,97
1475653921,99,99
1475656322,100,100
1475656921,100,100
1475665321,100,100
1475666521,100,100
1475667721,100,100
1475668922,100,100
1475670121,100,100
1475671321,100,100
1475672521,100,100
1475673121,100,100
1475674922,100,100
1475678522,100,100
1475679722,100,100
1475680321,100,100
1475681521,100,100
1475683322,100,100
1475686921,100,100
1475688121,100,100
1475689321,100,100
1475694121,100,100
1475694722,100,100
1475695322,100,100
1475696521,100,100
1475697723,100,100
1475698322,100,100
1475698922,100,100
