DateTime,AddedIPs,RemovedIPs
1474192801,111,108
1474196401,122,102
1474200001,117,97
1474203601,122,124
1474207201,94,113
1474210801,110,135
1474214402,94,158
1474218001,106,148
1474221601,170,120
1474225202,195,99
1474228801,165,119
1474232402,107,115
1474236001,98,94
1474239601,152,86
1474243201,207,120
1474246802,108,78
1474250402,103,81
1474254001,89,82
1474257601,83,133
1474261202,95,123
1474264802,92,85
1474268401,130,119
1474272002,144,116
1474275602,135,103
1474279202,155,123
1474282801,124,111
1474286402,127,96
1474290001,109,125
1474293602,127,105
1474297201,141,106
1474300801,166,85
1474304401,113,106
1474308002,98,155
1474311601,90,167
1474315201,81,191
1474318802,94,109
1474322402,84,98
1474326001,100,128
1474329601,112,304
1474333202,106,96
1474336801,130,96
1474340402,165,107
1474344001,115,89
1474347602,121,93
1474351202,137,92
1474354801,143,122
1474358401,118,118
1474362001,140,150
1474365601,168,148
1474369202,132,121
1474372801,179,115
1474376402,126,103
1474380001,128,132
1474383601,207,146
1474387202,114,171
1474390802,128,124
1474394402,120,119
1474398002,100,93
1474401602,70,95
1474405201,90,92
1474408802,83,98
1474412402,107,97
1474416002,105,119
1474419602,96,91
1474423201,199,114
1474426802,104,161
1474430401,219,117
1474434001,128,112
1474437602,116,122
1474441201,142,141
1474444802,146,108
1474448402,157,140
1474452002,143,172
1474455602,127,127
1474459202,215,178
1474462802,125,143
1474466401,140,127
1474470001,128,209
1474473601,170,112
1474477202,115,148
1474480802,119,120
1474484401,120,87
1474488001,89,87
1474491601,138,86
1474495202,107,83
1474498801,101,105
1474502402,746,116
1474506002,102,72
1474509601,99,165
1474513201,125,126
1474516802,91,168
1474520401,97,176
1474524002,127,90
1474527601,162,111
1474531201,184,133
1474534802,147,126
1474538402,124,146
1474542002,131,124
1474545601,150,194
1474549201,131,141
1474552802,166,143
1474556402,103,138
1474560002,133,189
1474563602,98,129
1474567202,128,116
1474570802,97,112
1474574401,113,105
1474578001,97,110
1474581602,103,122
1474585202,93,110
1474588801,82,752
1474592402,111,87
1474596002,98,86
1474599602,95,116
1474603201,127,115
1474606801,135,109
1474610401,143,116
1474614002,130,126
1474617601,147,172
1474621201,159,164
1474624802,174,130
1474628402,151,124
1474632002,175,159
1474635601,216,150
1474639201,147,162
1474642801,118,119
1474646402,117,142
1474650002,117,109
1474653602,116,141
1474657201,109,113
1474660802,120,105
1474664402,88,108
1474668001,133,111
1474671601,109,96
1474675201,161,102
1474678801,95,85
1474682401,79,105
1474686002,106,119
1474689601,103,103
1474693201,96,135
1474696801,132,127
1474700401,131,122
1474704001,119,134
1474707601,128,137
1474711201,141,131
1474714801,113,133
1474718402,159,183
1474722001,171,208
1474725601,188,167
1474729201,101,113
1474732802,132,112
1474736402,107,117
1474740001,94,116
1474743602,140,136
1474747201,94,173
1474750802,106,101
1474754401,124,127
1474758002,141,120
1474761602,94,204
1474765202,91,85
1474768801,90,86
1474772401,90,105
1474776002,106,96
1474779601,78,105
1474783202,104,127
1474786801,85,125
1474790402,88,103
1474794002,88,129
1474797601,90,131
1474801201,114,111
1474804801,84,138
1474808402,126,163
1474812002,86,234
1474815601,96,113
1474819202,126,114
1474822802,165,138
1474826401,105,109
1474830002,94,141
1474833601,114,96
1474837201,139,109
1474840801,183,130
1474844401,209,160
1474848001,221,110
1474851601,125,84
1474855201,78,90
1474858801,118,102
1474862402,88,101
1474866002,111,76
1474869602,146,96
1474873201,107,73
1474876801,185,87
1474880402,127,90
1474884002,166,96
1474887601,132,113
1474891201,186,92
1474894801,223,128
1474898402,181,86
1474902002,157,103
1474905602,127,124
1474909201,191,173
1474912802,148,102
1474916402,138,88
1474920002,180,112
1474923602,136,137
1474927202,163,124
1474930802,113,263
1474934402,141,249
1474938002,156,108
1474941602,113,78
1474945202,108,116
1474948801,119,87
1474952402,105,105
1474956001,168,142
1474959601,195,109
1474963201,140,132
1474966802,147,133
1474970402,150,152
1474974002,226,124
1474977602,153,165
1474981201,204,231
1474984802,139,162
1474988402,165,167
1474992002,130,120
1474995602,149,183
1474999202,119,148
1475002801,138,130
1475006402,118,167
1475010002,107,125
1475013601,141,149
1475017202,135,121
1475020802,224,161
1475024402,100,140
1475028001,142,107
1475031602,126,95
1475035202,95,118
1475038802,119,117
1475042402,149,137
1475046001,153,151
1475049602,158,129
1475053201,140,128
1475056801,154,147
1475060402,148,195
1475064001,182,137
1475067602,164,182
1475071202,186,136
1475074802,158,180
1475078402,119,112
1475082001,144,171
1475085601,301,122
1475089201,147,126
1475092802,142,127
1475096402,138,96
1475100002,122,133
1475103602,120,140
1475107202,128,249
1475110802,139,88
1475114402,97,151
1475118001,113,121
1475121602,104,97
1475125201,125,123
1475128802,183,110
1475132402,126,147
1475136001,157,145
1475139602,199,137
1475143202,137,142
1475146802,164,133
1475150402,157,146
1475154002,146,167
1475157602,154,218
1475161201,158,135
1475164802,130,118
1475168401,193,97
1475172002,120,320
1475175602,127,186
1475179201,114,127
1475182801,105,122
1475186401,121,118
1475190002,163,143
1475193602,93,180
1475197201,103,144
1475200801,140,132
1475204402,117,124
1475208002,114,90
1475211602,126,108
1475215202,127,185
1475218801,147,128
1475222401,194,142
1475226002,172,187
1475229602,143,141
1475233202,145,142
1475236802,142,158
1475240402,147,169
1475244001,151,137
1475247602,125,175
1475251202,120,146
1475254802,125,186
1475258401,128,144
1475262002,138,127
1475265602,116,130
1475269202,149,114
1475272802,139,128
1475276402,125,149
1475280002,132,129
1475283602,127,87
