DateTime,Entries,UniqueIPs
1474261202,3740,3740
1474264802,3747,3747
1474268401,3758,3758
1474272002,3786,3786
1474275602,3818,3818
1474279202,3850,3850
1474282801,3863,3863
1474286402,3894,3894
1474290001,3878,3878
1474293602,3900,3900
1474297201,3935,3935
1474300801,4016,4016
1474304401,4023,4023
1474308002,3966,3966
1474311601,3889,3889
1474315201,3779,3779
1474318802,3764,3764
1474322402,3750,3750
1474326001,3722,3722
1474329601,3530,3530
1474333202,3540,3540
1474336801,3574,3574
1474340402,3632,3632
1474344001,3658,3658
1474347602,3686,3686
1474351202,3731,3731
1474354801,3752,3752
1474358401,3752,3752
1474362001,3742,3742
1474365601,3762,3762
1474369202,3773,3773
1474372801,3837,3837
1474376402,3860,3860
1474380001,3856,3856
1474383601,3917,3917
1474387202,3860,3860
1474390802,3864,3864
1474394402,3865,3865
1474398002,3872,3872
1474401602,3847,3847
1474405201,3845,3845
1474408802,3830,3830
1474412402,3840,3840
1474416002,3826,3826
1474419602,3831,3831
1474423201,3916,3916
1474426802,3859,3859
1474430401,3961,3961
1474434001,3977,3977
1474437602,3971,3971
1474441201,3972,3972
1474444802,4010,4010
1474448402,4027,4027
1474452002,3998,3998
1474455602,3998,3998
1474459202,4035,4035
1474462802,4017,4017
1474466401,4030,4030
1474470001,3949,3949
1474473601,4007,4007
1474477202,3974,3974
1474480802,3973,3973
1474484401,4006,4006
1474488001,4008,4008
1474491601,4060,4060
1474495202,4084,4084
1474498801,4080,4080
1474502402,4710,4710
1474506002,4740,4740
1474509601,4674,4674
1474513201,4673,4673
1474516802,4596,4596
1474520401,4517,4517
1474524002,4554,4554
1474527601,4605,4605
1474531201,4656,4656
1474534802,4677,4677
1474538402,4655,4655
1474542002,4662,4662
1474545601,4618,4618
1474549201,4608,4608
1474552802,4631,4631
1474556402,4596,4596
1474560002,4540,4540
1474563602,4509,4509
1474567202,4521,4521
1474570802,4506,4506
1474574401,4514,4514
1474578001,4501,4501
1474581602,4482,4482
1474585202,4465,4465
1474588801,3795,3795
1474592402,3819,3819
1474596002,3831,3831
1474599602,3810,3810
1474603201,3822,3822
1474606801,3848,3848
1474610401,3875,3875
1474614002,3879,3879
1474617601,3854,3854
1474621201,3849,3849
1474624802,3893,3893
1474628402,3920,3920
1474632002,3936,3936
1474635601,4002,4002
1474639201,3987,3987
1474642801,3986,3986
1474646402,3961,3961
1474650002,3969,3969
1474653602,3944,3944
1474657201,3940,3940
1474660802,3955,3955
1474664402,3935,3935
1474668001,3957,3957
1474671601,3970,3970
1474675201,4029,4029
1474678801,4039,4039
1474682401,4013,4013
1474686002,4000,4000
1474689601,4000,4000
1474693201,3961,3961
1474696801,3966,3966
1474700401,3975,3975
1474704001,3960,3960
1474707601,3951,3951
1474711201,3961,3961
1474714801,3941,3941
1474718402,3917,3917
1474722001,3880,3880
1474725601,3901,3901
1474729201,3889,3889
1474732802,3909,3909
1474736402,3899,3899
1474740001,3877,3877
1474743602,3881,3881
1474747201,3802,3802
1474750802,3807,3807
1474754401,3804,3804
1474758002,3825,3825
1474761602,3715,3715
1474765202,3721,3721
1474768801,3725,3725
1474772401,3710,3710
1474776002,3720,3720
1474779601,3693,3693
1474783202,3670,3670
1474786801,3630,3630
1474790402,3615,3615
1474794002,3574,3574
1474797601,3533,3533
1474801201,3536,3536
1474804801,3482,3482
1474808402,3445,3445
1474812002,3297,3297
1474815601,3280,3280
1474819202,3292,3292
1474822802,3319,3319
1474826401,3315,3315
1474830002,3268,3268
1474833601,3286,3286
1474837201,3316,3316
1474840801,3369,3369
1474844401,3418,3418
1474848001,3529,3529
1474851601,3570,3570
1474855201,3558,3558
1474858801,3574,3574
1474862402,3561,3561
1474866002,3596,3596
1474869602,3646,3646
1474873201,3680,3680
1474876801,3778,3778
1474880402,3815,3815
1474884002,3885,3885
1474887601,3904,3904
1474891201,3998,3998
1474894801,4093,4093
1474898402,4188,4188
1474902002,4242,4242
1474905602,4245,4245
1474909201,4263,4263
1474912802,4309,4309
1474916402,4359,4359
1474920002,4427,4427
1474923602,4426,4426
1474927202,4465,4465
1474930802,4315,4315
1474934402,4207,4207
1474938002,4255,4255
1474941602,4290,4290
1474945202,4282,4282
1474948801,4314,4314
1474952402,4314,4314
1474956001,4340,4340
1474959601,4426,4426
1474963201,4434,4434
1474966802,4448,4448
1474970402,4446,4446
1474974002,4548,4548
1474977602,4536,4536
1474981201,4509,4509
1474984802,4486,4486
1474988402,4484,4484
