DateTime,AddedIPs,RemovedIPs
1474690200,17,0
1474692000,131,41
1474693800,18,0
1474695601,148,52
1474697400,22,0
1474699200,163,36
1474701600,20,0
1474702800,169,26
1474704600,13,0
1474706400,164,35
1474708200,24,0
1474710000,170,31
1474713600,203,31
1474716000,22,0
1474717200,197,24
1474720800,220,29
1474722600,27,0
1474724401,190,30
1474726200,2,0
1474728001,178,29
1474729800,7,0
1474731600,151,25
1474735200,139,32
1474737001,29,0
1474738800,176,23
1474742401,125,41
1474744800,26,0
1474746000,140,21
1474747800,2,0
1474749600,130,29
1474751400,15,0
1474753200,130,11
1474755000,1,0
1474756800,151,24
1474758600,21,0
1474760400,146,21
1474764000,115,26
1474765800,29,1
1474767600,140,24
1474769400,0,1
1474771201,146,36
1474773601,18,0
1474774800,132,20
1474778400,141,27
1474780200,18,0
1474782000,115,19
1474783800,14,0
1474785601,121,28
1474788000,38,0
1474789200,136,27
1474792800,125,39
1474794600,17,0
1474796401,117,25
1474798200,4,0
1474800000,97,52
1474801800,16,0
1474803600,105,31
1474807200,97,40
1474809001,14,0
1474810800,88,28
1474813201,8,0
1474814400,86,39
1474816800,15,1
1474818000,87,13
1474819801,1,0
1474821600,106,35
1474823401,11,0
1474825200,108,18
1474827000,1,0
1474828800,76,23
1474832401,76,16
1474836000,90,18
1474839600,75,13
1474843200,70,10
1474846800,47,10
1474850400,61,15
1474854000,57,5
1474857600,88,19
1474861800,98,15
1474864800,112,30
1474868400,120,23
1474872001,130,26
1474875600,100,21
1474879200,97,31
1474882800,97,24
1474886400,102,25
1474890000,105,20
1474893601,102,24
1474897200,84,27
1474900800,96,32
1474904400,68,19
1474908000,67,22
1474911600,480,9
1474915200,580,17
1474918800,329,24
1474922400,88,24
1474926000,455,30
1474928400,58,0
1474929600,208,28
1474931400,33,0
1474933201,302,13
1474936800,352,25
1474939200,122,0
1474940400,219,19
1474942800,36,0
1474944000,422,44
1474946400,165,0
1474947601,197,34
1474949401,50,0
1474951200,483,55
1474953000,195,0
1474955400,464,32
1474956600,113,0
1474958400,309,48
1474960201,256,0
1474962000,549,30
1474964400,160,0
1474965600,61,53
1474967400,51,0
1474969200,47,39
1474971000,47,0
1474972800,63,40
1474974600,48,0
1474976401,58,40
1474978200,52,0
1474980000,66,42
1474982400,60,0
1474983600,240,41
1474985401,114,0
1474987200,250,61
1474989000,182,0
1474991401,136,47
1474992600,108,0
1474994401,172,39
1474996200,119,0
1474998000,296,32
1474999800,242,0
1475001601,137,40
1475003400,116,0
1475005200,83,33
1475007001,94,0
1475008800,65,38
1475010601,72,0
1475012400,61,32
1475014200,61,0
1475016000,67,42
1475017800,95,0
1475019601,93,31
1475021400,139,0
1475023200,113,50
1475025001,146,0
1475026800,115,27
1475028600,103,0
1475030400,124,57
1475032200,88,0
1475034001,143,34
1475035800,76,0
1475037600,110,55
1475039400,51,0
1475041200,94,35
1475043000,29,0
1475044800,69,38
1475046600,30,0
1475048400,66,10
1475052000,71,17
1475053801,8,0
1475055600,94,25
1475057400,16,0
1475059200,138,31
1475061000,17,0
1475062800,149,22
1475064600,16,0
1475066400,116,19
1475068200,6,0
1475070000,147,9
1475073600,167,30
1475075401,21,0
1475077200,157,21
1475079000,10,0
1475080800,141,47
1475082600,31,0
1475084401,73,42
1475088000,68,34
1475091600,84,8
1475095200,103,43
1475097000,13,0
1475098800,117,10
1475102400,144,30
1475104201,7,0
1475106000,157,159
