DateTime,Entries,UniqueIPs
1474669200,45475,45475
1474670400,45535,45535
1474672200,45557,45557
1474674000,45594,45594
1474675800,45611,45611
1474677600,45655,45655
1474679400,45672,45672
1474681200,45690,45690
1474683000,45709,45709
1474684800,45723,45723
1474686600,45740,45740
1474688400,45806,45806
1474690200,45823,45823
1474692000,45913,45913
1474693800,45931,45931
1474695601,46027,46027
1474697400,46049,46049
1474699200,46176,46176
1474701600,46196,46196
1474702800,46339,46339
1474704600,46352,46352
1474706400,46481,46481
1474708200,46505,46505
1474710000,46644,46644
1474713600,46816,46816
1474716000,46838,46838
1474717200,47011,47011
1474720800,47202,47202
1474722600,47229,47229
1474724401,47389,47389
1474726200,47391,47391
1474728001,47540,47540
1474729800,47547,47547
1474731600,47673,47673
1474735200,47780,47780
1474737001,47809,47809
1474738800,47962,47962
1474742401,48046,48046
1474744800,48072,48072
1474746000,48191,48191
1474747800,48193,48193
1474749600,48294,48294
1474751400,48309,48309
1474753200,48428,48428
1474755000,48429,48429
1474756800,48556,48556
1474758600,48577,48577
1474760400,48702,48702
1474764000,48791,48791
1474765800,48819,48819
1474767600,48935,48935
1474769400,48934,48934
1474771201,49044,49044
1474773601,49062,49062
1474774800,49174,49174
1474778400,49288,49288
1474780200,49306,49306
1474782000,49402,49402
1474783800,49416,49416
1474785601,49509,49509
1474788000,49547,49547
1474789200,49656,49656
1474792800,49742,49742
1474794600,49759,49759
1474796401,49851,49851
1474798200,49855,49855
1474800000,49900,49900
1474801800,49916,49916
1474803600,49990,49990
1474807200,50047,50047
1474809001,50061,50061
1474810800,50121,50121
1474813201,50129,50129
1474814400,50176,50176
1474816800,50190,50190
1474818000,50264,50264
1474819801,50265,50265
1474821600,50336,50336
1474823401,50347,50347
1474825200,50437,50437
1474827000,50438,50438
1474828800,50491,50491
1474832401,50551,50551
1474836000,50623,50623
1474839600,50685,50685
1474843200,50745,50745
1474846800,50782,50782
1474850400,50828,50828
1474854000,50880,50880
1474857600,50949,50949
1474861800,51032,51032
1474864800,51114,51114
1474868400,51211,51211
1474872001,51315,51315
1474875600,51394,51394
1474879200,51460,51460
1474882800,51533,51533
1474886400,51610,51610
1474890000,51695,51695
1474893601,51773,51773
1474897200,51830,51830
1474900800,51894,51894
1474904400,51943,51943
1474908000,51988,51988
1474911600,52459,52459
1474915200,53022,53022
1474918800,53327,53327
1474922400,53391,53391
1474926000,53816,53816
1474928400,53874,53874
1474929600,54054,54054
1474931400,54087,54087
1474933201,54376,54376
1474936800,54703,54703
1474939200,54825,54825
1474940400,55025,55025
1474942800,55061,55061
1474944000,55439,55439
1474946400,55604,55604
1474947601,55767,55767
1474949401,55817,55817
1474951200,56245,56245
1474953000,56440,56440
1474955400,56872,56872
1474956600,56985,56985
1474958400,57246,57246
1474960201,57502,57502
1474962000,58021,58021
1474964400,58181,58181
1474965600,58189,58189
1474967400,58240,58240
1474969200,58248,58248
1474971000,58295,58295
1474972800,58318,58318
1474974600,58366,58366
1474976401,58384,58384
1474978200,58436,58436
1474980000,58460,58460
1474982400,58520,58520
1474983600,58719,58719
1474985401,58833,58833
1474987200,59022,59022
1474989000,59204,59204
1474991401,59293,59293
1474992600,59401,59401
1474994401,59534,59534
1474996200,59653,59653
1474998000,59917,59917
1474999800,60159,60159
1475001601,60256,60256
1475003400,60372,60372
1475005200,60422,60422
1475007001,60516,60516
1475008800,60543,60543
1475010601,60615,60615
1475012400,60644,60644
1475014200,60705,60705
1475016000,60730,60730
1475017800,60825,60825
1475019601,60887,60887
1475021400,61026,61026
1475023200,61089,61089
1475025001,61235,61235
1475026800,61323,61323
1475028600,61426,61426
1475030400,61493,61493
1475032200,61581,61581
1475034001,61690,61690
1475035800,61766,61766
1475037600,61821,61821
1475039400,61872,61872
1475041200,61931,61931
1475043000,61960,61960
1475044800,61991,61991
1475046600,62021,62021
1475048400,62077,62077
1475052000,62131,62131
1475053801,62139,62139
1475055600,62208,62208
1475057400,62224,62224
1475059200,62331,62331
1475061000,62348,62348
1475062800,62475,62475
1475064600,62491,62491
1475066400,62588,62588
1475068200,62594,62594
1475070000,62732,62732
1475073600,62869,62869
1475075401,62890,62890
1475077200,63026,63026
1475079000,63036,63036
1475080800,63130,63130
1475082600,63161,63161
1475084401,63192,63192
1475088000,63226,63226
1475091600,63302,63302
1475095200,63362,63362
1475097000,63375,63375
1475098800,63482,63482
1475102400,63596,63596
1475104201,63603,63603
1475106000,63601,63601
1475109600,63559,63559
1475112000,63660,63660
1475113200,63682,63682
1475116800,63698,63698
1475120400,63656,63656
1475124000,63617,63617
1475125800,63632,63632
1475127600,63532,63532
1475129400,63541,63541
1475131200,63442,63442
1475133000,63456,63456
1475134800,63388,63388
1475138400,63292,63292
1475142000,63189,63189
1475145600,63117,63117
1475149200,63048,63048
1475152800,62986,62986
1475156400,62875,62875
1475158200,62884,62884
1475160000,62792,62792
1475164200,62682,62682
1475167200,62637,62637
1475169000,62652,62652
1475170800,62567,62567
1475174400,62500,62500
1475176200,62501,62501
1475178000,62270,62270
1475181600,62022,62022
1475185200,61765,61765
1475188800,61561,61561
1475192400,61310,61310
1475196000,61162,61162
1475199600,61024,61024
1475203200,60889,60889
1475206800,60785,60785
1475210400,60674,60674
1475214000,60554,60554
1475217600,60427,60427
1475219401,60433,60433
1475221200,60424,60424
1475223000,60423,60423
1475224800,60330,60330
1475228400,60216,60216
1475232000,60111,60111
1475233800,60128,60128
1475235600,60036,60036
1475239200,59929,59929
1475241000,59948,59948
1475242800,59866,59866
1475245200,59877,59877
1475246400,59808,59808
1475250000,59823,59823
1475253600,59928,59928
1475257200,60017,60017
1475260800,60081,60081
1475262600,60143,60143
1475264400,60176,60176
1475268000,60056,60056
1475269800,60145,60145
1475271600,60109,60109
1475273400,60116,60116
1475275200,60020,60020
1475277000,60048,60048
1475278800,60020,60020
1475282400,59911,59911
1475284200,59924,59924
1475286000,59727,59727
1475287800,59768,59768
1475289600,59646,59646
1475291401,59668,59668
1475293201,59542,59542
1475295000,59559,59559
1475296800,59496,59496
1475298600,59526,59526
1475300400,59423,59423
1475302200,59473,59473
1475304001,59377,59377
1475305801,59399,59399
1475307601,59244,59244
1475309400,59251,59251
1475311200,59057,59057
1475313000,59086,59086
1475314800,58872,58872
1475316600,58877,58877
1475318400,58586,58586
1475320200,58609,58609
1475322000,58361,58361
1475325601,58081,58081
1475328000,58100,58100
1475329200,57477,57477
1475331601,57484,57484
1475332800,57525,57525
1475334601,57530,57530
1475336400,57243,57243
1475340000,57009,57009
1475343600,56750,56750
1475345400,56761,56761
1475347200,56505,56505
1475349600,56513,56513
1475350801,56424,56424
1475354400,56324,56324
1475358000,56221,56221
1475361600,56114,56114
1475365200,56042,56042
1475368800,55949,55949
1475372401,55830,55830
1475376000,55677,55677
1475379600,55569,55569
1475383200,55539,55539
1475386800,55513,55513
1475390400,55488,55488
1475394000,55463,55463
1475397600,55437,55437
1475399401,55438,55438
1475401200,55399,55399
1475404800,55354,55354
1475408400,55329,55329
1475412000,55313,55313
1475415600,55292,55292
1475419200,55277,55277
1475422800,55259,55259
1475426400,55249,55249
1475428200,55248,55248
1475430000,55221,55221
1475433600,55210,55210
1475435401,55209,55209
1475437200,55192,55192
1475440801,55178,55178
1475444401,55162,55162
1475448001,55140,55140
1475451601,55138,55138
1475455201,55119,55119
1475458800,55097,55097
1475462400,55079,55079
1475466000,55043,55043
1475469600,55037,55037
1475473200,55037,55037
1475476800,55047,55047
1475480400,55036,55036
1475484000,55035,55035
1475487600,55020,55020
1475491200,55046,55046
1475494800,55091,55091
1475498400,55149,55149
1475502000,55223,55223
1475505600,55283,55283
1475509201,55377,55377
1475512801,55427,55427
1475516400,55454,55454
1475520000,55460,55460
1475523600,55508,55508
1475527200,55537,55537
1475530801,55596,55596
1475534400,55671,55671
1475538000,55764,55764
1475541601,55872,55872
1475545200,55973,55973
1475548800,56036,56036
1475552400,56112,56112
1475556000,56194,56194
1475559601,56282,56282
1475563200,56315,56315
1475565000,56327,56327
1475566800,56296,56296
1475570400,56223,56223
1475572201,56224,56224
1475574000,56197,56197
1475577600,56131,56131
1475581200,56141,56141
1475584801,56151,56151
1475588401,56076,56076
1475590200,56077,56077
1475592000,56026,56026
1475595600,56120,56120
1475597400,56119,56119
1475599201,56223,56223
1475602800,56306,56306
1475606400,56240,56240
1475610000,56160,56160
1475613600,56103,56103
1475617200,56069,56069
1475620800,56085,56085
1475622601,56086,56086
1475624400,56105,56105
1475626201,56111,56111
1475628000,56113,56113
1475631600,56138,56138
1475635200,56153,56153
1475637600,56163,56163
1475638800,56132,56132
1475642400,56119,56119
1475644200,56130,56130
1475646000,56172,56172
1475648401,56173,56173
1475649600,56159,56159
1475651400,56174,56174
1475653200,56059,56059
1475656800,55943,55943
1475660400,55811,55811
1475664000,55731,55731
1475665800,55735,55735
1475667600,55680,55680
1475671201,55610,55610
1475674800,55633,55633
1475678401,55700,55700
1475682000,55726,55726
1475685600,55820,55820
1475689200,55812,55812
1475692800,55776,55776
1475696400,55789,55789
1475700000,55781,55781
1475703600,55755,55755
1475707200,55736,55736
1475710800,55674,55674
1475714400,55533,55533
1475718000,55379,55379
1475721600,55207,55207
1475725200,55028,55028
1475728800,54844,54844
1475732401,54744,54744
1475736000,54668,54668
1475737800,54669,54669
1475739600,54610,54610
1475743200,54514,54514
1475746800,54465,54465
1475750401,54449,54449
1475754000,54430,54430
1475757600,54416,54416
1475759400,54435,54435
1475761200,54435,54435
1475764800,54368,54368
1475769000,54384,54384
1475772000,54362,54362
1475775600,54371,54371
1475779200,54326,54326
1475781000,54325,54325
1475782800,54163,54163
1475786400,53945,53945
1475790001,53828,53828
1475793600,53747,53747
1475797200,53604,53604
1475800800,53507,53507
1475804400,53385,53385
1475808000,53154,53154
1475811600,53026,53026
1475815200,52798,52798
1475818800,52732,52732
1475822400,52677,52677
1475824200,52697,52697
1475826000,52594,52594
1475829600,52496,52496
1475832000,52503,52503
1475833200,52395,52395
1475836800,52289,52289
1475840400,52145,52145
1475844000,51980,51980
1475847600,51774,51774
1475850000,51773,51773
1475851200,51573,51573
1475854800,51440,51440
1475858400,51310,51310
1475862001,51183,51183
1475865601,51021,51021
1475869200,50857,50857
1475872800,50729,50729
1475876400,50541,50541
1475880000,50351,50351
1475883600,50187,50187
1475887200,49989,49989
1475890800,49813,49813
1475894400,49600,49600
1475898000,49395,49395
1475901600,49335,49335
1475905200,49247,49247
1475908800,49136,49136
1475912400,48982,48982
1475916003,48832,48832
1475919600,48665,48665
1475923200,48445,48445
1475926801,48075,48075
1475930400,47760,47760
1475934001,47497,47497
1475937600,47426,47426
1475941200,47336,47336
1475944800,47247,47247
1475948400,47146,47146
1475952000,47062,47062
1475955600,46994,46994
1475959200,46952,46952
1475962800,46884,46884
1475966400,46836,46836
1475970000,46780,46780
1475973600,46728,46728
1475975400,46727,46727
1475977200,46650,46650
1475980800,46567,46567
1475984400,46464,46464
1475988000,46349,46349
