DateTime,Entries,UniqueIPs
1474423553,1046,1096
1474426974,1048,1098
1474430579,1048,1098
1474430994,1044,1094
1474437775,1042,1092
1474438914,1041,1091
1474444974,1040,1090
1474447374,1042,1092
1474452180,1042,1092
1474455774,1044,1094
1474456254,1046,1096
1474463103,1044,1094
1474463454,1043,1093
1474466574,1044,1094
1474470174,1041,1092
1474471194,1042,1093
1474473774,1039,1090
1474477376,1046,1097
1474480976,1047,1098
1474484575,1048,1099
1474488176,1052,1103
1474488594,1052,1103
1474491784,1055,1106
1474495376,1056,1107
1474495854,1054,1105
1474498976,1055,1106
1474502574,1057,1108
1474509776,1057,1108
1474513376,1055,1106
1474513854,1057,1108
1474516974,1058,1109
1474520575,1058,1109
1474521295,1052,1103
1474524176,1051,1101
1474527775,1054,1105
1474529455,1051,1102
1474531375,1049,1100
1474534976,1054,1105
1474538575,1058,1109
1474538995,1060,1111
1474542175,1057,1108
1474545802,1057,1108
1474546855,1059,1110
1474552984,1054,1105
1474555735,1058,1109
1474560175,1053,1103
1474563777,1056,1106
1474564195,1056,1106
1474567376,1053,1103
1474570975,1059,1109
1474571815,1062,1112
1474574575,1061,1111
1474578175,1062,1112
1474579255,1066,1116
1474585376,1066,1116
1474588975,1067,1117
1474596175,1063,1113
1474597255,1067,1117
1474603383,1067,1117
1474606976,1066,1116
1474610577,1068,1118
1474614177,1068,1118
1474614657,1071,1121
1474617776,1073,1123
1474621377,1068,1118
1474622236,1071,1121
1474624946,1075,1125
1474628597,1079,1129
1474632195,1078,1128
1474635796,1080,1130
1474636935,1083,1133
1474639518,1082,1131
1474643003,1085,1134
1474644315,1085,1134
1474650197,1083,1132
1474651875,1085,1134
1474653797,1081,1130
1474657404,1080,1129
1474660997,1079,1128
1474661955,1081,1130
1474664733,1079,1128
1474668195,1079,1128
1474669215,1080,1129
1474671795,1076,1125
1474675396,1078,1127
1474678996,1079,1128
1474682537,1074,1123
1474686196,1073,1122
1474687096,1076,1125
1474689916,1072,1121
1474693397,1074,1123
1474695016,1074,1123
1474697116,1073,1122
1474700597,1077,1126
1474704198,1074,1123
1474707796,1073,1122
1474711336,1069,1118
1474712356,1073,1122
1474714997,1071,1120
1474717961,1074,1123
1474718634,1075,1124
1474722160,1076,1125
1474725280,1076,1125
1474729362,1073,1122
1474732962,1072,1121
1474736560,1072,1121
1474740219,1070,1119
1474740640,1069,1118
1474743760,1070,1119
1474747420,1069,1118
1474750420,1069,1118
1474754562,1069,1118
1474758160,1070,1119
1474758460,1072,1121
1474761820,1072,1121
1474765360,1071,1120
1474768961,1072,1121
1474772560,1069,1118
1474776222,1069,1118
1474779280,1069,1118
1474783361,1071,1120
1474786962,1071,1120
1474787381,1075,1124
1474790561,1072,1121
1474797822,1074,1123
1474801361,1071,1120
1474805023,1074,1123
1474808021,1073,1122
1474812223,1071,1120
1474815761,1076,1125
1474816181,1080,1129
1474819361,1078,1127
1474822961,1078,1127
1474826562,1080,1129
1474830163,1081,1130
1474833761,1086,1135
1474836822,1088,1137
1474837361,1084,1133
1474841022,1086,1136
1474844561,1088,1138
1474848161,1087,1137
1474851761,1089,1139
1474855423,1090,1140
1474858961,1086,1136
1474862569,1082,1132
1474865681,1090,1140
1474866162,1084,1134
1474869773,1086,1136
1474873363,1090,1140
1474873782,1087,1137
1474877024,1086,1136
1474880623,1082,1132
1474884223,1083,1133
1474887763,1084,1134
1474891362,1082,1132
1474894482,1080,1130
1474894962,1079,1129
1474898562,1082,1132
1474902163,1083,1133
1474902582,1084,1134
1474905762,1083,1133
1474909423,1083,1133
1474913023,1087,1137
1474916564,1083,1133
1474920162,1083,1133
1474923222,1084,1134
1474927362,1082,1132
1474930962,1080,1130
1474931322,1082,1132
1474934623,1080,1130
1474938162,1082,1132
1474941764,1080,1130
1474945364,1079,1129
1474948964,1077,1127
1474952563,1072,1122
1474956163,1070,1120
1474959766,1072,1122
1474960003,1074,1124
1474963363,1072,1122
1474966963,1074,1124
1474970563,1076,1126
1474974163,1076,1126
1474977764,1072,1122
1474980823,1070,1120
1474981425,1071,1121
1474984969,1071,1121
1474988587,1073,1123
1474988683,1072,1122
1474992163,1074,1124
1474995763,1076,1126
1474999424,1074,1124
1475002965,1077,1127
1475006563,1071,1121
1475010283,1070,1120
1475013763,1072,1122
1475016883,1076,1126
1475017425,1075,1125
1475020963,1078,1128
1475024564,1080,1130
1475028165,1081,1131
1475031884,1077,1127
1475035423,1072,1122
1475038964,1079,1129
1475042084,1079,1129
1475046164,1072,1122
1475049766,1073,1123
1475053425,1070,1120
1475056965,1067,1117
1475060570,1063,1113
1475064164,1064,1114
1475067764,1068,1118
1475069504,1067,1117
1475074964,1065,1115
1475078565,1062,1112
1475082164,1060,1109
1475085824,1064,1113
1475088824,1062,1111
1475092964,1063,1112
1475096564,1066,1115
1475099564,1072,1121
1475100224,1068,1117
1475103764,1069,1118
1475107425,1066,1115
1475110965,1067,1116
1475114567,1069,1118
1475117685,1067,1116
1475121825,1071,1120
1475125393,1067,1116
1475125785,1069,1118
1475129025,1067,1116
1475132626,1062,1111
1475136165,1065,1114
1475139766,1067,1116
1475143365,1068,1117
1475146485,1069,1118
1475146965,1068,1117
1475150565,1067,1116
1475154226,1063,1112
1475157765,1061,1110
1475161365,1065,1114
1475164969,1067,1116
1475168565,1068,1117
1475172165,1066,1115
1475175225,1066,1115
1475175767,1062,1111
1475179365,1063,1112
1475182967,1061,1110
1475183385,1063,1112
1475186572,1062,1111
1475190165,1061,1110
1475193345,1076,1125
1475197367,1078,1127
1475201025,1076,1125
1475204025,1077,1126
1475204565,1074,1123
1475208166,1072,1121
1475211827,1075,1124
1475212246,1073,1122
1475215366,1068,1117
1475218967,1070,1119
1475222146,1070,1119
1475226167,1067,1116
1475229766,1066,1115
1475232886,1063,1112
1475233426,1057,1106
1475236970,1059,1108
1475240566,1060,1109
1475240986,1061,1110
1475247767,1061,1110
1475251367,1062,1111
1475255026,1062,1111
1475258566,1065,1114
1475261626,1073,1122
1475265828,1068,1117
1475269366,1070,1119
1475269726,1069,1118
1475272967,1074,1123
1475276628,1071,1120
1475280228,1075,1124
1475283827,1077,1126
1475287427,1079,1128
1475290427,1082,1131
1475290969,1080,1129
1475294567,1078,1127
1475298347,1081,1130
1475301773,1082,1131
1475305383,1083,1132
1475308787,1083,1132
1475308969,1082,1131
1475312567,1083,1132
1475316172,1084,1133
1475319829,1082,1131
1475323367,1083,1132
1475326971,1082,1131
1475327447,1085,1134
1475330569,1083,1132
1475334167,1084,1133
1475337767,1086,1135
1475341369,1087,1135
1475344969,1084,1132
1475348087,1085,1133
1475348567,1082,1130
1475352167,1084,1132
1475355767,1086,1134
1475356127,1084,1132
1475359367,1085,1133
1475362967,1080,1128
1475366567,1082,1130
1475370227,1084,1132
1475373767,1082,1130
1475376827,1087,1135
1475377428,1086,1134
1475380969,1086,1134
1475384567,1085,1133
1475384867,1084,1132
1475388169,1082,1130
1475391829,1087,1135
1475395368,1084,1132
1475398968,1086,1134
1475402572,1085,1133
1475405628,1086,1134
1475409768,1084,1132
1475413368,1086,1134
1475413788,1084,1132
1475420568,1080,1128
1475424228,1083,1131
1475427768,1082,1130
1475431430,1089,1137
1475434428,1091,1139
1475438569,1086,1134
1475442230,1085,1133
1475445828,1082,1130
1475449368,1078,1126
1475452979,1074,1122
1475456568,1076,1124
1475460168,1073,1121
1475463229,1063,1111
1475467368,1066,1114
1475470968,1065,1113
1475471388,1065,1113
1475478229,1064,1112
1475481769,1065,1113
1475485369,1062,1110
1475488969,1065,1113
1475492029,1070,1119
1475492569,1067,1116
1475496230,1071,1120
