DateTime,Entries,UniqueIPs
1474456254,1037,1037
1474459376,1035,1035
1474463103,1034,1034
1474463454,1035,1035
1474466574,1036,1036
1474470174,1033,1033
1474471194,1034,1034
1474473774,1033,1033
1474477376,1034,1034
1474480976,1032,1032
1474484575,1033,1033
1474488176,1038,1038
1474488594,1038,1038
1474491784,1039,1039
1474495376,1038,1038
1474495854,1042,1042
1474498976,1040,1040
1474502574,1041,1041
1474506176,1040,1040
1474509776,1044,1044
1474513376,1043,1043
1474513854,1041,1041
1474516974,1042,1042
1474520575,1041,1041
1474521295,1040,1040
1474527775,1041,1041
1474529455,1040,1040
1474534976,1042,1042
1474538575,1046,1046
1474538995,1044,1044
1474545802,1047,1047
1474546855,1048,1048
1474552984,1047,1047
1474555735,1049,1049
1474556575,1048,1048
1474560175,1051,1051
1474563777,1052,1052
1474564195,1053,1053
1474567376,1052,1052
1474570975,1055,1055
1474571815,1055,1055
1474578175,1057,1057
1474579255,1059,1059
1474585376,1057,1057
1474588975,1055,1055
1474596175,1054,1054
1474597255,1053,1053
1474603383,1055,1055
1474606976,1053,1053
1474610577,1054,1054
1474614177,1057,1057
1474614657,1057,1057
1474617776,1058,1058
1474621377,1057,1057
1474622236,1059,1059
1474624946,1067,1067
1474628597,1064,1064
1474629555,1062,1062
1474635796,1060,1060
1474636935,1062,1062
1474639518,1061,1061
1474643003,1060,1060
1474644315,1063,1063
1474646632,1062,1062
1474650197,1064,1064
1474651875,1065,1065
1474657404,1063,1063
1474660997,1062,1062
1474661955,1063,1063
1474664733,1062,1062
1474668195,1065,1065
1474669215,1063,1063
1474675396,1064,1064
1474678996,1062,1062
1474682537,1063,1063
1474686196,1061,1061
1474687096,1061,1061
1474693397,1061,1061
1474695016,1060,1060
1474700597,1060,1060
1474704198,1059,1059
1474707796,1060,1060
1474711336,1058,1058
1474712356,1058,1058
1474714997,1057,1057
1474717961,1061,1061
1474718634,1064,1064
1474722160,1067,1067
1474725280,1068,1068
1474729362,1067,1067
1474732962,1068,1068
1474736560,1066,1066
1474740219,1064,1064
1474740640,1065,1065
1474743760,1066,1066
1474747420,1065,1065
1474750420,1066,1066
1474754562,1064,1064
1474758160,1065,1065
1474758460,1066,1066
1474761820,1067,1067
1474765360,1068,1068
1474768961,1068,1068
1474772560,1067,1067
1474776222,1065,1065
1474779280,1059,1059
1474783361,1058,1058
1474786962,1058,1058
1474787381,1058,1058
1474790561,1057,1057
1474794170,1057,1057
1474797822,1057,1057
1474801361,1056,1056
1474805023,1051,1051
1474808021,1050,1050
1474808623,1049,1049
1474812223,1050,1050
1474815761,1053,1053
1474816181,1056,1056
1474819361,1057,1057
1474822961,1056,1056
1474826562,1059,1059
1474830163,1058,1058
1474833761,1060,1060
1474836822,1062,1062
1474841022,1065,1065
1474844561,1064,1064
1474844921,1062,1062
1474848161,1063,1063
1474851761,1063,1063
1474855423,1063,1063
1474858961,1062,1062
1474862569,1061,1061
1474865681,1063,1063
1474869773,1063,1063
1474873363,1065,1065
1474877024,1064,1064
1474880623,1063,1063
1474884223,1063,1063
1474887763,1063,1063
1474891362,1062,1062
1474894482,1061,1061
1474898562,1061,1061
1474902163,1063,1063
1474902582,1064,1064
1474905762,1065,1065
1474909423,1065,1065
1474913023,1064,1064
1474916564,1065,1065
1474920162,1059,1059
1474923222,1059,1059
1474927362,1058,1058
1474930962,1058,1058
1474931322,1059,1059
1474934623,1059,1059
1474938162,1060,1060
1474945364,1056,1056
1474948964,1056,1056
1474952563,1054,1054
1474956163,1055,1055
1474959766,1053,1053
1474960003,1053,1053
1474963363,1054,1054
1474966963,1051,1051
1474970563,1051,1051
1474974163,1049,1049
1474977764,1047,1047
1474981425,1048,1048
1474984969,1048,1048
1474988587,1051,1051
1474988683,1051,1051
1474992163,1050,1050
1474995763,1051,1051
1474999424,1048,1048
1475002965,1051,1051
1475006563,1052,1052
1475010283,1051,1051
1475013763,1053,1053
1475016883,1055,1055
1475017425,1053,1053
1475020963,1058,1058
1475024564,1052,1052
1475028165,1054,1054
1475031884,1049,1049
1475035423,1053,1053
1475038964,1056,1056
1475042084,1056,1056
1475042564,1054,1054
1475046164,1056,1056
1475049766,1052,1052
1475053425,1050,1050
1475056965,1050,1050
1475060570,1049,1049
1475064164,1049,1049
1475067764,1047,1047
1475069504,1044,1044
1475074964,1044,1044
1475078565,1045,1045
1475082164,1043,1043
1475085824,1042,1042
1475088824,1042,1042
1475092964,1040,1040
1475096564,1046,1046
1475099564,1050,1050
1475100224,1048,1048
1475103764,1046,1046
1475107425,1046,1046
1475110965,1046,1046
1475114567,1045,1045
1475117685,1043,1043
1475121825,1043,1043
1475125393,1042,1042
1475125785,1042,1042
1475129025,1040,1040
1475132626,1038,1038
1475136165,1037,1037
1475139766,1041,1041
1475143365,1039,1039
1475146485,1036,1036
1475150565,1033,1033
1475154226,1033,1033
1475157765,1033,1033
1475161365,1038,1038
1475164969,1041,1041
1475168565,1042,1042
1475172165,1044,1044
1475175225,1041,1041
1475179365,1038,1038
1475182967,1037,1037
1475183385,1036,1036
1475186572,1037,1037
1475190165,1039,1039
1475193345,1054,1054
1475197367,1057,1057
1475201025,1057,1057
1475204025,1057,1057
1475208166,1056,1056
1475211827,1056,1056
1475212246,1055,1055
1475218967,1056,1056
1475222146,1058,1058
1475222566,1054,1054
1475226167,1052,1052
1475229766,1053,1053
1475233426,1053,1053
1475236970,1054,1054
1475240566,1054,1054
1475240986,1055,1055
1475244227,1052,1052
1475247767,1055,1055
