DateTime,AddedIPs,RemovedIPs
1473727930,347,1
1473731531,273,0
1473735131,275,5
1473738732,258,0
1473742333,212,1
1473745933,148,1
1473749533,31,0
1473753131,1,0
1473756731,1,1
1473760335,334,0
1473763938,318,0
1473767537,293,0
1473771138,284,1
1473774739,183,0
1473778339,65,1
1473781938,63,1
1473789139,1,0
1473792738,0,103
1473796336,0,444
1473800235,2,452
1473803835,4,388
1473807434,11,403
1473811034,4,315
1473814632,6,362
1473818231,13,268
1473821831,14,289
1473825428,12,247
1473829030,55,207
1473832630,121,142
1473836228,13,21
1473839827,2,1
1473843430,0,1
1473847028,2,382
1473850628,146,296
1473854227,18,296
1473857828,171,280
1473861430,388,163
1473865030,376,66
1473868631,372,60
1473872232,55,1
1473879429,0,1
1473883030,1,0
1473886631,0,2
1473890230,0,4
1473893829,1,10
1473897430,7,3
1473901031,13,6
1473904632,15,12
1473908231,16,14
1473911832,41,12
1473915432,97,53
1473919032,107,118
1473922632,139,14
1473926233,64,2
1473929834,226,0
1473933436,201,2
1473937035,173,145
1473940937,273,17
1473944835,43,241
1473948734,22,391
1473952333,19,372
1473955932,13,347
1473959532,10,11
1473966731,1,0
1473970329,0,2
1473977532,0,1
1473981131,2,0
1473984730,0,11
1473988331,0,14
1473991932,0,15
1473995531,2,14
1473999429,3,74
1474003027,0,95
1474006626,0,110
1474010227,0,114
1474013825,2,139
1474017426,1,158
1474021024,72,235
1474024624,0,177
1474028223,1,263
1474031823,46,9
1474035423,33,19
1474039023,20,21
1474042924,1,14
1474046525,30,6
1474050124,24,0
1474053725,0,1
1474064525,0,1
1474068124,0,1
1474082525,0,2
1474086125,0,3
1474093325,0,1
1474100524,0,2
1474104124,0,6
1474107724,0,67
1474114923,0,1
1474118523,0,46
1474122124,0,34
1474126022,0,19
1474129622,0,1
1474133221,0,32
1474190822,1,24
1474226822,1,0
1474245421,1,0
1474252622,1,0
1474259821,0,1
1474267021,3,0
1474270622,4,0
1474274222,1,0
1474277821,2,0
1474281422,1,1
1474285022,1,0
1474288621,1,0
1474292222,7,0
1474295822,1,0
1474299422,9,0
1474303022,10,0
1474306622,11,0
1474310222,5,0
1474317422,1,1
1474328223,2,0
1474331822,5,1
1474339023,1,1
1474346222,1,1
1474349822,1,0
1474353422,2,3
1474357023,1,4
1474360622,2,0
1474364222,0,1
1474367823,48,1
1474371422,5,1
1474375023,0,1
1474378623,5,7
1474382223,49,0
1474385823,15,9
1474389423,0,10
1474393023,0,10
1474396624,0,4
1474403823,8,1
1474407423,1,0
1474411023,3,0
1474414623,0,2
1474418223,4,3
1474421823,5,0
1474425424,3,2
1474429023,6,1
1474432624,20,1
1474436224,36,1
1474439823,1,2
1474447024,0,2
1474454224,3,49
1474457824,0,5
1474461424,6,0
1474465023,11,5
1474468623,6,49
1474472223,17,15
1474475823,9,0
1474479423,21,0
1474483024,19,0
1474490224,1,8
1474493824,1,0
1474497424,0,3
1474501024,0,2
1474504624,1,4
1474508224,0,5
1474512125,0,4
1474515724,1,5
1474519324,0,24
1474522924,0,32
1474526523,0,1
1474533724,1,1
1474537323,1,0
1474540924,0,4
1474544524,1,0
1474548123,0,7
1474551724,0,9
1474555623,0,7
1474559222,1,13
1474562822,20,13
1474566423,99,24
1474570022,72,13
1474573623,0,1
1474577222,0,1
1474580822,0,1
1474584423,3,0
1474588023,1,1
1474602423,2,1
1474613223,1,0
1474616822,0,1
1474624022,1,1
1474631222,0,1
1474634822,1,0
1474642023,3,0
1474645622,1,1
1474649223,1,21
1474652821,0,99
1474656421,0,72
1474663621,1,0
1474667222,1,0
1474671123,1,3
1474685523,2,0
1474689123,1,2
1474692723,1,0
1474696323,2,0
1474699923,0,1
1474707422,1,1
1474711022,1,1
1474714622,1,0
1474718221,2,0
1474721822,0,2
1474725421,0,1
1474729021,0,2
1474732622,0,1
1474736221,2,1
1474750621,0,1
1474754222,0,1
1474757822,0,1
1474772523,0,2
1474779723,0,1
1474783323,0,1
1474790523,1,0
1474794123,0,3
1474797723,1,1
1474801323,1,1
1474805221,1,2
1474819622,2,0
1474823221,0,2
1474826821,1,0
1474830422,2,0
1474834021,1,0
1474837622,1,0
1474844821,1,0
1474852021,1,0
1474855621,1,0
1474860123,2,0
1474863723,1,1
1474870923,1,0
1474874523,1,0
1474878123,4,0
1474881724,2,1
1474885323,4,0
1474888923,1,2
1474892523,2,0
1474896123,2,0
1474899723,1,0
1474903323,0,1
1474910523,2,0
1474914123,0,3
1474921323,0,1
1474924923,1,0
1474928523,1,0
1474932123,2,1
1474939323,1,0
1474942923,2,2
1474946523,4,3
1474950123,53,1
1474953725,77,0
1474957324,97,1
1474960926,66,1
1474964525,2,4
1474968126,1,2
1474971726,2,2
1474975325,12,0
1474978926,39,4
1474982526,14,1
1474986126,9,2
1474989726,12,1
