DateTime,Entries,UniqueIPs
1473706324,123,123
1473709926,590,590
1473713527,1023,1023
1473717128,1425,1425
1473720729,1812,1812
1473724329,2117,2117
1473727930,2463,2463
1473731531,2736,2736
1473735131,3006,3006
1473738732,3264,3264
1473742333,3475,3475
1473745933,3622,3622
1473749533,3653,3653
1473753131,3654,3654
1473756731,3654,3654
1473760335,3988,3988
1473763938,4306,4306
1473767537,4599,4599
1473771138,4882,4882
1473774739,5065,5065
1473778339,5129,5129
1473781938,5191,5191
1473789139,5192,5192
1473792738,5089,5089
1473796336,4645,4645
1473800235,4195,4195
1473803835,3811,3811
1473807434,3419,3419
1473811034,3108,3108
1473814632,2752,2752
1473818231,2497,2497
1473821831,2222,2222
1473825428,1987,1987
1473829030,1835,1835
1473832630,1814,1814
1473836228,1806,1806
1473839827,1807,1807
1473843430,1806,1806
1473847028,1426,1426
1473850628,1276,1276
1473854227,998,998
1473857828,889,889
1473861430,1114,1114
1473865030,1424,1424
1473868631,1736,1736
1473872232,1790,1790
1473879429,1789,1789
1473883030,1790,1790
1473886631,1788,1788
1473890230,1784,1784
1473893829,1775,1775
1473897430,1779,1779
1473901031,1786,1786
1473904632,1789,1789
1473908231,1791,1791
1473911832,1820,1820
1473915432,1864,1864
1473919032,1853,1853
1473922632,1978,1978
1473926233,2040,2040
1473929834,2266,2266
1473933436,2465,2465
1473937035,2493,2493
1473940937,2749,2749
1473944835,2551,2551
1473948734,2182,2182
1473952333,1829,1829
1473955932,1495,1495
1473959532,1494,1494
1473966731,1495,1495
1473970329,1493,1493
1473977532,1492,1492
1473981131,1494,1494
1473984730,1483,1483
1473988331,1469,1469
1473991932,1454,1454
1473995531,1442,1442
1473999429,1371,1371
1474003027,1276,1276
1474006626,1166,1166
1474010227,1052,1052
1474013825,915,915
1474017426,758,758
1474021024,595,595
1474024624,418,418
1474028223,156,156
1474031823,193,193
1474035423,207,207
1474039023,206,206
1474042924,193,193
1474046525,217,217
1474050124,241,241
1474053725,240,240
1474064525,239,239
1474068124,238,238
1474082525,236,236
1474086125,233,233
1474093325,232,232
1474100524,230,230
1474104124,224,224
1474107724,157,157
1474114923,156,156
1474118523,110,110
1474122124,76,76
1474126022,57,57
1474129622,56,56
1474133221,24,24
1474190822,1,1
1474226822,2,2
1474245421,3,3
1474252622,4,4
1474259821,3,3
1474267021,6,6
1474270622,10,10
1474274222,11,11
1474277821,13,13
1474281422,13,13
1474285022,14,14
1474288621,15,15
1474292222,22,22
1474295822,23,23
1474299422,32,32
1474303022,42,42
1474306622,53,53
1474310222,58,58
1474317422,58,58
1474328223,60,60
1474331822,64,64
1474339023,64,64
1474346222,64,64
1474349822,65,65
1474353422,64,64
1474357023,61,61
1474360622,63,63
1474364222,62,62
1474367823,109,109
1474371422,113,113
1474375023,112,112
1474378623,110,110
1474382223,159,159
