DateTime,AddedIPs,RemovedIPs
1473910381,0,5
1473917581,0,6
1473921181,10,7
1473928382,2,1
1473931982,3,4
1473939182,8,5
1473942782,0,1
1473946381,9,0
1473949981,3,6
1473953581,0,3
1473957181,1,0
1473961219,6,6
1473967981,5,0
1473971581,0,8
1473975181,8,0
1473978781,4,5
1473985981,5,4
1473989581,1,3
1473996781,3,0
1474000381,5,0
1474003981,0,7
1474011181,4,0
1474014781,0,3
1474018382,4,3
1474021981,5,0
1474025581,0,6
1474029181,5,0
1474032781,4,6
1474036381,0,3
1474039981,6,6
1474047181,9,4
1474050781,4,0
1474054381,0,4
1474057981,7,10
1474061581,3,0
1474065181,0,1
1474068782,3,0
1474072381,9,11
1474079581,4,0
1474083181,5,4
1474086781,0,3
1474090381,5,0
1474093981,5,5
1474101181,3,0
1474104782,1,4
1474108381,0,5
1474111981,3,5
1474115581,4,0
1474119181,0,2
1474122782,3,7
1474126381,9,0
1474129981,0,11
1474133581,10,5
1474140781,3,4
1474144381,6,0
1474147981,0,5
1474151581,6,2
1474155182,9,6
1474162381,6,0
1474165981,0,6
1474169581,5,2
1474173181,5,4
1474176781,0,5
1474180382,6,0
1474183981,0,1
1474187581,7,0
1474191181,0,4
1474194782,6,0
1474198381,0,8
1474201981,7,3
1474205581,0,3
1474209182,7,0
1474212781,0,5
1474216381,5,0
1474219981,4,8
1474227182,3,9
1474230781,0,4
1474237981,3,16
1474241581,4,0
1474245181,0,1
1474248781,8,0
1474252381,3,7
1474259582,1,3
1474266781,3,7
1474270381,2,0
1474273981,2,5
1474277582,0,2
1474281181,3,0
1474284781,8,6
1474291981,5,3
1474299181,5,0
1474302781,8,10
1474309981,5,0
1474313581,0,9
1474317182,7,0
1474324381,6,7
1474327981,0,1
1474331581,5,0
1474335181,3,5
1474338781,0,8
1474342381,2,0
1474345981,1,3
1474353181,3,5
1474356781,0,5
1474363982,8,2
1474367581,7,3
1474371181,5,0
1474378381,2,5
1474381981,4,0
1474385581,0,3
1474389181,5,7
1474392781,4,6
1474399981,4,0
1474403581,5,9
1474407181,0,8
1474410781,2,0
1474414381,6,0
1474417981,0,11
1474421581,3,0
1474425181,7,0
1474428781,0,6
1474432381,4,0
1474435981,2,0
1474439581,0,6
1474443181,8,0
1474450382,2,5
1474453982,0,6
1474457581,1,4
1474461181,4,0
1474464781,0,3
1474468381,3,4
1474471981,3,0
1474475581,0,5
1474479181,10,6
1474482781,5,0
1474486381,0,7
1474489981,0,3
1474493581,9,0
1474497181,3,9
1474500781,1,0
1474504381,8,0
1474507981,3,7
1474515181,10,4
1474518781,1,7
1474525982,1,0
1474529581,5,4
1474533181,0,5
1474536781,2,0
1474540381,6,4
1474547581,1,4
1474551181,11,0
1474554782,0,6
1474558381,5,0
1474561981,3,0
1474565581,0,11
1474569181,2,0
1474576381,4,0
1474579981,3,6
1474583581,4,0
1474587181,0,2
1474590781,7,6
1474594381,2,0
1474601581,4,14
1474605181,0,2
1474608781,0,1
1474612381,2,9
1474615981,5,0
1474623181,11,7
1474626781,7,0
1474630381,1,0
1474633981,1,0
1474637581,11,6
1474644781,1,5
1474648381,2,2
1474655581,5,5
1474659181,7,0
1474662781,0,8
1474666381,6,0
1474669981,6,1
1474677182,5,11
1474684381,3,2
1474687981,3,0
1474691581,3,5
1474698781,8,2
1474702381,1,3
1474705981,0,8
1474709581,4,0
1474713181,2,9
1474716781,6,0
1474720381,2,3
1474727581,5,0
1474731181,6,12
1474738381,7,0
1474741981,4,7
1474745581,0,7
1474749181,1,0
1474752781,4,9
1474756381,2,6
1474759982,0,3
1474763581,4,0
1474767181,1,0
1474770781,0,3
1474774381,5,7
1474777981,3,0
1474785181,0,10
1474788781,4,0
1474795982,3,3
1474799581,4,6
1474803181,5,0
1474810381,3,0
1474813981,4,10
1474817581,3,0
1474821181,1,0
1474824781,11,8
1474828381,0,2
1474831981,1,0
1474835581,2,7
1474842781,2,5
1474846381,5,7
1474849981,6,4
1474857181,3,9
1474860781,1,1
1474867981,5,0
1474871581,4,3
1474875181,0,2
1474878781,2,1
1474882381,1,2
1474889581,11,3
1474893181,5,3
1474896782,0,4
1474900381,4,3
1474903981,7,0
1474907581,0,2
1474911182,1,6
1474914781,9,0
1474918381,0,6
1474925581,6,3
1474932781,3,11
1474936381,3,0
1474939981,1,0
1474943581,0,3
1474947181,3,4
1474950781,9,4
1474954381,0,4
1474957981,4,0
1474961581,5,3
1474965181,3,0
1474968781,0,1
1474972381,3,0
1474975981,4,4
1474979581,0,1
1474986781,2,3
1474990381,0,6
1474993981,2,3
1474997582,16,0
1475001181,11,7
1475008381,6,3
1475011981,3,6
1475015581,0,3
1475019181,7,0
1475022782,2,9
1475029981,4,0
1475033581,1,2
1475037181,6,8
1475044381,6,1
1475047982,3,5
1475051581,0,2
1475055181,3,0
1475058781,2,4
1475062381,0,6
1475065981,7,0
1475069582,4,4
1475073181,0,3
1475076781,3,1
1475080381,6,8
1475083981,0,13
1475087581,2,0
1475091181,7,4
1475098382,7,4
1475101981,10,0
1475105581,0,9
1475109181,2,7
1475112781,7,0
1475116381,1,6
1475123581,2,8
1475127182,6,0
1475130781,0,8
1475137982,4,2
1475141582,0,2
1475145181,2,0
1475148781,7,0
1475152381,0,7
1475155981,3,9
1475159581,2,0
1475163181,0,4
1475166781,7,5
1475170381,4,0
1475173981,0,6
1475177581,2,0
1475181181,3,7
1475184781,3,0
1475188381,0,6
1475191981,2,0
1475195581,3,2
1475199181,0,12
1475202781,3,0
1475206381,3,0
1475209981,0,9
1475213581,3,0
1475217181,5,3
1475220781,0,6
1475224381,4,0
1475227981,1,0
1475231581,3,1
1475235181,0,4
1475238781,3,5
1475242381,3,0
1475245981,3,1
1475253181,2,8
1475256781,2,0
1475263981,9,6
1475267581,7,1
1475271181,2,5
1475278381,1,8
1475281981,2,0
1475289181,3,2
1475292781,4,0
1475299981,6,6
1475303581,1,0
1475310781,5,5
1475314381,9,3
1475321581,5,3
1475325181,2,0
1475328781,4,0
1475332381,0,2
1475335981,3,6
1475339581,6,0
1475343181,5,3
1475350381,6,18
1475353981,7,1
1475357581,4,0
1475364781,3,4
1475368381,6,2
1475371981,5,7
1475379182,7,3
1475382781,5,0
1475386381,0,2
1475389981,4,5
1475393581,2,0
1475397181,0,2
1475400782,1,3
1475404381,9,0
1475407981,0,4
1475411581,0,2
1475415181,3,3
1475418781,0,6
1475422381,3,0
1475425981,2,10
1475429581,4,0
1475433181,2,0
1475436782,0,6
1475440381,3,9
1475443981,3,0
1475447581,5,0
1475451181,7,5
1475454781,0,5
1475458381,1,0
1475461981,0,6
1475469181,8,8
1475472781,4,3
1475476381,6,3
1475483581,3,3
1475487181,11,0
1475490782,0,4
1475494381,9,1
1475497981,2,7
1475505181,2,0
1475508782,3,4
1475512381,0,7
1475515981,7,0
1475519581,5,2
1475523181,0,4
1475526781,8,0
1475530381,2,4
1475533981,0,9
1475537581,3,0
1475541181,3,4
1475548381,4,0
1475551981,3,5
1475555581,0,4
1475559182,2,0
1475562781,6,7
1475569981,9,3
1475573581,2,4
1475577182,0,8
1475580781,3,0
1475584381,2,3
1475587981,1,2
1475591581,0,5
1475595181,1,0
1475598781,5,0
1475602381,0,7
1475605981,4,5
1475609581,3,0
1475613182,2,7
1475616781,1,0
1475623981,2,8
1475627581,3,0
1475634781,1,3
1475638381,1,0
1475645581,8,4
1475649181,1,6
1475652781,0,6
1475656381,7,0
1475659981,0,1
1475663581,0,2
1475670781,2,5
1475674381,0,1
1475677981,4,1
1475681581,5,6
1475685182,3,0
1475688782,5,0
1475692381,2,5
1475695981,3,4
1475703181,6,3
1475706781,5,6
1475713981,3,1
1475717581,5,0
1475721181,0,4
1475728382,1,4
1475735581,4,2
1475739181,1,0
1475742782,0,9
1475746382,4,0
1475749982,1,2
1475753581,0,7
1475757182,6,0
1475764381,0,4
1475767982,4,3
1475771581,2,3
1475775181,1,6
1475778781,0,4
1475782381,3,0
1475785981,5,4
1475789581,2,0
1475793181,4,6
1475796781,0,8
1475800381,7,0
1475803981,1,8
1475811181,11,4
1475814781,7,0
1475818381,0,2
1475821981,3,0
1475825581,3,1
1475832781,7,5
1475836381,3,0
1475843581,3,7
1475847181,5,0
1475850781,0,1
1475854381,3,1
1475857981,4,2
1475865181,2,6
1475868781,6,3
1475872381,0,3
1475875981,6,4
1475879581,4,0
1475886781,3,2
1475897581,3,4
1475901181,2,6
1475904781,0,3
1475908382,10,0
1475911981,0,2
1475915581,0,9
1475919182,1,4
1475922781,7,0
1475929981,4,2
1475933581,5,8
1475940781,2,2
1475944381,4,2
1475947981,9,5
1475955181,4,6
1475958781,5,3
1475962381,7,0
1475965981,3,4
1475969581,0,2
1475973181,5,0
1475976781,0,2
1475980381,4,5
1475987582,4,3
1475994781,2,3
1475998381,0,1
1476001982,3,0
1476005582,7,2
1476009182,0,4
1476012781,6,4
1476019981,8,3
1476023581,0,2
1476027182,3,6
1476030781,5,8
1476037982,7,5
