DateTime,AddedIPs,RemovedIPs
1473334382,4,5
1473341581,10,9
1473352381,12,14
1473359581,13,12
1473370381,14,17
1473373981,12,12
1473381182,5,4
1473384781,7,8
1473391981,7,8
1473395581,8,8
1473402781,6,7
1473409981,10,12
1473417181,10,5
1473424381,19,20
1473431581,6,7
1473438781,12,11
1473442381,23,18
1473449581,18,17
1473456781,5,7
1473463981,14,15
1473471181,16,14
1473478382,6,6
1473485581,11,15
1473492782,13,12
1473499981,12,12
1473503581,6,5
1473510781,12,10
1473514381,15,19
1473521581,17,16
1473525182,5,8
1473532381,6,6
1473535981,10,7
1473543182,5,6
1473546781,15,17
1473553981,12,12
1473557581,9,10
1473564781,7,6
1473568381,9,8
1473575581,5,4
1473582781,6,7
1473586381,4,2
1473593581,13,14
1473600782,16,14
1473607981,7,8
1473611582,11,13
1473618781,10,13
1473625981,9,6
1473629581,9,9
1473636781,7,8
1473640381,13,12
1473647581,6,5
1473654782,9,8
1473658381,7,6
1473661981,5,4
1473669182,10,16
1473672782,9,8
1473679982,5,5
1473683581,4,8
1473690781,5,3
1473694381,12,14
1473701581,9,5
1473708781,17,13
1473712381,6,10
1473719581,5,3
1473723181,11,12
1473730381,5,4
1473733981,13,10
1473741181,5,4
1473744782,14,15
1473751981,11,10
1473759182,4,7
1473766382,13,13
1473773582,7,4
1473780781,7,11
1473787981,17,17
1473791582,10,10
1473798781,15,12
1473802381,10,10
1473809581,10,11
1473813181,14,11
1473820381,10,13
1473823982,10,10
1473831181,8,7
1473838381,10,10
1473845581,2,3
1473849181,5,8
1473856381,4,5
1473859981,7,5
1473867181,10,11
1473870781,10,8
1473877981,8,8
1473885181,4,6
1473888781,8,11
1473895981,15,9
1473899581,13,12
1473906782,10,9
1473913981,1,1
1473921181,15,16
1473928382,6,9
1473931982,6,7
1473939182,12,12
1473946381,13,14
1473949981,8,5
1473957181,10,11
1473961219,9,5
1473967981,11,12
1473975181,15,16
1473978781,11,10
1473985981,12,13
1473989581,6,8
1473996781,8,10
1474000381,10,7
1474007581,6,9
1474011181,7,5
1474018382,8,9
1474021981,9,8
1474029181,14,15
1474032781,5,5
1474039981,10,8
1474047181,16,17
1474050781,11,12
1474057981,9,8
1474061581,8,8
1474068782,7,7
1474072381,14,14
1474079581,10,10
1474083181,6,7
1474090381,9,7
1474093981,8,10
1474101181,7,7
1474104782,6,6
1474111981,9,9
1474115581,7,8
1474122782,5,5
1474126381,13,9
1474133581,17,16
1474140781,11,12
1474144381,8,7
1474151581,11,11
1474155182,14,15
1474162381,7,6
1474169581,17,19
1474173181,7,7
1474180382,11,13
1474187581,12,10
1474194782,8,8
1474201981,14,15
1474209182,13,13
1474216381,11,8
1474219981,8,10
1474227182,7,10
1474230781,3,2
1474237981,12,12
1474241581,7,6
1474248781,19,17
1474252381,14,16
1474259582,5,5
1474266781,10,9
1474270381,7,7
1474273981,8,9
1474281181,7,6
1474284781,14,14
1474291981,9,12
1474299181,10,7
1474302781,13,13
1474309981,9,9
1474317182,14,14
1474324381,21,19
1474331581,14,16
1474335181,10,9
1474342381,7,7
1474345981,4,5
1474353181,12,13
1474363982,11,13
1474367581,13,14
1474371181,8,8
1474378381,7,8
1474381981,6,5
1474389181,10,9
1474392781,7,8
1474399981,13,11
1474403581,12,12
1474410781,6,7
1474414381,8,11
1474421581,4,4
1474425181,12,10
1474432381,8,8
1474435981,12,14
1474443181,14,15
1474450382,12,9
1474457581,6,8
1474461181,8,5
1474468381,10,11
1474471981,8,8
1474479181,14,12
1474482781,7,10
1474486381,2,1
1474493581,11,11
1474497181,4,5
1474500781,2,3
1474504381,12,11
1474507981,5,2
1474515181,19,24
1474518781,7,5
1474525982,4,5
1474529581,14,13
1474536781,3,4
1474540381,11,12
1474547581,3,2
1474551181,17,14
1474558381,10,11
1474561981,4,7
1474569181,12,11
1474572781,0,3
1474576381,15,14
1474579981,7,5
1474583581,6,5
1474590781,15,13
1474594381,8,7
1474601581,7,9
1474605181,8,9
1474612381,7,6
1474615981,10,11
1474623181,19,19
1474626781,10,11
1474630381,5,7
1474633981,2,2
1474637581,16,12
1474644781,10,12
1474648381,6,5
1474655581,11,11
1474659181,13,15
1474666381,12,11
1474669981,9,10
1474677182,9,7
1474684381,10,9
1474687981,8,8
1474691581,5,5
1474698781,12,10
1474702381,5,7
1474709581,9,10
1474713181,8,9
1474716781,10,11
1474720381,4,3
1474727581,13,13
1474731181,11,10
1474738381,13,13
1474741981,8,9
1474749181,4,6
1474752781,15,14
1474756381,12,9
1474763581,12,12
1474767181,6,7
1474774381,9,13
1474777981,7,5
1474785181,5,6
1474788781,11,12
1474795982,4,5
1474799581,8,6
1474803181,9,8
1474810381,8,9
1474813981,9,9
1474817581,8,5
1474821181,3,3
1474824781,14,13
1474831981,9,12
1474835581,6,4
1474842781,7,7
1474846381,11,10
1474849981,11,12
1474857181,7,4
1474860781,10,9
1474867981,9,12
1474871581,6,9
1474878781,5,4
1474882381,2,2
1474889581,15,10
1474893181,7,6
1474900381,7,5
1474903981,14,17
1474911182,3,5
1474914781,15,16
1474921981,6,5
1474925581,16,16
1474932781,7,10
1474936381,3,5
1474939981,7,10
1474947181,4,4
1474950781,15,11
1474957981,10,9
1474961581,11,11
1474965181,5,6
1474972381,6,5
1474975981,15,11
1474983181,8,9
1474986781,4,8
1474993981,5,2
1474997582,20,15
1475001181,18,18
1475008381,7,7
1475011981,7,7
1475019181,17,18
1475022782,10,14
1475029981,10,11
1475033581,3,3
1475037181,13,14
1475044381,12,9
1475047982,6,5
1475055181,5,6
1475058781,5,6
1475065981,10,13
1475069582,7,11
1475076781,10,8
1475080381,8,9
1475087581,3,2
1475091181,14,11
1475098382,13,9
1475101981,12,11
1475109181,6,6
1475112781,15,16
1475116381,3,6
1475123581,5,7
1475127182,8,9
1475134381,5,5
1475137982,14,12
1475145181,7,8
1475148781,12,11
1475155981,10,9
1475159581,4,4
1475166781,13,11
1475170381,5,7
1475177581,8,10
1475181181,4,5
1475184781,14,12
1475191981,7,10
1475195581,7,7
1475202781,5,7
1475206381,7,3
1475213581,9,9
1475217181,9,7
1475224381,6,6
1475227981,7,6
1475231581,6,8
1475238781,6,6
1475242381,7,4
1475245981,4,3
1475253181,9,9
1475256781,4,5
1475263981,15,16
1475267581,11,15
1475271181,3,3
1475278381,6,7
1475281981,7,8
1475289181,7,11
1475292781,9,11
1475299981,12,9
1475303581,7,8
1475310781,9,6
1475314381,15,11
1475321581,6,11
1475325181,4,2
1475328781,13,8
1475335981,7,9
1475339581,13,13
1475343181,7,5
1475350381,11,11
1475353981,12,11
1475357581,8,9
1475364781,8,8
1475368381,8,7
1475371981,6,5
1475379182,15,17
1475382781,7,10
1475389981,7,5
1475393581,7,5
1475400782,4,5
1475404381,13,13
1475411581,4,4
1475415181,14,16
1475422381,8,9
1475425981,2,1
1475429581,12,17
1475433181,8,6
1475436782,1,0
1475440381,8,7
1475443981,9,8
1475447581,7,7
1475451181,10,10
1475458381,5,7
1475469181,10,10
1475472781,8,7
1475476381,11,11
1475483581,6,8
1475487181,18,15
1475494381,12,10
1475497981,10,9
1475505181,5,3
1475508782,8,11
1475515981,10,12
1475519581,12,12
1475526781,15,14
1475530381,9,6
1475537581,5,4
1475541181,12,13
1475548381,7,8
1475551981,10,9
1475559182,7,6
1475562781,14,18
1475569981,18,16
1475573581,6,6
1475580781,5,3
1475584381,6,9
1475587981,2,3
1475595181,7,9
1475598781,12,11
1475605981,11,9
1475609581,3,5
1475613182,5,6
1475616781,10,8
1475623981,8,9
1475627581,8,9
1475634781,5,5
1475638381,4,4
1475645581,19,16
1475649181,9,8
1475656381,12,15
1475659981,5,5
1475667182,6,5
1475670781,10,13
1475677981,7,8
